IDDEMUNICIPIO,DESCRIPCION
10010001,Granja Adelita
10010001,Agua Azul
10010001,Rancho Alegre
10010001,Los Arbolitos [Rancho]
10010001,Ardillas de Abajo (Las Ardillas)
10010001,Arellano
10010001,Bajío los Vázquez
10010001,Bajío de Montoro
10010001,Buenavista de Peñuelas
10010001,Cabecita 3 Marías (Rancho Nuevo)
10010001,Cañada Grande de Cotorina
10010001,Cañada Honda [Estación]
10010001,Los Caños
10010001,El Cariñán
10010001,El Cedazo (Cedazo de San Antonio)
10010001,Centro de Arriba (El Taray)
10010001,Cieneguilla (La Lumbrera)
10010001,Cobos
10010001,El Colorado (El Soyatal)
10010001,El Conejal
10010001,Cotorina de Abajo
10010001,Coyotes
10010001,La Huerta (La Cruz)
10010001,Cuauhtémoc (Las Palomas)
10010001,Los Cuervos (Los Ojos de Agua)
10010001,San José [Granja]
10010001,La Chiripa
10010001,Dolores
10010001,Los Dolores
10010001,El Duraznillo
10010001,Los Durón
10010001,Paraíso [Rancho]
10010001,Desde el Corazón del Fruto
10010001,Valle Redondo
10010001,La Fortuna
10010001,Lomas del Gachupín
10010001,El Carmen (Gallinas Güeras) [Rancho]
10010001,La Gloria
10010001,Hacienda Nueva
10010001,La Haciendita (La Esperanza)
10010001,La Herrada
10010001,Don Abraham [Rancho]
10010001,Puerta de los Hoyos
10010001,Las Jaboneras
10010001,Jaltomate
10010001,General José María Morelos y Pavón (Cañada Honda)
10010001,Los Lirios
10010001,La Loma de los Negritos
10010001,El Malacate
10010001,La Mascota
10010001,Matamoros [Congregación]
10010001,San Isidro
10010001,San José
10010001,El Molino
10010001,Montoro
10010001,Los Negritos
10010001,El Niágara
10010001,Norias de Ojocaliente
10010001,El Ocote
10010001,Comunidad el Rocío
10010001,Las Palomas
10010001,Peñuelas (El Cienegal)
10010001,Piedras Chinas
10010001,Presa de Guadalupe
10010001,Soledad de Arriba
10010001,La Puerta (Granjas Cariñán)
10010001,El Refugio de Peñuelas
10010001,El Refugio I
10010001,El Rodeo
10010001,El Salto de los Salado
10010001,Norias del Paso Hondo
10010001,San Agustín
10010001,San Antonio [Granja]
10010001,San Antonio [Granja]
10010001,Ejido San Antonio de los Pedroza
10010001,San Antonio de Peñuelas
10010001,San Felipe [Viñedos]
10010001,San Ignacio
10010001,San José de la Esperanza
10010001,San José de la Ordeña
10010001,San Luis [Granja]
10010001,San Martín (La Cantera)
10010001,San Miguel
10010001,San Nicolás
10010001,San Pascual
10010001,San Pedro Cieneguilla
10010001,San Rafael I
10010001,Santa Cruz de la Presa
10010001,Santa Cruz de la Presa (La Tlacuacha)
10010001,Santa Gertrudis
10010001,Santa María de Gallardo
10010001,Santa Teresa
10010001,Soledad de Abajo
10010001,La Soledad
10010001,El Tanque de los Jiménez
10010001,Tres Cruces
10010001,Tanque el Trigo
10010001,El Turicate
10010001,La Victoria
10010001,Villa Licenciado Jesús Terán (Calvillito)
10010001,Viñedos Santa Mónica
10010001,Las Ánimas
10010001,Adame
10010001,La Ahuja (Aguja)
