IDDEMUNICIPIO,DESCRIPCION
100010001,Canatlán
100010001,La Alcancía
100010001,Colonia Anáhuac (Palo Blanco)
100010001,Arnulfo R. Gómez (Los Sauces)
100010001,Benjamín Aranda (San Rafael)
100010001,Bruno Martínez (San Bartolo)
100010001,Canatlán Viejo
100010001,La Cañada
100010001,El Capricho
100010001,Los Herrera
100010001,Cerro Gordo
100010001,Cieneguitas
100010001,Dolores Hidalgo (Gogogito)
100010001,Donato Guerra
100010001,Durangueño (Corralitos)
100010001,José Guadalupe Aguilera (La Granja)
100010001,El Refugio (La Esperanza)
100010001,El Faisán de las Tapias
100010001,Francisco Zarco (Las Delicias)
100010001,Gomelia
100010001,Hermenegildo Galeana
100010001,Ignacio M. Altamirano (La Luz)
100010001,José Cruz Gálvez (Cañas)
100010001,José Guadalupe Aguilera (Santa Lucía)
100010001,Lirios de la Sierra
100010001,Los Lirios
100010001,Predio las Macheras
100010001,Marquesotes de Guadalupe (Canelas)
100010001,General Martín López
100010001,Maymorita
100010001,Medina
100010001,Rancho Mesa de Guadalupe
100010001,Miguel Hidalgo (Viborillas)
100010001,Nicolás Bravo
100010001,Nogales
100010001,La Loma
100010001,Marquezotes de Guadalupe (Los Ojitos)
100010001,Piedra Encimada
100010001,La Plazuela (El Rayo)
100010001,Las Pomas
100010001,El Pozole
100010001,El Progreso (Los Pinos)
100010001,Puerto de Cañas (La Noria)
100010001,Rancho Colorado (Rancho el Cura)
100010001,Manuel Jiménez (Rancho Seco)
100010001,Ricardo Flores Magón
100010001,San Diego de Alcalá
100010001,San Jerónimo de Jacales
100010001,San José de Gracia
100010001,San Lorenzo
100010001,Santa Ana
100010001,Santa Rosa de Escamillas
100010001,Santa Susana
100010001,Santa Teresa de los Pinos
100010001,La Sauceda
100010001,El Sauz Bendito
100010001,La Soledad
100010001,El Tule
100010001,Veintidós de Mayo
100010001,Venustiano Carranza (Ocotán)
100010001,San Isidro de Montevideo (Cucarachas)
100010001,El Soldado
100010001,Rancho el Papalote
100010001,Charco Largo
100010001,Magueycitos
100010001,Altamira
100010001,La Fatiga
100010001,El Chaparro de los Rivera
100010001,Los Monos
100010001,Terranova
100010001,Rancho los Herrera (La Esperanza)
100010001,Predio Potrero Nuevo
100010001,Diez Hermanos (Las Tapias)
100010001,Canoas
100010001,Rancho del Cura
100010001,Caboraca
100010001,Santa Elena
100010001,Predio las Tlazoleras
100010001,El Coyote (Ojo del Coyote)
100010001,San Antonio de los Reyes
100010001,Cañada el Chile
100010001,Ojo de Agua
100010001,Las Conchitas
100010001,Guadalupe los Nogales (Las Papas)
100010001,La Estancia de Ibarra (La Estancia)
100010001,San Francisco Uno
100010001,La Esperanza [Rancho]
100010001,San Francisco Dos
100010001,Rancho San Agustín
100010001,Rancho el Circo
100010001,Las Cocinas
100010001,Predio Colima
100010001,Cuatillos
100010001,Predio Potrero de Barrera
100010001,Los Nieves
100010001,La Manga el Jocoqui
100010001,La Manga
100010001,Los Pinos
100010001,Las Pomas
100010001,Predio Potrero del Trigo
100010001,Rafael Parra
100010001,Ex Hacienda de Cañas
100010001,El Real Viejo
100010001,Francisco Merino (San Bernardino)
100010001,San Javier
100010001,San José Rabón
100010001,Predio Santa Cruz de las Huertas
100010001,El Saucillal
100010001,El Vergel de Sauces
100010001,La Esperanza
100010001,Michirame
100010001,San José [Granja]
100010001,Predio San Rafael
100010001,Mastranzo
100010001,El Refugio (El Moradito)
100010001,El Álamo
100010001,Ojo de Agua de la Vieja
100010001,Los Enríquez
100010001,El Porvenir (Casas Coloradas)
100010001,El Carmen
100010001,San Felipe
100010001,Rancho Elizondo
100010001,Predio Potrero del Huizachal
100010001,El Ranchito
100010001,Magueycitos
100010001,El Chaparro (Los Méndez)
100010001,Las Latas
100010001,La Abeja
100010001,Álamo Gordo
100010001,El Gallinazo
100010001,Los Aniegos
100010001,Rancho el Lienzo Blanco
100010001,La Boquilla
100010001,Buenavista
100010001,Las Cabañas
100010001,Las Calabazas
100010001,El Capricho
100010001,La Casa de la Huerta
100010001,La Casa de Ocón
100010001,La Casita del Potrero Nuevo
100010001,Los Cháirez
100010001,Charoláis los Sauces I
100010001,Charoláis los Sauces II
100010001,El Consuelo
100010001,Crucero del Ojo de Agua del Mezquital
100010001,La Cueva
100010001,La Curva
100010001,Huerta el Llano
100010001,Don Chema
100010001,Huerta Madrid
100010001,Huerta Duran
100010001,Elisa
100010001,Puerto de Cañas [Rancho]
100010001,El Establo
100010001,La Ganadera
100010001,Las Palmas
100010001,La Guarnición (La Pequeña)
100010001,Huerta Ruiz
100010001,La Huerta
100010001,La Huerta
100010001,Los Juárez
100010001,Rancho San Felipe
100010001,El Lindero
100010001,Mario Villa
100010001,Alfredo González Arámbula
100010001,Manuel Ortega
100010001,Huerta Varela
100010001,Juan Morales
100010001,Esteban Vargas Betancourt
100010001,Carmen Ortega
100010001,Jesús Duarte Contreras
100010001,Artemio Lozoya
100010001,Leonel Arreola
100010001,El Paso Real (Rufino Contreras)
100010001,Pedro Muñoz
100010001,Ambrosio Rivas
100010001,Enrique Medrano
100010001,Joaquín Ibarra
100010001,Lalo Acuña
100010001,Rutilio Varela
100010001,Lázaro Vargas
100010001,Miguel Varela
100010001,Jorge López
100010001,Las Amelias [Granja]
100010001,El Menón
100010001,Predio Mundo Engañoso
100010001,Las Tres M (Los Nevárez)
100010001,El Nocebe
100010001,La Norteña
100010001,Ojo de Agua del Mezquital
100010001,Los Ojuelos
100010001,Rancho Perales
