IDDEENTIDAD,IDDEMUNICIPIO,DESCRIPCION
10,100010001,Canatlán
10,100020001,Canelas
10,100030001,Coneto de Comonfort
10,100040001,Cuencamé
10,100050001,Durango
10,100060001,General Simón Bolívar
10,100070001,Gómez Palacio
10,100080001,Guadalupe Victoria
10,100090001,Guanaceví
10,100100001,Hidalgo
10,100110001,Indé
10,100120001,Lerdo
10,100130001,Mapimí
10,100140001,Mezquital
10,100150001,Nazas
10,100160001,Nombre de Dios
10,100170001,Ocampo
10,100180001,El Oro
10,100190001,Otáez
10,100200001,Pánuco de Coronado
10,100210001,Peñón Blanco
10,100220001,Poanas
10,100230001,Pueblo Nuevo
10,100240001,Rodeo
10,100250001,San Bernardo
10,100260001,San Dimas
10,100270001,San Juan de Guadalupe
10,100280001,San Juan del Río
10,100290001,San Luis del Cordero
10,100300001,San Pedro del Gallo
10,100310001,Santa Clara
10,100320001,Santiago Papasquiaro
10,100330001,Súchil
10,100340001,Tamazula
10,100350001,Tepehuanes
10,100360001,Tlahualilo
10,100370001,Topia
10,100380001,Vicente Guerrero
10,100390001,Nuevo Ideal
