IDDEMUNICIPIO,DESCRIPCION
110010001,Abasolo
110010001,Estación Abasolo
110010001,Agua Blanca
110010001,San Francisco de Horta (El Alacrán)
110010001,Alameda de Álvarez
110010001,Alto de Chamacua
110010001,Alto de San José de González
110010001,Berumbo
110010001,Boquillas
110010001,La Brisa
110010001,Buenavista de Chávez
110010001,Buenavista de Vega (Las Conejas)
110010001,La Carroza
110010001,Cerritos de Aceves
110010001,Cofradía de Guerra
110010001,Cofradía de Peralta
110010001,Las Cruces
110010001,Chamacua
110010001,La Chinche
110010001,Emiliano Zapata (La Colonia)
110010001,El Encinal
110010001,La Escondida (Las Bodegas)
110010001,La Trinidad de San Miguel
110010001,Las Estacas
110010001,Florida de Gómez
110010001,La Florida de González
110010001,El Fresno
110010001,La Galera de Gallardo
110010001,El Gallito (El Pitahayo)
110010001,La Gloria
110010001,Gómez de Orozco
110010001,Colonia Hermosillo
110010001,Horta (San Antonio de Horta)
110010001,Huitzatarito
110010001,Estación Joaquín
110010001,La Joya de Calvillo
110010001,Labor de Peralta
110010001,Lagunilla de Mireles
110010001,Los Leones
110010001,La Maraña
110010001,Maravillas (Maravillas de Cabrera)
110010001,Marfil
110010001,Maritas
110010001,Las Masas (La Luz Masas)
110010001,Las Mesas (Buena Vista de Vaca)
110010001,La Mina
110010001,San Antonio de las Huertas (El Manicomio)
110010001,La Mora
110010001,Morales
110010001,Nombre de Dios
110010001,Ojo de Agua de Huanumo (El Torreón)
110010001,La Ordeña
110010001,El Paraíso (San José)
110010001,Pintores (Rafael Saavedra)
110010001,El Peñón
110010001,Peralta
110010001,Piedras Negras
110010001,El Pitahayo de Cortés
110010001,Las Palomas
110010001,Paso de Piedra
110010001,La Puente
110010001,Puerta de Palo Dulce
110010001,Puerto de la Cruz
110010001,Rancho de González
110010001,Rancho Nuevo de la Cruz
110010001,El Refugio de Ayala (Luz de Ayala)
110010001,Rincón de Martínez
110010001,La Rosa de Camacho
110010001,Salitre de Saavedra
110010001,La Salud
110010001,San Agustín
110010001,San Andrés de Gómez
110010001,San Antonio de Peralta
110010001,Mogotes
110010001,San Aparicio
110010001,San Bernardo Peña Blanca
110010001,Paraíso de Núñez
110010001,San Fernando de Aguirre
110010001,San Fernando de Cerda
110010001,San Francisco de Horta (El Gato)
110010001,San Francisco de la Soledad
110010001,San Isidro
110010001,San Jorge
110010001,San José de Gómez
110010001,San José de Ruiz
110010001,San Lorenzo (San Nicolás de Ayala)
110010001,San Nicolás de los Rosales (La Cabra)
110010001,Santa Bárbara
110010001,Santa Rita
110010001,Santa Rosa de Negrete (La Rata)
110010001,Santa Rosa
110010001,San Telmo de Roa
110010001,San Vicente del Caño (San Vicente de Hidalgo)
110010001,Soledad de Negrete
110010001,Soledad de Vargas
110010001,Tamazula
110010001,La Tinaja de Negrete
110010001,La Trinidad
110010001,Trojes de Marañón
110010001,El Tule
110010001,El Varal
110010001,Zapote de la Esperanza
110010001,Zapote de Peralta
110010001,Vázquez
110010001,Cantarranas
110010001,Zenzontle
110010001,Purísima de Gómez
110010001,Jacarandas
110010001,Laredo
110010001,Loma de la Esperanza
110010001,La Luz de Quintana
110010001,Granja Navarrete
110010001,Los Pinos
110010001,San José del Varal (Las Pomas Viejas)
110010001,La Providencia
110010001,Rancho Seco
110010001,La Trinidad (Rancho de Juan José Orozco)
110010001,El Rosario
110010001,San Pedro de Mogotes (El Cerrito)
110010001,San Cayetano del Carmen (La Roncha)
110010001,San Cayetano (La Bruja)
110010001,San Felipe
110010001,San Isidro de la Rinconada (Chincual)
110010001,San Juan de los Olivos (Ricardo Cruz)
110010001,Paso de Canoa (San Luis Rey)
110010001,San Luis
110010001,San Rafael de Horta
110010001,San Ramón
110010001,Camacho
110010001,El Novillero
110010001,El Tular
110010001,Rancho Nuevo de Castañeda
110010001,El Pilar
110010001,San Miguelito de Ayala
110010001,Paso de Canoa (Arroyo Seco)
110010001,Santa Lucía
110010001,Alto de Negrete (El Pujido)
110010001,San José de González
110010001,Miraflores
110010001,El Pedregal
110010001,La Chaquira
110010001,Pintores
110010001,Providencia
110010001,San Antonio de la Rinconada (La Mugre)
110010001,Las Pomas Nuevas
110010001,Lagunillas de Martínez
110010001,Celestino Cruz
110010001,Rancho Seco de Orozco (Rancho Seco de Cortez)
110010001,El Zorrillo
110010001,Ejido de Tlanalapa (Colonia de la Esperanza)
110010001,San Cayetano
110010001,Cerrito de Horta (Cerrito de Jesús)
110010001,Providencia
110010001,Rosas Blancas
110010001,San Francisco Tierras Blancas
110010001,San José de Martínez
110010001,San Juan de Dios
110010001,Villa de Guadalupe [Granja Porcícola]
110010001,Rancho Nuevo de Santa Lucía
110010001,Rancho Alegre
110010001,Laredo
110010001,La Purísima
110010001,El Tepocate
110010001,Paso de Canoa (Chocándiro)
110010001,San José de Pintores (La Loma)
110010001,San Antonio
110010001,Granja del Socorro
110010001,San Felipe
110010001,El Álamo
110010001,Álvaro Constantini Specia
110010001,Granja de Mario Alberto Pérez
110010001,Granja la Esperanza
110010001,Jacarandas
110010001,La Magnolia
110010001,Colonia los Hornos
110010001,Purísima de Castillejo
110010001,Ejido San Telmo (Los Pérez)
110010001,El Pedregal (El Pedregal de Guerrero)
110010001,San Cayetano
110010001,San Isidro
110010001,Gerardo Acosta
110010001,San Antonio de Gómez
110010001,Santa Elena de Mogotes
110010001,San Miguelito (San Miguel Colonia el Salitre)
110010001,Las Liebres
110010001,Rancho Campo Real
110010001,Huitzizilín (Predio de Huitzatarito)
110010001,El Progreso
110010001,Soledad de Ayala
110010001,San Vicente de Aguirre
110010001,La Escondida
110010001,Granja Fátima
110010001,Colonia los Ángeles
110010001,Concepción de Cruces
110010001,El Nido
110010001,El Milagro
110010001,Cerratos
110010001,La Peñuela
110010001,Refugio de Ríos
110010001,El Bajo
110010001,Ubaldo León (Santa Rosa)
110010001,Santa Martha
110010001,La Luz [Parador]
110010001,Los Laureles
110010001,El Potrerillo
110010001,San José de Ríos
110010001,Cerrito de Gómez (La Montañita)
110010001,El Quinto
110010001,La Casita
110010001,San Vicente de Ceballos
110010001,Montecillo
110010001,La Muralla
110010001,Campo Real
110010001,Mexiquito
110010001,La Candelaria (Cristo Rey)
110010001,Ahualulco
110010001,Los Sauces
110010001,Granja González
110010001,El Pitahayo
110010001,Mireles
110010001,Lomelí
110010001,Martínez
110010001,La Galerita (Emilio Vargas)
110010001,La Cabaña
110010001,Santa Elena de Acosta
110010001,Coyoacán de Vargas
110010001,Coyoacán de Vargas (Faustino Vargas)
110010001,Benito Canales
110010001,Alto de Medina (San Jerónimo de Medina)
110010001,El Carmen
110010001,La Colonia
110010001,Loma de Lastiri
110010001,Abel Delgado (La Lobera)
110010001,Alto de Alcocer
110010001,Antonio Delgado
110010001,Barrio Nuevo de Santa Bárbara
110010001,El Pedregal
110010001,Buenavista de Vega
110010001,Canoa (Juan Ángel Martínez)
110010001,Galera de Huitzátaro (Granja de Don Cruz)
110010001,Las Canoas (Arroyo Seco)
110010001,Carmen Castro
110010001,La Casa Blanca (El Álamo)
110010001,Santa Amalia
110010001,La Cinta
110010001,Cortijo Miramar
110010001,Don Jesús (Casa de los Arcos)
110010001,La Estancia de Orozco (Cuatro Milpas)
110010001,La Fortuna
110010001,Fracción la Gloria (Ricardo Cruz Aguilera)
110010001,Don Blas (San José de Gómez)
110010001,San Aparicio (La Granja del Doctor)
110010001,Cuatro Caminos
110010001,El Pedregal
110010001,José Navarro
110010001,La Pequeña Carroza
110010001,Martín Alvarado
110010001,San Joaquín
110010001,La Herradura
110010001,Hursh (El Vergel)
110010001,José Eduardo Fuerte
110010001,El Pino
