IDDEENTIDAD,ID,DESCRIPCION
11,110010001,Abasolo
11,110020001,Acámbaro
11,110030001,San Miguel de Allende
11,110040001,Apaseo el Alto
11,110050001,Apaseo el Grande
11,110060001,Atarjea
11,110070001,Celaya
11,110080001,Manuel Doblado
11,110090001,Comonfort
11,110100001,Coroneo
11,110110001,Cortazar
11,110120001,Cuerámaro
11,110130001,Doctor Mora
11,110140001,Dolores Hidalgo Cuna de la Independencia Nacional
11,110150001,Guanajuato
11,110160001,Huanímaro
11,110170001,Irapuato
11,110180001,Jaral del Progreso
11,110190001,Jerécuaro
11,110200001,León
11,110210001,Moroleón
11,110220001,Ocampo
11,110230001,Pénjamo
11,110240001,Pueblo Nuevo
11,110250001,Purísima del Rincón
11,110260001,Romita
11,110270001,Salamanca
11,110280001,Salvatierra
11,110290001,San Diego de la Unión
11,110300001,San Felipe
11,110310001,San Francisco del Rincón
11,110320001,San José Iturbide
11,110330001,San Luis de la Paz
11,110340001,Santa Catarina
11,110350001,Santa Cruz de Juventino Rosas
11,110360001,Santiago Maravatío
11,110370001,Silao de la Victoria
11,110380001,Tarandacuao
11,110390001,Tarimoro
11,110400001,Tierra Blanca
11,110410001,Uriangato
11,110420001,Valle de Santiago
11,110430001,Victoria
11,110440001,Villagrán
11,110450001,Xichú
11,110460001,Yuriria
