IDDEMUNICIPIO,DESCRIPCION
120010001,Acapulco de Juárez
120010001,Agua del Perro
120010001,Aguas Calientes
120010001,Alto del Camarón
120010001,Amatepec
120010001,Amatillo
120010001,Apalani
120010001,Apanhuac (Apanguaque)
120010001,Barra Vieja
120010001,Barrio Nuevo de los Muertos
120010001,El Bejuco
120010001,Cacahuatepec
120010001,La Calera
120010001,Campanario
120010001,El Cantón
120010001,Carabalí
120010001,El Carrizo
120010001,Cerro de Piedra
120010001,Colonia Guerrero (Los Guajes)
120010001,La Concepción
120010001,Las Cruces de Cacahuatepec
120010001,Dos Arroyos
120010001,Ejido Nuevo
120010001,Espinalillo
120010001,La Estación
120010001,Garrapatas
120010001,Huajintepec
120010001,Huamuchitos
120010001,Los Ilamos
120010001,Kilómetro 21
120010001,Kilómetro 30
120010001,Kilómetro 34
120010001,Kilómetro 39
120010001,Kilómetro 40
120010001,Kilómetro 42 (Juan N. Álvarez)
120010001,Kilómetro 45
120010001,Kilómetro Cuarenta y Ocho
120010001,Laguna del Quemado
120010001,Lomas del Aire
120010001,Loma Larga
120010001,Lomas de Chapultepec
120010001,Las Marías
120010001,El Metlapil
120010001,Oaxaquillas
120010001,Las Ollitas (Las Joyitas)
120010001,Los Órganos de Juan R. Escudero
120010001,Los Órganos de San Agustín (El Quemado)
120010001,Pablo Galeana (Coacoyular)
120010001,Las Parotas
120010001,Parotillas
120010001,El Pelillo
120010001,Piedra Imán
120010001,Playones de San Isidro
120010001,Las Plazuelas
120010001,Pochotlaxco
120010001,La Providencia
120010001,Pueblo Madero (El Playón)
120010001,Pueblo Nuevo
120010001,El Rincón
120010001,Sabanillas
120010001,Salsipuedes
120010001,El Salto
120010001,San Antonio
120010001,San Isidro Gallinero (El Gallinero)
120010001,San José Cacahuatepec
120010001,Lomas de San Juan
120010001,San Martín el Jovero
120010001,San Pedro Cacahuatepec (Vereda de Amatillo)
120010001,San Pedro las Playas
120010001,La Sierrita
120010001,San José Tasajeras
120010001,Teniente José Azueta (Río Papagayo)
120010001,La Testaruda
120010001,Texca
120010001,Las Tortolitas
120010001,Tres Palos
120010001,Tuncingo
120010001,El Veladero (Veladero Morelos)
120010001,Venta Vieja
120010001,Xaltianguis
120010001,Xolapa
120010001,El Zapote
120010001,El Embarcadero (Las Totolas)
120010001,Kilómetro 22
120010001,Paraje de la Zorra
120010001,Los Planes
120010001,Puente de Fierro
120010001,El Ranchito
120010001,Paso Texca
120010001,Bella Vista Papagayo
120010001,Villa Guerrero
120010001,El Arenal
120010001,El Zoyamichal
120010001,Campo Rojo
120010001,Las Mariquitas (Atascadero)
120010001,Las Joyas
120010001,Las Chanecas
120010001,San Andrés Playa Encantada (El Podrido)
120010001,Candelilla (Las Palmitas)
120010001,Cabeza de Tigre
120010001,Cacahuate
120010001,Tasajeras
120010001,Zoyamiche
120010001,Banco de Oro
120010001,El Calahue
120010001,La Calera Dos
120010001,Los Coyotes
120010001,10 de Abril
120010001,La Hacienda (La Hacienda de Papagayo)
120010001,La Herradura
120010001,Paraíso de la Laguna
120010001,Kilómetro Treinta y Dos (Colonia la Unión)
120010001,Kilómetro Treinta y Tres
120010001,Kilómetro Treinta y Cinco
120010001,Kilómetro Treinta y Seis
120010001,Los Limones
120010001,El Limón
120010001,Loma Larga Tres
120010001,El Maguey
120010001,El Manglito
120010001,Los Mayos
120010001,Nicolás Bravo (Zanja del Teniente)
120010001,El Ranchito (Las Palmitas)
120010001,Paso de la Canastilla
120010001,El Podrido
120010001,Poza Verde (Pozo Verde)
120010001,Punta de Casa
120010001,El Salitre
120010001,Varadero de Tres Palos
120010001,La Vista Alegre
120010001,Colonia Mangos (El Quemado)
120010001,El Potrero
120010001,Rascasola
120010001,El Mango Solo (Las Tranquillas)
120010001,Vista Hermosa
120010001,Arroyo el Ejido
120010001,El Libramiento (La Gasera)
120010001,Agropecuaria
120010001,Arroyo Verde
120010001,Isla la Roqueta
120010001,Josefina de la O
120010001,El Paraíso
120010001,La Cámara
120010001,El Chorro (La Cascada)
120010001,Fabián Calixto
120010001,Jesús Hernández
120010001,Laguna la Testaruda
120010001,Nueva Frontera
120010001,Las Marcelas
120010001,Chivería [Granja]
120010001,El Zapote (Kilómetro Trece)
120010001,Los Triángulos [Granjas]
120010001,Agua Zarca de la Peña
120010001,Ángel Castro
120010001,La Arena
120010001,Colonia el Puente de Texca
120010001,Granja de los Godínez (Las Granjas)
120010001,El Jícaro
120010001,El Mamey
120010001,La Palmita
120010001,El Salto [Parque Industrial de Guerrero]
120010001,Colonia Loma Larga (El Basurero)
120010001,Colonia Nueva Luz
120010001,Colonia Praderas de Guadalupe
120010001,Colonia Donaciano Rivera
120010001,Las Bugambilias
120010001,Huerta Darío Orbe (La India)
120010001,Huerta los Reyes
120010001,Rancho Santo Domingo
120010001,Varadero del Plan de los Amates
120010001,Huerta Hermanos Lorenzo Ventura
120010001,Rancho Jesús Espinoza Palma
120010001,La Casa del Anciano
120010001,Colonia Independencia
120010001,Colonia Dieciséis de Noviembre
120010001,Colonia Ladrillera (La Pilastra)
120010001,Colonia la Esperanza
120010001,Colonia Miguel Terrazas Rivera
120010001,Colonia Nueva Generación
120010001,Colonia Rubén Figueroa Alcocer
120010001,Colonia Vista Hermosa de las Flores
120010001,Colonia la Frontera Aguacatillo
120010001,Huerta Gilberto Luna
120010001,Huerta Marcial Contreras
120010001,Colonia Monte Sinaí
120010001,Rancho Félix Lorenzo Martínez
120010001,Rancho Juan Muñoz
120010001,Rancho las Marías
120010001,Rancho María Angelina Carmona
120010001,Juan R. Escudero
120010001,Huerta Marcial Muñoz Silva
120010001,Huerta Ignacio Cuevas
120010001,Huerta Mario Salazar
120010001,Huerta Ricardo Mendoza
120010001,Rancho Domingo Villanueva
120010001,Colonia Carlos Cienfuegos
120010001,Jorge Campos [Campo de Fut-Bol]
120010001,Los Campos Manzo
120010001,El Cerrito (Colonia el Cerrito)
120010001,Colonia Acapulco Dos Mil
120010001,Colonia Ángel Heladio Aguirre Rivero
120010001,Colonia Mariano Molina
120010001,Colonia Seis de Agosto
120010001,El Uno [Huerta]
120010001,Huerta Francisca Dimayuga Mendoza
120010001,Huerta Gilberto Zequeida Viviano
120010001,Pilita [Huerta]
120010001,Maguey Uno
120010001,El Puente (Los Tepetates)
120010001,Rancho Don Arnulfo
120010001,Rancho Eusebio Sequeida Ozuna
120010001,Colonia el Rosario
120010001,Rancho San Antonio
120010001,Cerro Cumbre [Antenas]
120010001,Rancho el Capricho
120010001,Rancho el Costalito
120010001,Huerta el Coyote
120010001,El Limoncito
120010001,Colonia Alborada
120010001,Tunzingo [Unidad Habitacional]
120010001,Arroyo Muerto
120010001,Ciénega del Cuastololote
120010001,Granjas de Campo Rojo
120010001,Rancho Alfonso Catalán
120010001,Rancho Campo Rojo
120010001,Rancho la Guadalupana
120010001,Huerta Carmela Rivera Terrazas
120010001,Huerta Marcelino Flores Bailón
120010001,José Francisco Martínez Clark
120010001,El Rincón
120010001,El Zapote
120010001,Rancho el Tamarindillo
120010001,El Progreso de Cacahuatepec
120010001,Colonia Nueva de San Rafael
120010001,Colonia Democrática
120010001,Lucio Cabañas [Campamento Popular]
120010001,Colonia San Isidro del Progreso
120010001,Convento Monte San Alfonso
120010001,Fraccionamiento Campestre de la Laguna
120010001,Residencial Paraíso Diamante
120010001,El Vado
120010001,San José
120010001,Los Atascaderos
120010001,Paseo de la Laguna
120010001,Colonia Manuel Añorve Baños
120010001,El Paraíso
120010001,Santa Elena
120010001,Las Calderas
120010001,Barranca Lima
120010001,Joyas de San Agustín
120010001,Rancho la Esperanza
120010001,Las Cieneguitas Cuatas
120010001,Providencia Mágica
120010001,Lomas del Pedregal
120010001,La Huerta (Colonia el Palmar)
120010001,Huerta la Bugambilia
120010001,Huerta David Jiménez
120010001,Huerta Medardo Olea Gerardo
120010001,Mirita de los Reyes
120010001,Rancho la Luna
120010001,Huerta Ubaldo Muñoz
120010001,Colonia Guadalupe
120010001,Rancho Viejo
120010001,Colonia Tabiquera
120010001,Huerta Patricia Sánchez Rivera
120010001,El Cajelito
120010001,Ramón Pedroza
120010001,Palo Blanco (Los Sutter)
120010001,Parada los Charros
120010001,Loma de Chivería
120010001,Marcelino Ocampo [Colonia]
120010001,Amado Martínez Hernández [Huerta]
