IDDEENTIDAD,ID,DESCRIPCION
12,120010001,Acapulco de Juárez
12,120020001,Ahuacuotzingo
12,120030001,Ajuchitlán del Progreso
12,120040001,Alcozauca de Guerrero
12,120050001,Alpoyeca
12,120060001,Apaxtla
12,120070001,Arcelia
12,120080001,Atenango del Río
12,120090001,Atlamajalcingo del Monte
12,120100001,Atlixtac
12,120110001,Atoyac de Álvarez
12,120120001,Ayutla de los Libres
12,120130001,Azoyú
12,120140001,Benito Juárez
12,120150001,Buenavista de Cuéllar
12,120160001,Coahuayutla de José María Izazaga
12,120170001,Cocula
12,120180001,Copala
12,120190001,Copalillo
12,120200001,Copanatoyac
12,120210001,Coyuca de Benítez
12,120220001,Coyuca de Catalán
12,120230001,Cuajinicuilapa
12,120240001,Cualác
12,120250001,Cuautepec
12,120260001,Cuetzala del Progreso
12,120270001,Cutzamala de Pinzón
12,120280001,Chilapa de Álvarez
12,120290001,Chilpancingo de los Bravo
12,120300001,Florencio Villarreal
12,120310001,General Canuto A. Neri
12,120320001,General Heliodoro Castillo
12,120330001,Huamuxtitlán
12,120340001,Huitzuco de los Figueroa
12,120350001,Iguala de la Independencia
12,120360001,Igualapa
12,120370001,Ixcateopan de Cuauhtémoc
12,120380001,Zihuatanejo de Azueta
12,120390001,Juan R. Escudero
12,120400001,Leonardo Bravo
12,120410001,Malinaltepec
12,120420001,Mártir de Cuilapan
12,120430001,Metlatónoc
12,120440001,Mochitlán
12,120450001,Olinalá
12,120460001,Ometepec
12,120470001,Pedro Ascencio Alquisiras
12,120480001,Petatlán
12,120490001,Pilcaya
12,120500001,Pungarabato
12,120510001,Quechultenango
12,120520001,San Luis Acatlán
12,120530001,San Marcos
12,120540001,San Miguel Totolapan
12,120550001,Taxco de Alarcón
12,120560001,Tecoanapa
12,120570001,Técpan de Galeana
12,120580001,Teloloapan
12,120590001,Tepecoacuilco de Trujano
12,120600001,Tetipac
12,120610001,Tixtla de Guerrero
12,120620001,Tlacoachistlahuaca
12,120630001,Tlacoapa
12,120640001,Tlalchapa
12,120650001,Tlalixtaquilla de Maldonado
12,120660001,Tlapa de Comonfort
12,120670001,Tlapehuala
12,120680001,La Unión de Isidoro Montes de Oca
12,120690001,Xalpatláhuac
12,120700001,Xochihuehuetlán
12,120710001,Xochistlahuaca
12,120720001,Zapotitlán Tablas
12,120730001,Zirándaro
12,120740001,Zitlala
12,120750001,Eduardo Neri
12,120760001,Acatepec
12,120770001,Marquelia
12,120780001,Cochoapa el Grande
12,120790001,José Joaquín de Herrera
12,120800001,Juchitán
12,120810001,Iliatenco
12,120820001,Las Vigas
12,120830001,Ñuu Savi
12,120840001,Santa Cruz del Rincón
12,120850001,San Nicolás
