IDDEMUNICIPIO,DESCRIPCION
130010001,Acatlán
130010001,Agustín Olvera Sección I [Colonia]
130010001,Alcholoya (El Salto de Alcholoya)
130010001,Almoloya
130010001,Los Arcos
130010001,Benito Juárez [Colonia]
130010001,Buena Vista
130010001,Chauténco
130010001,Encinillos
130010001,Hueyotlipa
130010001,El Huizache y la Paloma
130010001,Loma Larga
130010001,Metepec Primero
130010001,El Milagro San Simón
130010001,Mixquiapan
130010001,La Peñuela
130010001,San Antonio la Palma
130010001,San Bartolo (El Llano)
130010001,San Dionisio
130010001,San Pablo
130010001,Totoapa el Grande
130010001,Totoapita Canutillo
130010001,Totoapita la Herradura
130010001,La Unión
130010001,28 de Mayo (Santa Rosa) [Colonia]
130010001,El Veladero
130010001,Vicente Guerrero
130010001,Las Palmas
130010001,Metepec Segundo
130010001,Barrio el Yolo
130010001,El Chilar (La Barranca)
130010001,El Fortín
130010001,Lagunicatlán
130010001,Loma Chica
130010001,La Palma
130010001,Hacienda el Lucero
130010001,Los Migueles
130010001,Piedra Larga
130010001,El Sabino (La Barranca)
130010001,La Calera (Los Baños)
130010001,La Chamusquina
130010001,La Luz
130010001,Majadillas (La Venta)
130010001,El Transformador
130010001,Zupitlán (Los Pocitos)
130010001,Cerro de Aguatepec
130010001,Echeverría [Colonia]
130010001,Rancho Alicia
130010001,El Rosario
130010001,Rancho Guadalupe
130010001,Ampliación Hueyotlipa
130010001,El Cerrito
130010001,El Potrero
130010001,Ernesto Zedillo [Colonia]
130010001,San Bartolo (La Barranca)
130010001,Agustín Olvera Sección II [Colonia]
130010001,Los Cármenes
130010001,Los Álamos
130010001,La Era
130020001,Acaxochitlán
130020001,Apapaxtla el Grande (Altamira)
130020001,La Bóveda
130020001,Cuaunepantla
130020001,La Mesa
130020001,Ojo de Agua de las Palomas
130020001,Los Reyes
130020001,San Francisco Atotonilco
130020001,San Juan
130020001,San Mateo
130020001,San Miguel del Resgate
130020001,San Pedro Tlachichilco
130020001,Santa Ana Tzacuala
130020001,Santa Catarina
130020001,Techachalco
130020001,Tepepa (Santiago Tepepa)
130020001,Tlacpac
130020001,Tlaltegco (Venta Quemada)
130020001,Ejido Tlatzintla
130020001,Tlamimilolpa
130020001,Toxtla
130020001,Yemila
130020001,Zacacuautla
130020001,Canales
130020001,Chimalapa
130020001,Montemar
130020001,Buena Vista
130020001,El Tejocotal
130020001,Zotictla
130020001,San Martín
130020001,Ejido Techachalco
130020001,El Vado
130020001,Coyametepec
130020001,Loma Linda
130020001,San Fernando
130020001,Ejido Santa Catarina
130020001,Tlatempa
130020001,Tlatzintla
130020001,Alpinagua
130020001,Atezcapa
130020001,Ejido de Tepepa (Santa Félix)
130020001,Ocotenco
130020001,Parada 170
130020001,El Valle
130020001,Cuautenco
130020001,Ejido Tlamimilolpa
130020001,El Álamo
130020001,Paredones Huitzilingo
130020001,Nepopoalco
130020001,El Puente
130020001,El Crucero
130020001,Loma Bonita
130020001,Nuevo San Juan
130020001,Agua Chiquila
130020001,Capoltitla
130020001,La Cumbre de Santa Catarina
130020001,El Lindero
130020001,Meztolotla
130020001,Las Palomas
130020001,Otontepec
130020001,Apapaxtla el Chico
130020001,El Canal
130020001,San Andrés
130030001,Actopan
130030001,Benito Juárez
130030001,Bothi Baji
130030001,Boxaxni
130030001,El Boxtha
130030001,San Diego Canguihuindo
130030001,Cañada Chica Antigua
130030001,Cuauhtémoc [Colonia]
130030001,Chicavasco
130030001,Dajiedhi
130030001,El Daxtha
130030001,La Estancia
130030001,El Huaxtho
130030001,La Loma
130030001,Santa María Magdalena
130030001,Las Mecas
130030001,Mesa Chica
130030001,El Palomo
130030001,La Peña
130030001,Plomosas
130030001,San Andrés Tianguistengo
130030001,Saucillo
130030001,La Quinta
130030001,Xideje
130030001,La Escoba
130030001,Rancho Osorios
130030001,El Senthé
130030001,La Segunda Manzana de Magdalena (El Arco)
130030001,La Presa
130030001,La Ardilla (Tierras Coloradas)
130030001,Casa Blanca
130030001,San Pedrito
130030001,Segunda Manzana Chicavasco (El Pozo)
130030001,Cuarta Manzana Chicavasco (La Ladera Chicavasco)
130030001,Pabellón Gastronómico
130030001,Francisco Constancio Azpeitia García
130030001,El Apartadero
130030001,San Isidro
130030001,Manzana de Golondrinas
130030001,Dos Cerritos
130030001,El Paraje
130030001,El Porvenir
130030001,Tierras Coloradas Magdalena
130030001,El Carrizal
130040001,Agua Blanca de Iturbide
130040001,Ejido de Agua Blanca (Cerro Alto)
130040001,Ejido de Calabazas
130040001,Calabazas Primera Sección
130040001,Calabazas Segunda Sección
130040001,Ejido de los Cubes
130040001,Los Cubes
130040001,Chichicaxtle
130040001,La Laguna
130040001,Ejido de Palizar
130040001,Ejido Milpa Vieja
130040001,Milpa Vieja (Apulco)
130040001,El Palizar
130040001,Ejido de Loma Ancha
130040001,Plan Grande
130040001,Potrero de Monroy
130040001,El Remudadero
130040001,Ejido Rosa de Castilla
130040001,Rosa de Castilla
130040001,San Cornelio
130040001,San Martín
130040001,San Pedrito
130040001,Tetetla
130040001,El Xúchitl
130040001,Sabanillas
130040001,El Vivero (El Pujido) [Colonia]
130040001,Ejido San Pedrito (Potrerillos)
130040001,La Torre [Rancho]
130050001,Ajacuba
130050001,Emiliano Zapata
130050001,Vicente Guerrero
130050001,Ignacio Zaragoza
130050001,Santiago Tezontlale
130050001,San Nicolás Tecomatlán
130050001,Tulancalco
130050001,Santo Niño [Colonia]
130050001,El Gorrión
130050001,Santa Bárbara
130050001,Las Huertas
130050001,Barrio el Rincón Sur
130050001,Los Cruces
130050001,El Cerrito de las Colmenas
130050001,Cuernavaca
130050001,Presa Nueva
130050001,Los Corrales
130050001,Rancho Nuevo
130050001,Los Bondos
130060001,Alfajayucan
130060001,Arias
130060001,Baxthe
