IDDEMUNICIPIO,DESCRIPCION
140010001,Acatic
140010001,Agua Prieta (Tepetates)
140010001,Alacates
140010001,Las Amarillas
140010001,El Bajío de los Herrera
140010001,El Bañadero
140010001,Rancho Nuevo Calderón
140010001,El Capadero (San Miguel de la Loza)
140010001,Carricillo
140010001,Ceja de Ramblas
140010001,Cofradía Grande
140010001,El Colomo
140010001,Las Coronillas
140010001,La Charranga
140010001,El Charco del Ahogado
140010001,Chiquihuitillo
140010001,El Chivatero
140010001,La Estancia
140010001,La Gallarda
140010001,La Gazapera
140010001,Las Huertas
140010001,La Infamia
140010001,Jagüey
140010001,El Jaral
140010001,Laguna Colorada
140010001,La Leonera
140010001,La Leonerita
140010001,La Loma (La Giganta)
140010001,Los Llanitos
140010001,Miraflores
140010001,Monte Largo
140010001,Las Motas
140010001,La Nopalera
140010001,El Ocotillo
140010001,Ojo de Agua del Colomo (La Campana)
140010001,Ojo de Agua de Verdum
140010001,Palo Solo
140010001,Las Paredes
140010001,Piedra Amarilla
140010001,Las Pilas
140010001,La Providencia (Crucero de Acatic)
140010001,La Quinta
140010001,El Ranchito
140010001,Los Ranchitos
140010001,Rancho Escondido
140010001,Rancho Nuevo
140010001,El Ranero
140010001,El Refugio (Paredones)
140010001,La Resolana
140010001,El Rincón
140010001,Saltillo de Arriba
140010001,El Salto
140010001,San Antonio
140010001,San Antonio de Roa
140010001,San Bartolo
140010001,San Francisco
140010001,Tierras Coloradas
140010001,San José del Salto
140010001,Santa Rita
140010001,El Sauz
140010001,La Soledad
140010001,Las Tablas
140010001,El Tempisque
140010001,El Tepamal
140010001,El Tepame
140010001,El Tepehuaje
140010001,El Tepozán
140010001,Tequililla
140010001,Terrero
140010001,El Tlalcoyote
140010001,Las Trojes
140010001,La Presa
140010001,El Venado
140010001,Las Ventanitas
140010001,Las Víboras
140010001,El Zapote
140010001,El Paraíso
140010001,Terrerito
140010001,Crucero Viejo Acatic
140010001,San José
140010001,Bosques del Palomar
140010001,Saltillo de Abajo
140010001,Sacamecate
140010001,Codornices
140010001,Las Tepozas
140010001,La Sosa
140010001,Agropecuaria Calderón
140010001,Las Amapolas
140010001,Los Dos Pilares
140010001,Las Barranquitas
140010001,La Calesa (Plan de Calderón)
140010001,Cañada Honda
140010001,Tepatitlán [Club Cazadores]
140010001,Cofradía Chica
140010001,La Copetona
140010001,La Escopeta
140010001,La Esperanza
140010001,GENPRO [La Lechonera]
140010001,Verde Valle [Granja]
140010001,El Refugio [Granja]
140010001,Ninguno [Granja Rancho Nuevo]
140010001,La Joya (Avícola la Joya)
140010001,La Majada
140010001,Las Mesas
140010001,La Mojonera
140010001,La Ordeña
140010001,El Pitahayo
140010001,La Presa de la Joya
140010001,Rancho Alegre
140010001,El Saltillo
140010001,El Tanque
140010001,Tierra Blanca
140010001,Las Tortugas
140010001,El Roble
140010001,San Pablo
140010001,Acatic (Colonia la Prepa)
140010001,La Candelaria
140010001,El Tule [Centro Turístico el Venado]
140020001,Acatlán de Juárez
140020001,Bellavista
140020001,El Plan (El Cerrito)
140020001,San José de los Pozos
140020001,San Pedro Valencia
140020001,El Colomo
140020001,El Platanarillo
140020001,Santa Ana [Estación]
140020001,San Gerardo [Campo de Bomberos]
140020001,El Malvaste
140020001,Crucero de Bellavista
140020001,Ex-Hacienda el Plan
140020001,Loma del Panteón
140020001,El Ariete
140020001,Banco de Material (Banco Nuevo)
140020001,Los Castillos (Las Torrecillas)
140020001,Chamalditán
140020001,El Chivo
140020001,La Coronilla
140020001,Crucero de los Pozos
140020001,Dos Hermanos
140020001,El Durazno
140020001,La Esperanza
140020001,La Florida
140020001,Maravillas [Fraccionamiento]
140020001,El Gigante
140020001,Los Guayabitos (Los Arietes)
140020001,La Lagunilla
140020001,La Magdalena (Casitas Blancas)
140020001,Las Maravillas (El Cuarenta)
140020001,Montenegro
140020001,El Pantano San Marcos
140020001,Los Pinos
140020001,El Quelele
140020001,El Ramireño
140020001,Santa Ana Tres (Cresta Avícola)
140020001,La Soledad
140020001,Acatlán de Juárez [Subestación Eléctrica]
140020001,La Taberna (Miravalle)
140020001,Tepetatitos
140020001,Las Varas (Las Varitas)
140020001,Agua Zarca
140020001,Las Alberquitas [Balneario]
140020001,Las Carretas
140020001,Pérez y Delanda
140020001,Celso Espinoza
140020001,Chavarín
140020001,Heliodoro Camacho (La Yerbabuena)
140020001,Los Hornitos (La Presita)
140020001,Los Mezcales Dos Mil
140020001,El Río
140020001,Villa de los Niños
140020001,El Novillero
140020001,Ribera del Lago [Fraccionamiento]
140020001,Centro Logístico de Jalisco [Parque Industrial]
140020001,Hacienda de la Esperanza
140020001,Kordich [Club Deportivo]
140020001,Los Aguacates  [Rancho]
140030001,Ahualulco de Mercado
140030001,El Carmen (El Capulín)
140030001,El Cuervo
140030001,Chapulimita (Chapuli)
140030001,La Fábrica
140030001,Falda del Aguacate (El Aguacate)
140030001,El Mirador
140030001,La Mora (La Morita)
140030001,Los Nogales
140030001,La Peña
140030001,El Rodeo
140030001,Santa Cruz de Bárcenas (Santa Cruz)
140030001,El Saucillo
140030001,El Soltero
140030001,Teuchiteco
140030001,Tiro Patria
140030001,Portes Gil (San Ignacio)
140030001,Agua Blanca
140030001,Los Sauces
140030001,El Guayabito
140030001,El Lechón [Granja Agropecuaria]
140030001,Úres [Granja]
140030001,Rancho los Laureles Uno
140030001,Baviacora [Granja]
140030001,Tecoripa [Granja]
140030001,La Cofradía (Rancho los Parados)
140030001,El Colgado
140030001,Los Cuatillos
140030001,El Salteño
140030001,Rancho Germán
140030001,El Camichín
140030001,Felipe Medina
140030001,José Robles
140030001,El Mandadero
140030001,El Paraíso
140030001,Rancho el Parral
140030001,La Tijera
140030001,Ninguno
140030001,Casa de Armando Pérez
140030001,Cecilio Velázquez
140030001,Los Leones
140030001,Ahualulco [Gas Licuado]
140030001,Santa Cruz Dos [Granja]
140030001,Santa Cruz Uno [Granja]
140030001,La Majada
140030001,Malaquíaz Pérez (La Noria)
140030001,Rancho Cuevas
140030001,Rancho de Chón Ruelas
140030001,Rancho de Juan Aldaz
140030001,Rancho de Juan Romero
140030001,Rancho de Martín Hernández
140030001,Rancho el Alacrán
140030001,Rancho la Yerbabuena
140030001,Rancho Máximo Gutiérrez
140030001,Rancho Olmos
140030001,San Isidro
140030001,El Trapiche
140030001,El Encanto
140030001,El Temazcal
140030001,El Novillo
140030001,Loma Alta
140030001,Rancho del Tío Lolo
140030001,Rancho el Agave
140030001,El Verde
140040001,Amacueca
140040001,Coco [Granja AVIG]
140040001,Aguacatita
140040001,El Apartadero
140040001,Barranca San Miguel
140040001,Cerro Bola
140040001,Cofradía del Rosario
140040001,Crucero de Tapalpa
140040001,Los Chávez
140040001,Chichiquila
140040001,Lagunitas
140040001,La Mora
140040001,Palo Quemado
140040001,El Plan
140040001,El Rincón
140040001,San Juanito
140040001,Tepec
140040001,Los Trujillo
140040001,Los Zalates
140040001,Rancho Viejo
140040001,Ojo de Agua
140040001,Carmelita
140040001,Mezquititlán
140040001,El Verde
140040001,Ninguno [Estación de Microondas]
140040001,La Primavera
140040001,La Dama de Negro [Restaurante]
140040001,Las Tabernillas
140040001,El Tacamo
140040001,El Aguacate
140040001,Ninguno [Bodega Ejidal]
140040001,Cárdenas
140040001,Los Charcos
140040001,La Cinta el Nogal
140040001,Corporación Delco
140040001,El Durazno
140040001,Ejido de Amacueca
140040001,Ninguno [Granja]
140040001,Grupo Cárdenas del Río
140040001,Las Guásimas
140040001,El Jazmín
140040001,Las Jícamas
140040001,La Mezcalera
140040001,El Mezquital
140040001,Los Nogales
140040001,El Pedregoso
140040001,La Posta
140040001,San Juanito [Granja AVIG]
140040001,Rancho Alegre
140040001,El Retoño
140040001,Huerta de Aguacate
140040001,Ninguno
140040001,Ninguno [Rancho]
140040001,Ninguno
140040001,El Paraje
140040001,Agua Fría
140040001,El Capulín
140040001,El Chilar
140040001,Ninguno
