IDDEMUNICIPIO,DESCRIPCION
150010001,Villa de Acambay de Ruíz Castañeda
150010001,Agostadero (San José Agostadero)
150010001,Agua Limpia
150010001,Las Arenas (San Agustín)
150010001,Boshi Chiquito
150010001,Boshi Grande
150010001,Botidi
150010001,Bovini
150010001,Boshindo
150010001,La Caridad
150010001,Conejeras
150010001,Chanteje
150010001,Los Charcos
150010001,Dateje
150010001,Detiña (San Antonio Detiña)
150010001,Dongu (Dongu Centro)
150010001,Endeje
150010001,El Ermitaño
150010001,Esdoca (Esdoca Centro)
150010001,La Estancia Sector I
150010001,Gando
150010001,Ganzda
150010001,Barrio de Guadalupe
150010001,Hondiga
150010001,La Huerta
150010001,Juando
150010001,La Laguna
150010001,La Loma (Santa María la Loma)
150010001,La Manga
150010001,Muyteje
150010001,Pathé
150010001,Los Pilares
150010001,Pueblo Nuevo
150010001,Puentecillas
150010001,San Antonio las Palmas
150010001,San Francisco Shaxni
150010001,San Ildefonso (San Ildefonso Yolotepec)
150010001,San José Boctó
150010001,San Juanico Sector Uno
150010001,San Juanico Sector Dos
150010001,San Nicolás Acambay
150010001,San Pedro de los Metates
150010001,La Soledad
150010001,Santa María Tixmadejé (Tixmadejé Grande)
150010001,Tixmadejé Chiquito
150010001,La Teresa (Santa Teresa)
150010001,Los Sauces
150010001,Dongu Puerto
150010001,Loma de San Ángel
150010001,Loma Linda
150010001,Detiña Ejido
150010001,La Florida
150010001,La Palma
150010001,Cañada del Gallo
150010001,Doxtejé Centro
150010001,San Francisco Shaxni Ejido
150010001,Loma de Enmedio
150010001,Los Toriles
150010001,Loma del Fresno
150010001,Buenavista
150010001,Mado Sector Dos
150010001,La Venta (Barrio la Venta)
150010001,La Estancia Sector II
150010001,Deshpe
150010001,Rincón de Juando
150010001,Barrancas
150010001,Botí (Botí Agostadero)
150010001,Cerrito de Tixmadejé
150010001,Doxtejé Barrio I
150010001,Rancho la Esperanza
150010001,Las Golondrinas
150010001,Mado Sector Uno
150010001,Las Mangas
150010001,Santa María las Arenas
150010001,Hacienda Toto
150010001,Las Chivas (El Cerro)
150010001,Las Pomas Ejido de Dateje
150010001,El Medrano
150010001,La Nopalera
150010001,La Terquedad
150010001,El Fresadero
150010001,La Cumbre
150010001,La Providencia
150010001,San Agustín la Loma
150010001,El Capulín (Barrio el Capulín la Loma)
150010001,Ejido Tixmadeje
150010001,El Pedregal de Tixmadejé
150010001,Las Trojes
150010001,Dongu Barrio Uno
150010001,Dongu Barrio Dos
