IDDEMUNICIPIO,DESCRIPCION
160010001,Acuitzio del Canje
160010001,Los Aguacates
160010001,La Angostura
160010001,Aróstaro
160010001,Arroyo Hondo
160010001,El Auxilio (Los Tanques)
160010001,La Campana
160010001,Las Canoas
160010001,El Ciprés
160010001,Cruz Gorda
160010001,Cutzaro
160010001,Huajumbo
160010001,La Laja
160010001,La Palma
160010001,Páramo
160010001,El Paredón
160010001,Paso del Muerto
160010001,San Andrés Coapa
160010001,Tamanguío
160010001,Los Tetequis
160010001,Tirípano
160010001,El Tzintzún
160010001,El Varal
160010001,La Vinata
160010001,Ziparapio el Alto
160010001,Agua Chiquita
160010001,Agua Grande
160010001,Agua Puerca
160010001,Corralo (Tirindiriz)
160010001,La Peñita
160010001,Rosa de Castilla
160010001,El Terrero
160010001,La Tinaja
160010001,Las Trojes (Las Trojas)
160010001,La Huizata
160010001,La Paloma (Ziparapio el Bajo)
160010001,Las Juntas
160010001,El Melón
160010001,El Moral
160010001,Loma del Pastor
160010001,El Pinabete
160020001,Aguililla
160020001,Agua de Ríos
160020001,Agua Fría
160020001,Bonifacio Moreno (El Aguaje)
160020001,Alacranes
160020001,La Alberca
160020001,Arroyo Seco
160020001,El Barbasco
160020001,La Barilera
160020001,Barranca del Aguacate
160020001,El Blanqueadero
160020001,La Bocanita
160020001,La Bolsa (Paso de la Bolsa)
160020001,El Bule
160020001,La Cabra
160020001,La Calabaza
160020001,Las Canoas
160020001,El Capire
160020001,La Cebadilla (Barranca de la Cebadilla)
160020001,El Cedral
160020001,Peña Colorada
160020001,Corral de Piedra
160020001,Las Crucitas
160020001,El Chanal
160020001,El Charapo (Palo Alto)
160020001,El Chino
160020001,Dos Aguas
160020001,El Encanto
160020001,El Puente del Encinal
160020001,La Estancia
160020001,El Faisán
160020001,La Gallina
160020001,El Granadillo (Granadillos)
160020001,El Guaco
160020001,Los Guamiles (Las Higueritas)
160020001,El Guayabal (El Guayabal Sur)
160020001,Güilile
160020001,La Haciendita
160020001,La Higuera de la Virgen
160020001,Los Horcones
160020001,La Ordeñita
160020001,Huisto
160020001,El Jovero
160020001,Las Juntas
160020001,La Laja
160020001,El Limoncito
160020001,General Lázaro Cárdenas (El Limón)
160020001,La Línea
160020001,La Lobera
160020001,La Loma
160020001,El Mamey
160020001,La Mina
160020001,El Moro
160020001,Naranjo de Chila
160020001,Naranjo Viejo
160020001,Los Obscuros
160020001,La Palma
160020001,La Palmera
160020001,El Palmito
160020001,Palo Alto (Hacienda Palo Alto)
160020001,El Paredón Colorado
160020001,El Parotal
160020001,Patacuas
160020001,Colonia la Paz [Crucero de Dos Aguas]
160020001,El Pelechado
160020001,Piedra Verde
160020001,El Pinabete
160020001,El Pino
160020001,El Pinzán
160020001,La Pinzanera
160020001,El Platanillo
160020001,El Potrero
160020001,La Presa
160020001,El Pueblito
160020001,Puerto del Platanillo
160020001,Rancho Viejo
160020001,El Rincón
160020001,El Rodeo
160020001,Salsipuedes
160020001,El Salto
160020001,El Tacote
160020001,El Tamarindo
160020001,El Tazumbo
160020001,Tepoztán de Abajo
160020001,Tepoztán de Arriba
160020001,Tierra de Bueyes
160020001,El Tigre
160020001,El Timbiriche (Barranca del Timbiriche)
160020001,Las Trojas
160020001,La Uva
160020001,La Venadera
160020001,Agua Zarca
160020001,Casa de Piedra
160020001,Casas Blanqueadas
160020001,El Capire
160020001,La Casona
160020001,El Chupadero
160020001,El Guayabo
160020001,La Huerta
160020001,La Longaniza
160020001,La Limonera
160020001,El Varil (Loma de la Paja)
160020001,Los Manguitos
160020001,Mesa de la Parota
160020001,La Mesa del Arpa
160020001,El Ojo de Agua
160020001,La Parota
160020001,Potrerillos
160020001,Los Parajes
160020001,Porucho
160020001,La Higuera Podrida
160020001,Paso de los Atutos
160020001,El Tigre
160020001,Voladeros
160020001,El Roble [Viveros]
160020001,El Zapote
160020001,Las Guásimas
160020001,El Zapote
160020001,La Sidra
160020001,Paso de las Vacas
160020001,El Aguacate
160020001,El Cajón
160020001,La Camalotera
160020001,Las Canoas
160020001,La Canoa
160020001,Los Cisneros
160020001,El Comalito
160020001,El Charco
160020001,El Chical
160020001,El Escorpión
160020001,La Fortuna
160020001,Barranca de la Gloria
160020001,La Golondrina
160020001,La Granada
160020001,El Sauz
160020001,El Hondable
160020001,Los Horcones
160020001,El Infiernillo
160020001,Las Juntas
160020001,Las Juntas
160020001,La Laguna
160020001,El Limoncito
160020001,Mata de Bule
160020001,Mesa de los Caballos
160020001,Mesa del Tigre
160020001,Mirador de Chapula
160020001,La Mora
160020001,Los Nogales (Los Nogales de Chapula)
160020001,Las Ollas
160020001,Palos Altos
160020001,Paredes
160020001,La Parota
160020001,Puerto la Aguacatera
160020001,Puerto la Guayabera
160020001,El Reparito
160020001,El Rincón
160020001,Rincón del Guayabal
160020001,La Tasajera
160020001,La Tasajerilla
160020001,El Zapote
160020001,Los Manguitos
160020001,Las Huertitas
160020001,Las Crucitas
160020001,La Sidra
160020001,El Higueral
160020001,El Barbecho
160020001,Salitre
160020001,El Cóbano
160020001,Barranca de Ruelas
160020001,La Mina
160020001,Los Anonitos
160020001,El Ancón
160020001,El Añil (Agua Zarca)
160020001,La Ciénega
160020001,El Corral de Piedra
160020001,El Cuartón
160020001,La Cuata
160020001,La Mesa del Burro
160020001,Palo Dulce
160020001,Paso de los Adame
160020001,El Pedregoso
160020001,Piedra Rodada
160020001,El Resumidero
160020001,Tierras Blancas
160020001,La Troja Nueva
160020001,El Aserradero
160020001,La Bocana de la Barranca del Aguacate
160020001,Las Camichinas
160020001,El Capire
160020001,El Capire
160020001,Colimilla
160020001,El Espejo
160020001,La Guayabera
160020001,La Joyita
160020001,Palo Agujerado
160020001,Las Parotas
160020001,Las Piedras de Amolar
160020001,Puerto de la Olla
160020001,El Varil
160020001,Rancho Nuevo
160020001,La Tacuachera
160020001,El Tepamo
160020001,Tierra de Bueyes
160020001,El Zapote
160020001,Barranca Honda
160020001,La Cañita
160020001,Los Fresnos
160020001,El Guayabal del Norte
160020001,Las Higueras Tarepe
160020001,La Ujera
160020001,El Izote
160020001,La Joya
160020001,La Laja
160020001,Mata de Plátano
160020001,El Palo Dulce
160020001,Rancho Viejo
160020001,El Saucito
160020001,El Barro
160020001,Las Camelinas
160020001,El Capulín
160020001,El Cura
160020001,Los Fierrillos
160020001,Las Guasimitas
160020001,La Lagunita
160020001,El Limón
160020001,El Limoncito
160020001,Los Llanitos
160020001,Los Llanitos
160020001,Paracho
160020001,Paso del Limón
160020001,La Pilastra
160020001,La Pinzanera
160020001,La Prensa
160020001,Subida a Tres Cerritos
160020001,Las Palomas
160020001,Barbechitos (Capirones)
160020001,Los Cimientos
160020001,El Cóbano
160020001,La Cruz
160020001,La Cruz
160020001,Chapula
160020001,La Chirimoya
160020001,Falsetes
160020001,El Fresnal (El Limoncito)
160020001,El Granadillo (Cerro Chino)
160020001,La Granja
160020001,La Guayabillera
160020001,La Huerta
160020001,Las Lomas
160020001,El Manguito
160020001,El Mirador
160020001,El Molino
160020001,Las Moras
160020001,La Palma (La Palmita)
160020001,El Parejo de los Gallos
160020001,La Parota de la Pista
160020001,El Pie de la Cuesta
160020001,Plan del Buey
160020001,Rancho de Macías
160020001,El Saucito
160020001,El Sauz
160020001,Vallecitos (El Jilguero)
160020001,Piedras Blancas
160020001,El Parejo
160020001,La Higuera Chata
160020001,Buenavista
160030001,Álvaro Obregón
160030001,El Alto de Avilés
160030001,Tepacua (El Cerrito)
160030001,El Calvario
160030001,Felipe Carrillo Puerto
160030001,Chehuayo Grande
160030001,Emiliano Zapata
160030001,Estación de Quirio
160030001,Isla de Tzirio
160030001,Lázaro Cárdenas (La Purísima)
160030001,León Cárdenas (La Ardilla)
160030001,Mezquite Verde (La Hacienda del Mezquite Verde)
160030001,La Mina
160030001,Palo Blanco
160030001,La Presa
160030001,Quirio (Ex-Hacienda de Quirio)
160030001,El Rocío
160030001,Adolfo Ruiz Cortines
160030001,Las Trojes
160030001,Colonia el Venado
160030001,Zacapendo
160030001,Tzintzimeo
160030001,Félix Ireta
160030001,Ampliación la Mina
160030001,El Zacatito (El Ranchito)
160030001,Felipe Ángeles (Hacienda de las Piedras)
160030001,Los Malagón (El Moral)
160030001,Isla las Rosas
160030001,Chehuayo Chico (Chehuayito)
160030001,Las Peñas (El Vado)
160030001,Los Laureles
160030001,El Mirador
160030001,Las Peñas
160030001,San Isidro
160030001,Los Girasoles
160030001,Palo Blanco
160030001,La Begonia (La Sabinera)
160030001,La Peregrina
160030001,San Ángel (Los Balleños)
160030001,Santa Fe (Tres Puentes)
160030001,La Esperanza [Granja]
160030001,Solís Correa [Bodega]
160030001,Martínez [Granja Porcina]
160030001,San Roque [Granja]
160030001,Las Camelinas
160030001,Temazcal (La Soledad)
160030001,Los Contreras
160030001,El Moral
160030001,Plan de la Salud
160030001,Los Pastor
160030001,La Carreta
160030001,El Zapote [Colonia Agrícola]
160030001,Potrero Verde
160030001,El Rodeo
160030001,Mezquite Verde (Felipe Ángeles)
160030001,San Gregorio
160030001,Sacramento [Rancho]
160030001,La Laguna
160040001,Angamacutiro de la Unión
160040001,Agua Caliente (Ojo de Agua)
160040001,Aramútaro de la Cal
160040001,Aranjuez
160040001,Curicipo
160040001,Santiago Conguripo
160040001,La Estancia del Río
160040001,Guadalupe Norte (La Haciendita)
160040001,Guadalupe Sur
160040001,Guayabo Buenavista
160040001,Héroes de la Revolución
160040001,El Maluco
160040001,Miravalle
160040001,La Palma
160040001,El Rosario
160040001,El Sabino (La Taza)
160040001,San Diego Buenavista
160040001,San Ignacio de Loyola
160040001,San José del Maluco
160040001,San Pedro
160040001,Santa María (Santa María del Río)
160040001,El Troje
160040001,Laguna de Cortés
160040001,La Ponzoña
160040001,Nuevo Paraíso
160040001,Rancho de la Cueva
160040001,La Zapotera de Tunilla
160040001,La Presa
160040001,La Loma
160040001,La Mesa
160040001,El Guanumo
160050001,Mineral de Angangueo
160050001,Dolores
160050001,Colonia Independencia
160050001,Las Jaras
160050001,Jesús de Nazareno (La Hacienda)
160050001,Segunda Manzana de Nicolás Romero (Cañada del Muerto)
160050001,La Rondanilla (Primer Cuartel)
160050001,La Salud
160050001,Manzana de la Trinidad (La Junta)
160050001,El Llano de las Papas
160050001,Primera Manzana de Nicolás Romero (Los Mimbres)
160050001,Segundo Cuartel de Rondanilla
160050001,El Tigre (Nueva Comunidad el Tigre)
160050001,San Antonio
160050001,San Marcial
160050001,Cerro del Melón
160050001,El Puerto
160050001,Ampliación Nueva el Pedregal
160050001,La Calera
160050001,Barrio Sustentable Monarca (Las Casitas)
160060001,Apatzingán de la Constitución
160060001,Santiago Acahuato
160060001,Acatlán
160060001,El Alazán
160060001,La Alberca
160060001,El Alcalde
160060001,El Ancón
160060001,Las Anonas
160060001,La Barrenada (La Piedra Barrenada)
160060001,La Bejuquera
160060001,California
160060001,Las Canoas
160060001,Cenobio Moreno (Las Colonias)
160060001,El Cerro Blanco (Las Galeras)
160060001,La Clavellina
160060001,La Cofradía
160060001,Contingencia
160060001,La Cuchara
160060001,Chandio (Ejido la Concha)
160060001,San José de Chila
160060001,Chiquihuitillo
160060001,Galeana
160060001,Guanajuatillo
160060001,Cuauhtémoc Cárdenas (El Guayabo)
160060001,El Güineo
160060001,Holanda
160060001,Loma de los Hoyos
160060001,El Huaco
160060001,La Huerta (Hacienda de la Huerta)
160060001,El Huicumo
160060001,Lápiz Rojo
160060001,Loma de las Piedras
160060001,El Llano Grande
160060001,La Majada
160060001,El Manzo
160060001,Las Maravillas de Acahuato (La Colonia)
160060001,Mata de Plátano (Punta de Agua)
160060001,Matamoros
160060001,La Mesa de la India
160060001,El Mezquital (Quelele)
160060001,El Mirador (Tepetates)
160060001,El Molinito (La Primavera)
160060001,El Morado
160060001,La Nopalera Oriente
160060001,La Nopalera Poniente
160060001,Las Palomas
160060001,La Piedra
160060001,Las Pilas
160060001,La Presa de Acahuato
160060001,Presa del Rosario
160060001,Puerta de Alambre (Ayacuato)
160060001,Puerta de Chila
160060001,Los Puertecitos (Rincón de los Bueyes)
160060001,Los Cuiniques
160060001,Quiringuca (Quiringucua)
160060001,El Recreo
160060001,El Reparo
160060001,La Salatera
160060001,San Antonio la Labor
160060001,Los Sandoval
160060001,San Juan de los Plátanos
160060001,Rancho Seco
160060001,El Suspiro
160060001,La Tejona
160060001,El Tepetate
160060001,El Tesorero (Altamira)
160060001,Las Tinajas
160060001,Los Tules
160060001,Tzentzénguaro
160060001,El Valle de Acatlán
160060001,Veracruz
160060001,Vicente Riva Palacio (El Pinzán Gacho)
160060001,Solidaridad [Vivero Municipal]
160060001,El Zapote
160060001,Las Bateas (El Venteadero)
160060001,Las Cajas
160060001,San José Nuevo
160060001,Los Hornos
160060001,Las Cahuingas
160060001,Paso del Capire
160060001,El Huasteco
160060001,María Teresa
160060001,El Salate
160060001,Palo Alto
160060001,La Crucita (Las Crucitas)
160060001,La Ordeñita
160060001,Agua Buena
160060001,El Agua de Don Pedro
160060001,La Peña
160060001,El Ahijadero
160060001,La Atarjea
160060001,Bacatete
160060001,La Becerra
160060001,Los Bucios (Palito Verde)
160060001,El Cajón
160060001,El Morado Viejo
160060001,Crucero de las Cahuingas
160060001,La Cruz
160060001,Cueramato
160060001,La Esperanza (Buenos Aires)
160060001,El Feo (El Charco de la Mancuerna)
160060001,Guayacán
160060001,Los Hornos
160060001,La Joya
160060001,Los Laureles
160060001,El Lindero
160060001,El Rosario
160060001,Las Mesas
160060001,Los Molinos
160060001,El Morado
160060001,Las Palmas
160060001,Las Palmas
160060001,Las Palmas
160060001,La Palmita
160060001,Panzacola
160060001,El Paso de la Cucha
160060001,El Pino Nuevo
160060001,El Pitahayo
160060001,La Pólvora
160060001,Potrerillos
160060001,Rancho Nuevo
160060001,Ranchos Viejos
160060001,El Refugio
160060001,Rufino
160060001,San Fernando
160060001,San Francisco
160060001,San Francisco
160060001,San Isidro
160060001,Santa Rosa
160060001,Santa Rosa
160060001,Talismán
160060001,Tecomacan (El Canguro)
160060001,El Tejiquilpo
160060001,Las Tinajas (El Pilar)
160060001,Las Tontas
160060001,Las Tres Cruces
160060001,Las Trojas
160060001,La Urraca
160060001,Valle Verde
160060001,La Verdad
160060001,Los Tamarindos [Rancho]
160060001,La Yerbabuena
160060001,El Zapote
160060001,El Barcino
160060001,Las Ceibas
160060001,Ishatiro
160060001,Masiaca
160060001,Morataya
160060001,El Pinzán Morado (La Galera)
160060001,San Antonio (La Canastilla)
160060001,El Seis
160060001,La Zapotera
160060001,Ejido José María Morelos
160060001,La Piedra
160060001,La Escondida
160060001,El Morón
160060001,Rancho Nuevo
160060001,Los Potros
160060001,San Martín
160060001,Charapicho
160060001,Barranca de en Medio
160060001,Los Tamarindos (El Pelón)
160060001,La Cucha
160060001,La Envarillada
160060001,La Limonera
160060001,El Negro
160060001,La Piedra Blanca
160060001,Pororicua
160060001,La Tucurusca
160060001,La Bocana del Valle
160060001,El Limoncito de las Cajas
160060001,La Molleja
160060001,La Pinzanera
160060001,La Mostrera
160060001,La Caballada
160060001,Rancho de las Tinajas
160060001,Porrazo
160060001,Toputo
160060001,Agustín
160060001,Los Almendros
160060001,Buenos Aires
160060001,Las Camelinas
160060001,Casco los Hoyos (El Cabo)
160060001,El Cimiento
160060001,Los Corongoros
