IDDEENTIDAD,ID,DESCRIPCION
16,160010001,Acuitzio
16,160020001,Aguililla
16,160030001,Álvaro Obregón
16,160040001,Angamacutiro
16,160050001,Angangueo
16,160060001,Apatzingán
16,160070001,Aporo
16,160080001,Aquila
16,160090001,Ario
16,160100001,Arteaga
16,160110001,Briseñas
16,160120001,Buenavista
16,160130001,Carácuaro
16,160140001,Coahuayana
16,160150001,Coalcomán de Vázquez Pallares
16,160160001,Coeneo
16,160170001,Contepec
16,160180001,Copándaro
16,160190001,Cotija
16,160200001,Cuitzeo
16,160210001,Charapan
16,160220001,Charo
16,160230001,Chavinda
16,160240001,Cherán
16,160250001,Chilchota
16,160260001,Chinicuila
16,160270001,Chucándiro
16,160280001,Churintzio
16,160290001,Churumuco
16,160300001,Ecuandureo
16,160310001,Epitacio Huerta
16,160320001,Erongarícuaro
16,160330001,Gabriel Zamora
16,160340001,Hidalgo
16,160350001,La Huacana
16,160360001,Huandacareo
16,160370001,Huaniqueo
16,160380001,Huetamo
16,160390001,Huiramba
16,160400001,Indaparapeo
16,160410001,Irimbo
16,160420001,Ixtlán
16,160430001,Jacona
16,160440001,Jiménez
16,160450001,Jiquilpan
16,160460001,Juárez
16,160470001,Jungapeo
16,160480001,Lagunillas
16,160490001,Madero
16,160500001,Maravatío
16,160510001,Marcos Castellanos
16,160520001,Lázaro Cárdenas
16,160530001,Morelia
16,160540001,Morelos
16,160550001,Múgica
16,160560001,Nahuatzen
16,160570001,Nocupétaro
16,160580001,Nuevo Parangaricutiro
16,160590001,Nuevo Urecho
16,160600001,Numarán
16,160610001,Ocampo
16,160620001,Pajacuarán
16,160630001,Panindícuaro
16,160640001,Parácuaro
16,160650001,Paracho
16,160660001,Pátzcuaro
16,160670001,Penjamillo
16,160680001,Peribán
16,160690001,La Piedad
16,160700001,Purépero
16,160710001,Puruándiro
16,160720001,Queréndaro
16,160730001,Quiroga
16,160740001,Cojumatlán de Régules
16,160750001,Los Reyes
16,160760001,Sahuayo
16,160770001,San Lucas
16,160780001,Santa Ana Maya
16,160790001,Salvador Escalante
16,160800001,Senguio
16,160810001,Susupuato
16,160820001,Tacámbaro
16,160830001,Tancítaro
16,160840001,Tangamandapio
16,160850001,Tangancícuaro
16,160860001,Tanhuato
16,160870001,Taretan
16,160880001,Tarímbaro
16,160890001,Tepalcatepec
16,160900001,Tingambato
16,160910001,Tingüindín
16,160920001,Tiquicheo de Nicolás Romero
16,160930001,Tlalpujahua
16,160940001,Tlazazalca
16,160950001,Tocumbo
16,160960001,Tumbiscatío
16,160970001,Turicato
16,160980001,Tuxpan
16,160990001,Tuzantla
16,161000001,Tzintzuntzan
16,161010001,Tzitzio
16,161020001,Uruapan
16,161030001,Venustiano Carranza
16,161040001,Villamar
16,161050001,Vista Hermosa
16,161060001,Yurécuaro
16,161070001,Zacapu
16,161080001,Zamora
16,161090001,Zináparo
16,161100001,Zinapécuaro
16,161110001,Ziracuaretiro
16,161120001,Zitácuaro
16,161130001,José Sixto Verduzco
