IDDEMUNICIPIO,DESCRIPCION
170010001,Amacuzac
170010001,Cajones
170010001,Casahuatlán
170010001,Coahuixtla
170010001,Huajintlán
170010001,Miahuatlán (El Cuiji)
170010001,Rancho Nuevo
170010001,San Gabriel las Palmas
170010001,Teacalco
170010001,Zoquital
170010001,Campo Nuevo
170010001,Colonia el Campamento
170010001,Colonia Ejidal
170010001,Los Limones
170010001,Colonia Oriental
170010001,Rancho el Guamúchil
170010001,Xoapa
170010001,La Playa
170010001,Tula
170010001,El Muñeco
170010001,Huascuautla
170010001,Colonia Ocampo
170010001,El Campamento
170010001,La Cruz
170010001,Villa Verde
170010001,Parada de Coahuixtla (Colonia Benito Juárez)
170010001,La Primera (El Ladrón)
170010001,La Calera
170010001,Campo San Gabriel
170010001,La Gasera
170010001,El Paso de Miahuatlán
170010001,El Rosal (El Alacrán)
170010001,Los Baños de Tula
170010001,Campo la Cazuela
170010001,Campo el Terrón
170010001,Colonia Ojo de Agua
170010001,El Sifón
170010001,Los Arcos
170010001,El Guarín
170010001,Campo la Respiración
170010001,Colonia Ampliación Cuauhtémoc
170010001,Colonia Cuauhtémoc
170010001,Colonia el Mirador
170010001,El Paraíso (El Crucero)
170010001,La Peña
170020001,Atlatlahucan
170020001,Telchicayac (El Cabellito)
170020001,Colonia Kilómetro 88
170020001,Rancho Malpaís
170020001,San Diego Tepantongo
170020001,Santa Inés
170020001,Telminca
170020001,San Juan Texcalpan
170020001,Tlaltetelco (San Miguel Tlaltetelco)
170020001,Barranca Seca
170020001,Colonia San Francisco
170020001,Asociación de Colonos Hacienda la Alborada
170020001,El Astillero
170020001,Centro Asturiano de México
170020001,Rancho Zacanco (La Cueva)
170020001,Fraccionamiento Lomas de Cocoyoc
170020001,Unidad Habitacional Vicente Guerrero
170020001,Rancho Temecatitla
170020001,Campo Chantepec
170020001,Cerrito del Goyero
170020001,Colonia el Salto
170020001,Los Cerritos
170020001,Fraccionamiento Jardines de Jericó
170020001,El Jaral
170020001,Loma de Malpaís
170020001,Malpaís
170020001,Pozo del Jaral Uno
170020001,Puntas de Malpaís (Malpaís)
170020001,Colonia Campestre Lomas de Texcalpan
170020001,Rancho Santa Cruz
170020001,Rancho Teoxtoc
170020001,Bordo de la Presa
170020001,Campo Caballojapa
170020001,Colonia el Puente
170020001,Jagüeycillos (Colonia 10 de Mayo)
170020001,Ampliación San Antonio
170020001,Colonia la Guadalupana
170020001,Las Minas
170020001,Colonia Pozo Mancera
170020001,Colonia Rancho Santa Cruz
170020001,Rancho la Tortuga
170020001,Ameyalco
170020001,Fraccionamiento Tehuicil
170020001,Colonia Alta Vista
170020001,Campo Tlacotlaco
170020001,Linda Vista
170020001,Pilalpuente [Rancho]
170020001,Colonia Ampliación los Cerritos
170030001,Axochiapan
170030001,Ahuaxtla
170030001,Atlacahualoya
170030001,Los Carros
170030001,Cayehuacán
170030001,Joaquín Camaño
170030001,Marcelino Rodríguez (San Ignacio)
170030001,Palo Blanco
170030001,Quebrantadero
170030001,Telixtac
170030001,Tlalayo
170030001,Coayuca Colonia de Morelos
170030001,Los Gavilanes
170030001,Las Tinajas
170030001,La Nopalera
170030001,El Papagayo
170030001,Puente del Muerto
170030001,La Toma
170030001,Colonia los Laureles
170030001,La Estación
170030001,El Guamúchil
170030001,El Puente del Pajarito
170030001,5 de Mayo
170030001,Juan Ortega Sánchez
170030001,Unidad Habitacional Benito Juárez
170030001,La Bomba Uno
170030001,Palo Amarillo
170030001,Barranca del Ahuehuete
170030001,Campo el Coyul
170030001,Campo el Pajarito (Sistema de Agua Potable)
170030001,Campo la Zacatera
170030001,Sistema Uno de Bombeo
170030001,Santa María
170030001,La Huerta (La Bomba Dos)
170030001,La Joya del Zompa
170030001,Los Linderos (Fábrica de Yeso)
170030001,El Mezquital
170030001,El Ojito de Agua Dulce
170030001,Las Palmas (La Poza del Pajarito)
170030001,Piedra del Burro
170030001,Rancho Cabrera
170030001,Rancho el Mirador
170030001,Rancho Isaías
170030001,Rancho María de Jesús Barrera
170030001,Colonia Rubén Carrillo
170030001,Campo el Pedregal
170030001,Cuauhtémoc
170030001,Ampliación Juan González y Año 2000
170030001,Campo la Comunidad
170030001,Campo la Laguna
170030001,Caseta de Vigilancia
170030001,Colonia los Tres Reyes
170030001,El Edén [Rancho]
170030001,Rancho la Piedra Colorada
170030001,Campo el Papayo
170030001,Campo Jicamal
170030001,Colonia el CBTA
170030001,Colonia las Palmas
170030001,Colonia Nueva Esperanza
170030001,Almolonca
170030001,Colonia Carrillo Olea (La Primavera)
170030001,Patuala [Paraje]
170030001,Colonia 2000
170030001,Colonia la Guadalupana
170030001,Colonia Florida
170030001,Colonia Cuatecomates
170030001,Colonia Morelos
170030001,Presa los Carros
170040001,Ciudad Ayala
170040001,Abelardo L. Rodríguez
170040001,Anenecuilco
170040001,San Pedro Apatlaco
170040001,Benito Juárez
170040001,Chinameca
170040001,Huacatlaco (Los Anonos)
170040001,Huitzililla
170040001,Jaloxtoc
170040001,Moyotepec
170040001,Niños Héroes
170040001,Olintepec
170040001,Palo Blanco
170040001,Rafael Merino (San Antonio)
170040001,La Sábana
170040001,El Salitre
170040001,San Juan Ahuehueyo
170040001,San Vicente de Juárez (Las Piedras)
170040001,Tecomalco
170040001,Tenextepango
170040001,Tlayecac
170040001,El Vergel
170040001,Fraccionamiento el Venadito
170040001,Parque Industrial Cuautla
170040001,Fraccionamiento Huertas de Cuautla
170040001,Fraccionamiento Prados del Sol
170040001,Fraccionamiento Paraíso Tlahuica
170040001,Fraccionamiento Citlalin
170040001,Fraccionamiento Isla de Cuautla
170040001,Rancho la Barranquilla
170040001,Buena Vista
170040001,Rancho Rosa y Manuel (Casa Blanca)
170040001,Rancho Casa Colorada
170040001,Constancio Farfán (La Pascuala)
170040001,Colonia la Libertad
170040001,Finca Guadalupe
170040001,Cerro Piaña
170040001,El Potrero
170040001,Unidad Habitacional Mariano Matamoros
170040001,Campo Agua de los Patos
170040001,Campo Nuevo
170040001,Ampliación Campo el Higuerillo
170040001,Colonia Ejidal Rafael Merino
170040001,Ejido Nueva Olintepec
170040001,Unidad Piscícola de Chinameca
170040001,Unidad Piscícola el Vergel
170040001,El Almacén
170040001,La Corredora
170040001,Unidad Piscícola San Juan Ahuehueyo
170040001,Presa San Esteban
170040001,Campo Nuevo
170040001,Granja las Cebollas
170040001,Colonia las Lumbreras
170040001,Campo la Huizachera
170040001,Rancho José Barreto
170040001,Rancho el Pañuelo
170040001,Unidad Habitacional 10 de Abril
170040001,Los Pinos
170040001,Colonia las Arboledas
170040001,Campo la Escopeta
170040001,Granja las Codornices (La Fábrica)
170040001,Rancho Chicapa (Teteltitla)
170040001,Granja la Esperanza
170040001,El Jagüey
170040001,Colonia General Emiliano Zapata (El Chivatero)
170040001,La Doncella
170040001,La Joya
170040001,Loma Bonita
170040001,Campo Palomar Chico
170040001,Campo Amate Amarillo
170040001,Campo Bustamante
170040001,Campo del Tescalamate
170040001,Campo el Chivatero
170040001,Campo el Guajar
170040001,Campo el Salto
170040001,Campo Iturbide
170040001,Campo la Soledad
170040001,Campo las Cruces
170040001,Campo los Pilares
170040001,Campo Ojo de Agua
170040001,Cerro del Tenayo
170040001,Finca el Claustro
170040001,Fraccionamiento las Llaves
170040001,Granja Tlayecac
170040001,Ampliación Chinameca
170040001,La Joya Escondida
170040001,El Pozo
170040001,Rancho Agua Limpia
170040001,Rancho Antonio Orozco
170040001,Rancho Guamuchilar
170040001,Rancho el Amate
170040001,Rancho el Pedregal
170040001,Rancho la Herradura
170040001,Rancho las Huertas
170040001,Rancho las Torres
170040001,Rancho los Aviña
170040001,Rancho Santana 1
170040001,Rancho Santana 2
170040001,Casa de Campo [Restaurante-Bar]
170040001,El Sifón de la Cuera
170040001,Unidad Piscícola Tenextepango
170040001,Anenecuilco
170040001,Colonia Segunda Ampliación Moyotepec
170040001,Puente Blanco
170040001,Tenerías
170040001,Agua Salada
170040001,Ampliación las Flores
170040001,Ampliación Rafael Merino
170040001,Campo Ampliación
170040001,Campo Huizachera 2
170040001,Casa Blanca
170040001,El Crucero de Chinameca
170040001,El Jagüey
170040001,Las Lajas
170040001,El Mirador
170040001,Rancho Epifanio Sotelo
170040001,Rancho Palomar Grande
170040001,Rancho 7 Hermanos
170040001,Rincón de los Sauces
170040001,2da. Sección Benito Juárez
170040001,La Taza
170040001,Anenecuilco
170040001,Campo los Pedros
170040001,Campo San Miguel
170040001,Colonia Leopoldo Heredia
170040001,Rancho el Naranjo (La Escondida)
170040001,Ampliación Tenextepango (La Parcela)
170040001,El Axocoche
170040001,El Cerro Olinche
170040001,Colonia Ampliación Cruz Verde
170040001,Colonia Ampliación Norte
170040001,Ejido Anenecuilco
170040001,Valle de Morelos
170040001,Moyotepec
170040001,Parada a Huexca
170040001,Colonia las Flores
170040001,Campo Puente de Fierro
170040001,Colonia las Joyas
170040001,Colonia Pablo Torres Burgos
170040001,El Barreal
170040001,Rancho Chalpa
170040001,Jaloxtoc
170040001,Fraccionamiento Villa Dorada
170040001,Huertos el Paraíso
170040001,Unidad Piscícola San Pedro Apatlaco
170040001,Campo los Bandidos
170040001,Campo la Canoa
170040001,Campo Santa Rosa
170040001,Fraccionamiento Rinconada del Valle
170040001,Huerto el Paraíso
170040001,Rancho San José
170040001,San Rafael
170040001,Residencial la Cantera
170040001,Residencial Villa de los Arcos
170040001,Residencial los Sauces
170040001,San Pablo Hidalgo
170040001,Ampliación la Cucaracha
170040001,Campo el Brasil
170040001,Campo Hidalgo
170040001,Campo Palo Blanco
170040001,Campo Pochotes
170040001,Campo Pochotillo
170040001,Campo Tlalzayanca
170040001,Fraccionamiento la Paz
170040001,Rancho Parras
170040001,Valle del Pedregal [Fraccionamiento]
170040001,Colonia Avilés
170040001,Vida y Sol
170040001,Linda Vista
170050001,Coatlán del Río
170050001,Apancingo
170050001,Benito Juárez
170050001,Buenavista de Aldama
170050001,Cocoyotla
170050001,Colonia Cuauhtémoc
170050001,Colonia Morelos
170050001,Chavarría
170050001,Michapa
170050001,Tilancingo
170050001,Cuernavaquita
170050001,El Axixintle (El Treinta y Cinco)
170050001,Campo Nuevo
170050001,El Canelillo
170050001,San Antonio
170050001,Tezoquipa
170050001,Colonia San José
170050001,Puente el Arenal (La Joya)
170050001,El Vado
170050001,El Cerrito
170050001,El Amate
170050001,CEFERESO Número 16 CPS Femenil Morelos
170060001,Cuautla
170060001,Calderón
170060001,Ex-Hacienda el Hospital
170060001,Puxtla
170060001,Empleado Municipal
170060001,Peña Flores (Palo Verde)
170060001,Narciso Mendoza
170060001,Colonia los Cortés (Segundo Campo de Puxtla)
170060001,Rancho Guadalupe
170060001,3 de Mayo
170060001,19 de Febrero de 1812
