IDDEMUNICIPIO,DESCRIPCION
180010001,Acaponeta
180010001,El Aguaje
180010001,El Alacrán
180010001,Amado Nervo
180010001,La Morita (Anamorita)
180010001,El Antigüe
180010001,La Bayona
180010001,Buenavista (Las Paredes)
180010001,El Caimanero
180010001,El Camichín
180010001,El Cangrejo (Teacapán)
180010001,El Tejón (El Cantón)
180010001,El Carrizo
180010001,Casas Coloradas
180010001,Las Casitas
180010001,El Centenario
180010001,Cerro Bola
180010001,La Cortés
180010001,Coyotes
180010001,Las Grullas
180010001,La Guásima
180010001,El Guayabo
180010001,Hacienda Vieja
180010001,La Haciendilla
180010001,La Higuerita Vieja
180010001,La Higuerita Nueva (El Carrizo)
180010001,Hojas Anchas
180010001,Los Horcones
180010001,La Lagunita
180010001,Llano de la Cruz
180010001,El Llorón
180010001,Llano de Mariquitas
180010001,Hacienda de Mariquitas
180010001,Mesa las Arpas
180010001,Mesa de Pedro Pablo
180010001,Las Mesitas
180010001,La Grulla (La Morita Vieja)
180010001,San José de Motaje
180010001,Los Morillo
180010001,El Naranjal
180010001,El Oro
180010001,La Palma
180010001,Las Palmitas
180010001,La Paloma Nueva Reforma
180010001,La Papalota (Villalobos)
180010001,Piedra Ancha
180010001,El Rabón
180010001,El Recodo
180010001,El Resbalón
180010001,San Blasito
180010001,San Diego de Alcalá
180010001,El Naranjo
180010001,San Dieguito de Abajo
180010001,San Dieguito de Arriba
180010001,Arroyo de San Francisco
180010001,San José de Gracia
180010001,San Miguel
180010001,San Pedro de Honor
180010001,Santa Cruz
180010001,Saycota
180010001,Sayulilla
180010001,El Sobasto
180010001,El Tacote
180010001,Ojo de Agua del Tejón
180010001,El Tigre
180010001,Valle de la Urraca (El Cabildo)
180010001,Rancho el Zapote
180010001,El Zapote
180010001,Zavala
180010001,El Pantano
180010001,Chalpa
180010001,La Providencia
180010001,Los Pinitos
180010001,El Pato
180010001,La Limonera
180010001,El Jumay (Licenciado Magaña)
180010001,El Ixtle
180010001,Mesa de la Laguna
180010001,El Vigal
180010001,Los Arrayanes
180010001,Paredes
180010001,Cuero de Cochi (Los Cochis)
180010001,El Duraznito
180010001,La Lagunita
180010001,Zacatecas
180010001,La Colonia (La Guacamaya)
180010001,Cañones
180010001,Las Orejas
180010001,La Manga
180010001,La Cortez (El Zapote)
180010001,Loma de los Indios
180010001,La Piña
180010001,La Ventana
180010001,Los Camotes
180010001,La Laguna
180010001,Rancho Viejo
180010001,La Paloma Primera
180010001,Santa María
