IDDEENTIDAD,ID,DESCRIPCION
18,180010001,Acaponeta
18,180020001,Ahuacatlán
18,180030001,Amatlán de Cañas
18,180040001,Compostela
18,180050001,Huajicori
18,180060001,Ixtlán del Río
18,180070001,Jala
18,180080001,Xalisco
18,180090001,Del Nayar
18,180100001,Rosamorada
18,180110001,Ruíz
18,180120001,San Blas
18,180130001,San Pedro Lagunillas
18,180140001,Santa María del Oro
18,180150001,Santiago Ixcuintla
18,180160001,Tecuala
18,180170001,Tepic
18,180180001,Tuxpan
18,180190001,La Yesca
18,180200001,Bahía de Banderas
