IDDEMUNICIPIO,DESCRIPCION
190010001,Abasolo
190010001,La Gloria
190010001,Los Ligeros
190010001,La Muralla
190010001,Seis de Enero (Las Bugambilias)
190010001,Seis de Enero
190010001,Rancho Nuevo
190010001,Abasolito
190010001,Casa Rosa (Los Olivos)
190010001,Guadalupe
190010001,El Pedregal
190010001,La Eréndira
190010001,Yamallel
190010001,Los Lozano
190010001,La Placeta
190010001,Veintitrés de Enero
190010001,Cuatro Vientos
190010001,Los Diez (La Tripona)
190010001,Rosalinda
190010001,Las Palmas
190010001,Ninguno
190010001,Colinas del Fraile
190010001,Alberto Villarreal
190020001,Agualeguas
190020001,Agua Blanca
190020001,Tres Hermanos
190020001,Cieneguitas
190020001,Charco Escondido
190020001,La Escondida
190020001,El Maguey
190020001,Los Garza
190020001,La Gloria
190020001,Lagunillas (San José Lagunillas)
190020001,Los Martínez
190020001,El Mezquital
190020001,El Milagro
190020001,Los Náufragos
190020001,El Nogal
190020001,Los Nogales
190020001,Ojo de Agua
190020001,Los Olmos
190020001,El Papalote
190020001,La Parra
190020001,La Ponderosa
190020001,El Prieto
190020001,La Purísima
190020001,Rancho Nuevo
190020001,Las Palmitas
190020001,San Antonio (Los Landa)
190020001,San Juan
190020001,San José de la Reforma
190020001,San Pedro
190020001,San Vicente
190020001,Los Vázquez
190020001,El Porvenir
190020001,El Pulgarcito
190020001,La Joya
190020001,Ojo de Agua
190020001,El Recodo
190020001,Isauro Chapa
190020001,El Rosario
190020001,Chucho González
190020001,San Antonio
190020001,Rancho Seco
190020001,San José
190020001,Puerta las Ovejas
190020001,Minerva
190020001,El Huizache (Elizandro Jáuregui)
190020001,Los Robles
190020001,San Rafael Uno
190020001,La Atravesada
190020001,Los Álamos
190020001,San José
190020001,Santa Isabel
190020001,Las Delicias
190020001,Don Jesús
190020001,La Esmeralda
190020001,Genoveva
190020001,La Morita
190020001,El Mortero
190020001,Las Palmas
190020001,La Perla
190020001,Las Peñitas
190020001,El Recuerdo
190020001,San Antonio
190020001,La Rosita
190020001,San Andrés (Marín de Porras)
190020001,Tío Mario
190020001,Piedra Parada
190020001,Bojinetes
190020001,La Brisa
190020001,Las Comas
190020001,Las Abejas (Los Villarreal)
190020001,Palo Blanco
190020001,Santa Rita
190020001,Doroteo García
190020001,El Texano
190020001,Abdón Madrigal
190020001,El Cadillal
190020001,Chapa Ramos Uno
190020001,Chapa Ramos Dos
190020001,Chapotes Uno
190020001,Chapotes Dos
190020001,Las Encinas Dos
190020001,Los Guerra
190020001,José Guerra
190020001,María Guadalupe
190020001,El Roble
190020001,Armando Barrientos
190020001,Rogelio Jaime
190020001,San Cristóbal
190020001,Santo Niño
190020001,Los Potrillos
190020001,Ignacio Castellano (Encinos del Arroyo Pajuelos)
190020001,Los Mezquites
190020001,El Apache
190020001,El Derrame
190020001,La Margarita
190020001,Sagrado Corazón (Los Gutiérrez)
190020001,El Chamizal
190020001,El Pilón
190020001,Dos R
190020001,La Conchita
190020001,La Barreta
190020001,Santa Fe
190020001,Simón Cantú
190020001,Armando Cantú
190020001,La Ciénega
190020001,El Tequileño
190020001,El Ranchito
190020001,Julio Enrique
190020001,Ignacio Chapa (Las Palmitas)
190020001,Oscar Salinas
190020001,La Pinta
190020001,Fructuoso Alvarado
190020001,Don Ovando
190020001,Los Encinos
190020001,El Potrero
190020001,Los Salazar
190020001,El Guajolote
190020001,La Purísima Concepción
190020001,Armando Cantú
190020001,Los Mogotes
190020001,Nato Maldonado
190020001,Ninguno
190020001,El Pretexto
190020001,Víctor Gómez
190020001,La Tía Chabela (Roberto Maldonado)
190020001,José Ramos
190020001,El Porvenir
190020001,Roel Barrientos
190020001,La Barretita
190020001,El Corral
190020001,Ruperto Quiroga Landa
190020001,La Ciénega
190020001,San José
190020001,Las Peñas
190020001,La Palma
190020001,La Esmeralda
190020001,Las Palomas
190020001,Tío Chonito
190020001,Gerardo Villarreal
190020001,Los Elizondo Número Uno
190020001,Las Flores
190020001,El Gallo Jorobado
190020001,El Encino Solo
190020001,San Pedro
190020001,Santa Gertrudis
190020001,José María Vela (La Perla)
190020001,Alicia
190020001,Las Comas
190020001,Remigio Chapa
190020001,Ninguno
190020001,San Roberto
190020001,Santos Valadez (Piedra Parada)
190020001,Verde
190020001,Veintisiete de Octubre
190020001,Los Mogotes
190020001,Lázaro Maldonado
190020001,Las Dos Rosas
190020001,El Chulo
190020001,AJ
190020001,El Quemado
190020001,El Quemado
190020001,La Rosita
190020001,Ninguno
190020001,El Calvario
190020001,Santa Cruz
190020001,Luis Lauro Ayala (El Meladito)
190020001,Rancho Cadena (Jesús Lozano)
190020001,La Rosita
190020001,Agualeguas
190020001,Agualeguas
190020001,Agualeguas
190020001,Agualeguas
190020001,Agualeguas
190020001,Agualeguas
190020001,El Púas (La Pau)
190020001,Don Jesús
190020001,Ciriaco González
190020001,Maximiano Gutiérrez
190020001,Arroyo las Alazanas [Pedrera]
190020001,José Luis Mayo
190020001,Antonio García
190020001,Los Lirios
190020001,Rubén Cantú
190020001,Reynaldo Canales
190020001,José Guadalupe
190020001,Agualeguas [Aeropuerto Regional]
190020001,Neo
190020001,La Amistad
190020001,Los Encinitos
190020001,El Tironeo Uno
190020001,El Abuelo
190020001,Los Girasoles
190020001,La Gotera
190020001,Juan Reyna
190020001,Loma de Enmedio
190020001,María Vela (El Bolillo)
190020001,Los Mogotes Tres
190020001,Rancho Dionisio
190020001,Ninguno
190020001,La Retama
190020001,Santa Elena
190020001,Vicente Canales
190020001,El Chapeño
190020001,Dermy
190020001,Los Dos Papalotes
190020001,San Martín
190020001,Ninguno
190020001,La Loma
190020001,Ninguno
190020001,Ninguno
190020001,Ninguno
190020001,La Herradura
190020001,Raúl Molina
190020001,San José (La Principala)
190030001,Los Aldamas
190030001,Barrio Aldamas
190030001,El Blanco
190030001,Buena Vista
190030001,Aldama [Estación]
190030001,Loma Blanca (Los Martínez)
190030001,La Palmita
190030001,Las Raíces
190030001,El Sabinito
190030001,San Pedro
190030001,Santa Fe
190030001,Zacatalitos
190030001,La Retama (La Retama Uno)
190030001,El Palmón (El Chapote)
190030001,El Charol
190030001,La Sandía
190030001,El Ebanito
190030001,El Fresno
190030001,R. Sáenz
190030001,Loma Bonita
190030001,La Loma [Ganadera]
190030001,Las Once Lomas
190030001,El Pizarro
190030001,El Puerto
190030001,El Charco de los Ríos (Charco del Tío Peña)
190030001,Las Enramaditas
190030001,El Guayacán (María García)
190030001,San Manuel
190030001,El Venadito
190030001,Octavio García
190030001,Salinas
190030001,El Chapote
190030001,El Carrizo
190030001,Ninguno
190030001,Salomón García (El Charco)
190030001,Santos García (El Charco)
190030001,Facunda García
190030001,Ninguno
190030001,Los García (Jesús García)
190030001,Ninguno
190030001,Ninguno
190030001,Ninguno
190030001,El Lobo
190030001,Marlen
190030001,La Palma
190030001,La Jabalina
190030001,Salvador Reséndez
190030001,Onésimo López
190030001,El Ahogado
190030001,José Leal
190030001,Monte los Olivos
190030001,La Brita
190030001,Los Cinco Hermanos
190030001,San Jorge
190030001,La Retama (El Recuerdo)
190030001,Jesús García
190030001,Leovar García (Santa Fe)
190030001,Santa Fe
190030001,José Cavazos
190030001,La Palma
190030001,Candelario García
190030001,Cinco de Mayo (Ubaldo García)
190030001,Vidal Garza
190030001,Delfino Garza
190030001,Lupita
190030001,Paso la Cuna
190030001,El Derramadero
190030001,Ninguno
190030001,Héctor Salinas
190030001,Rancho Viejo
190030001,Los Alanís
190030001,La Palapa
190030001,Arturo Chavero
190040001,Ciudad de Allende
190040001,Altamira
190040001,Atongo de Arriba
190040001,La Boquilla (Las Boquillas)
190040001,El Cerrito
190040001,La Colmena de Abajo
190040001,La Colmena de Arriba
190040001,Los Aguirre
190040001,Chancaca (Los Chancacos)
190040001,Los Guzmán
190040001,Lazarillos de Abajo
190040001,Lazarillos de Arriba
190040001,Mata de Guaje
190040001,La Nueva Esperanza
190040001,Paso Hondo
190040001,La Paz
190040001,El Porvenir
190040001,Raíces
190040001,Los Sabinos (Sabinos de Abajo)
190040001,San Antonio (Hacienda San Antonio)
190040001,Los Terreros
190040001,El Venado
190040001,Jáuregui
190040001,Los Barros
190040001,El Maguey
190040001,La Orquídea Blanca
190040001,El Rosario (El Reparo)
190040001,San Carlos
190040001,Las Canteras
190040001,La Norita
190040001,Bejarán (La Gloria)
190040001,Las Puentes
190040001,Atongo de Abajo (Atongo Allende)
190040001,La Cañada Honda
190040001,Los Conejos
190040001,Los Leales
190040001,El Mentidero
190040001,El Olmo (Meseta del Pato)
190040001,El Pato
190040001,El Provisor
190040001,La Rosa
190040001,San Gabriel
190040001,San Jorge
190040001,Loma de los Cavazos (María de la Luz)
190040001,Labores Nuevas
190040001,La Coma
190040001,Hacienda Tulapan
190040001,Allende [Unidad Avícola]
190040001,El Pato (Meseta del Pato)
190040001,Tres Botellas (El Olmo)
190040001,El Olmo
190040001,Felícitos Rodríguez Cavazos
190040001,El Faisán
190040001,Ashram el Cerrito (Granja el Canelo)
190040001,Los Sabinos de Arriba
190040001,Loma Martínez
190040001,Díaz Rodríguez
190040001,El Falcón
190040001,Ninguno [Centro de Acopio de Miel]
190040001,Santo Domingo
190040001,Charming Campestre
190040001,Las Pléyades
190040001,Las Cruces [Carretera Nacional Kilómetro 236]
190040001,Los Barros
190040001,San Javier
190040001,El Capricho
190040001,Ninguno
190040001,Ninguno
190040001,El Huajuquito
190040001,Colinas del Vergel
190040001,Los Naranjos
190040001,Villas de San Antonio
190040001,Villas de Allende
190040001,Los Pinos
190040001,Campestre All Green
190040001,Villas Campestres de Rancho Grande
190040001,Los Guajardo
190040001,Santa Mónica
190040001,Antonio Cavazos
190040001,La Palapa
190040001,Cerradas de Buena Vista (Misión Allende Residencial)
190040001,San Eugenio
190040001,Los Ebanitos
190040001,Quinta María
190040001,Quinta Guadalupe
190040001,Lazarillos
190040001,Las Flores
190040001,Los Sabinos
190040001,Los Altares
190050001,Anáhuac
190050001,La Azufrosa
190050001,El Berrendo
190050001,El Sesenta y Tres (El Carmen)
190050001,El Chapote (El Santeño)
190050001,La Escalera (Casa Blanca)
190050001,El Huizachito
190050001,La Gloria
190050001,La Gloria
190050001,Puente del Río Salado
190050001,Los Gómez
190050001,Jarita [Estación]
190050001,El Milagro
190050001,Nuevo Anáhuac
190050001,Nuevo Camarón
190050001,Nuevo Rodríguez
190050001,Palmitos
190050001,El Parreño
190050001,La Burra
190050001,Regantes Número Catorce
190050001,Regantes Diecisiete
190050001,Regantes Número Dieciocho
190050001,Regantes Número Diecinueve
190050001,Regantes Número Veintiuno
190050001,Regantes Número Veintidós
190050001,Regantes Número Veintiséis
190050001,Regantes Número Veintisiete
190050001,Regantes Número Treinta y Uno
190050001,Omar Cárdenas Guzmán
190050001,Salinillas
190050001,San Francisco
190050001,San José
190050001,Las Bugambilias
190050001,Santa Gertrudis
190050001,El Venadito
190050001,El Nuevo Pillaje (Los Bancos)
