IDDEENTIDAD,ID,DESCRIPCION
19,190010001,Abasolo
19,190020001,Agualeguas
19,190030001,Los Aldamas
19,190040001,Allende
19,190050001,Anáhuac
19,190060001,Apodaca
19,190070001,Aramberri
19,190080001,Bustamante
19,190090001,Cadereyta Jiménez
19,190100001,El Carmen
19,190110001,Cerralvo
19,190120001,Ciénega de Flores
19,190130001,China
19,190140001,Doctor Arroyo
19,190150001,Doctor Coss
19,190160001,Doctor González
19,190170001,Galeana
19,190180001,García
19,190190001,San Pedro Garza García
19,190200001,General Bravo
19,190210001,General Escobedo
19,190220001,General Terán
19,190230001,General Treviño
19,190240001,General Zaragoza
19,190250001,General Zuazua
19,190260001,Guadalupe
19,190270001,Los Herreras
19,190280001,Higueras
19,190290001,Hualahuises
19,190300001,Iturbide
19,190310001,Juárez
19,190320001,Lampazos de Naranjo
19,190330001,Linares
19,190340001,Marín
19,190350001,Melchor Ocampo
19,190360001,Mier y Noriega
19,190370001,Mina
19,190380001,Montemorelos
19,190390001,Monterrey
19,190400001,Parás
19,190410001,Pesquería
19,190420001,Los Ramones
19,190430001,Rayones
19,190440001,Sabinas Hidalgo
19,190450001,Salinas Victoria
19,190460001,San Nicolás de los Garza
19,190470001,Hidalgo
19,190480001,Santa Catarina
19,190490001,Santiago
19,190500001,Vallecillo
19,190510001,Villaldama
