IDDEMUNICIPIO,DESCRIPCION
20010001,Agua Caliente
20010001,Ejido 18 de Marzo (El Álamo)
20010001,Rancho Almaraz
20010001,La Bocana
20010001,El Borrego
20010001,Buena Vista
20010001,San José (La Calentura) [Viñedos Agrícolas]
20010001,La Cava de Marcelo
20010001,Los Cerritos
20010001,Los Cochis
20010001,Las Chichihuas
20010001,Chula Vista
20010001,El Dátil
20010001,Ejido Eréndira
20010001,Agua Escondida
20010001,La Higuera
20010001,Francisco Zarco (Valle de Guadalupe)
20010001,Licenciado Gustavo Díaz Ordaz
20010001,La Huerta
20010001,Ejido Ignacio López Rayón (Los Olivos)
20010001,Isla de Cedros
20010001,Jatay
20010001,El Junco
20010001,Ejido López Zamora
20010001,Rodolfo Sánchez Taboada (Maneadero)
20010001,La Matanza
20010001,El Mezquitito
20010001,El Milagro
20010001,El Mirador
20010001,La Misión
20010001,Díaz [Rancho]
20010001,Las Lomas
20010001,El Papalote Mocho
20010001,Piedras Gordas
20010001,Los Pinos
20010001,La Providencia (Agrícola Pelayo)
20010001,Coronel Esteban Cantú
20010001,Ejido Punta Colnett (Punta Colonet)
20010001,El Ranchito
20010001,Real del Castillo Nuevo (Ojos Negros)
20010001,Real del Castillo Viejo
20010001,El Refugio
20010001,Rincón de Guadalupe
20010001,Ejido Rodolfo Sánchez Taboada (El Calvario)
20010001,El Salado
20010001,Rancho Sandoval
20010001,Sangre de Cristo
20010001,La Esperanza
20010001,San Juan
20010001,San Pablo
20010001,San Simón
20010001,Santa Isabel
20010001,Santo Tomás
20010001,San Vicente
20010001,El Sauquito
20010001,El Sauzal de Rodríguez
20010001,Cuatro Cuatros
20010001,Los Gatos (Los House)
20010001,El Triunfo
20010001,El Tule
20010001,Tony [Campo Turístico]
20010001,Villa de Juárez (San Antonio de las Minas)
20010001,Rancho Bellavista
20010001,Las Ánimas (Las Jacarandas)
20010001,Tres Olivos
20010001,Arroyo del Sauz (El Aserradero)
20010001,Agua de León
20010001,Agua Amarga
20010001,Rancho Granados Collins
20010001,Agua Caliente
20010001,Agua Blanca
20010001,Agua Amarga
20010001,Los Aguajitos
20010001,Aguaje de Cruz
20010001,Los Alisos
20010001,La Bufadora
20010001,El Barril (La Roca) [Centro de Rehabilitación]
20010001,Los Alazanes
20010001,El Brillante
20010001,Bajío Largo
20010001,Bibayoff [Rancho]
20010001,Bakarta [Rancho]
20010001,Buenos Aires
20010001,Las Brisas
20010001,Bella Vista
20010001,Buenaventura
20010001,Buenos Aires (Rancho Terríquez)
20010001,Comunidad Belén
20010001,El Burro
20010001,Rancho Barreda
20010001,La Cremería
20010001,Las Arboledas
20010001,Familia Valencia
20010001,Los Olivos [Fraccionamiento]
20010001,Aguaje Escondido
20010001,Las Cuatas
20010001,San Antonio
20010001,Los Cipreses
20010001,Rancho Campa
20010001,El Carrizo
20010001,La Cieneguita
20010001,El Chaparral
20010001,Costeño
20010001,Rancho Bonito
20010001,Rancho Castellanos
20010001,El Catorce
20010001,El Campito Dos
20010001,División del Norte
20010001,Los Dolores
20010001,Rancho Parma
20010001,Olivarera de Baja California
20010001,Rancho Estela
20010001,Javanas [Rancho]
20010001,Llano Colorado
20010001,La Fortuna
20010001,Las Flores Nuevas
20010001,Las Flores (Flores Viejas)
20010001,Las Espuelas [Rancho]
20010001,Ejido Francisco R. Serrano (Valle San Matías)
20010001,Rancho Grande (Viñedos Alejandra)
20010001,Los Gavilanes
20010001,Ejido General Leandro Valle
20010001,Guadalupe de los Ocios
20010001,La Huertita
20010001,Las Herraduras
20010001,La Hacienda
20010001,Héroes de la Independencia (Llano Colorado)
20010001,Ignacio Zaragoza
20010001,Compali [Rancho]
20010001,Rancho Cardoso
20010001,La Llave
20010001,La Laguna
20010001,Leyes de Reforma (El Rodeo)
20010001,Hetch [Rancho]
20010001,Las Lumbres
20010001,El Manzo
20010001,La Mariposa
20010001,Rancho Manas
20010001,El Mezcal
20010001,Miramar
20010001,Rancho Mariscal
20010001,El Mogor
20010001,El Mazateco
20010001,Rancho Nelson
20010001,Ojo de Agua
20010001,El Puerto
20010001,El Porvenir (Guadalupe)
20010001,Jatipa
20010001,Las Manzanas
20010001,Los Pantalones
20010001,Los Malcriados
20010001,El Paraíso
20010001,Los Pinos
20010001,Punta Cabras
20010001,La Bocana de Santa Cruz
20010001,La Pura
20010001,Rancho Viejo
20010001,Las Pilitas
20010001,El Ramajal
20010001,El Aguaje
20010001,Arbolitos [Rancho]
20010001,El Rayo Dos
20010001,El Ranchito
20010001,Rancho MB
20010001,Rodeo Cota
20010001,Rancho Segura
20010001,Santa Fe
20010001,El Pedregal [Rancho]
20010001,El Sauzalito (La Nopalera)
20010001,El Sauce
20010001,San Martín
20010001,Rancho Sordomudo
20010001,El Sauco
20010001,Puerto San Isidro
20010001,Rancho Dinuwa
20010001,Santo Domingo
20010001,La Sombra de San Francisquito
20010001,El Saladito
20010001,Comunidad Indígena de Santa Catarina
20010001,San Marcos
20010001,San Pedro [Parcela Veintidós]
20010001,San Juan de Dios
20010001,El Sauce y la Palma
20010001,Rancho de los Thing
20010001,El Tecolote
20010001,La Cuesta del Topo
20010001,Gloria [Rancho]
20010001,El Tigre
20010001,Tres Estrellas
20010001,Las Vaquillas (La Ciénega)
20010001,Valle Redondo
20010001,Warner de Abajo
20010001,Rancho Yorba
20010001,El Zorrillo
20010001,Pocitos (Valle de la Trinidad)
20010001,La Víbora
20010001,Valle Seco
20010001,Las Delicias
20010001,Ojeda
20010001,San Gabriel
20010001,San Marcos
20010001,Campo Rivera
20010001,El Salto
20010001,El Horno
20010001,Rancho Nuevo
20010001,El Olivo
20010001,San José de la Noria
20010001,Rancho Palacios (Orizaba)
20010001,Rancho Zamora (Parcela Cuatrocientos Veintiséis)
20010001,Las Tinajitas
20010001,Casa Blanca
20010001,Olivares la Victoria
20010001,Islas Bátiz [Rancho]
20010001,Lázaro Cárdenas (Valle de la Trinidad)
20010001,San Miguelito
20010001,Uruapan
20010001,El Carrizo
20010001,San Timoteo (Rancho Timoteo)
20010001,La Huerta (Ejido Nacionalista)
20010001,El Refugio
20010001,Arroyo de Guadalupe (Agua Caliente)
20010001,La Alfalfa
20010001,Las Delicias
20010001,Rancho González
20010001,Rancho Uvas Cuatro
20010001,Emiliano Zapata
20010001,Barrimex (La Joyita)
20010001,La Gloria
20010001,El Recreo
20010001,Poblado Héroes de Chapultepec
20010001,Las Ilusiones
20010001,Rancho Jiménez
20010001,La Joya
20010001,Magoni [Rancho]
20010001,El Manzano
20010001,Lomas de Mendoza
20010001,Rancho Millán (Parcela Treinta y Uno)
20010001,Casa Blanca [Rancho]
20010001,Rancho Ocho (La Pista)
20010001,Las Olas
20010001,El Paraíso
20010001,Ampliación el Porvenir
20010001,La Providencia
20010001,El Puerto
20010001,Viñedos de la Reina
20010001,El Sacrifico
20010001,San José
20010001,San Pedro
20010001,Rancho Sandoval
20010001,Santa Lucía
20010001,Aguaje del Sauz
20010001,Rancho Sicómoro
20010001,Sierra Blanca
20010001,Encanto del Valle
20010001,El Sauzalito
20010001,Tepeyac
20010001,Tierra Santa
20010001,Hermanos Valenzuela
20010001,Agua Blanca
20010001,Aguacaliente
20010001,Agua Caliente
20010001,Ojo de Agua Colorada
20010001,Agua Dulce
20010001,Agua Escondida
20010001,Agua Escondida [La Soledad]
20010001,Agua Viva
20010001,Arroyo del Gallo [Albercas]
20010001,Los Aguajitos
20010001,El Aguajito (Mat Chip)
20010001,Las Águilas
20010001,El Alamar
20010001,El Alamito
20010001,Arroyo de León (Ejido Kiliwas)
20010001,El Albur
20010001,Alfredo V. Bonfil
20010001,Los Cinco (Coyotito Coyote Loco)
20010001,Ampliación el Porvenir
20010001,Leyte
20010001,Las Marianas
20010001,Arbolitos [Puerto]
20010001,De los Reyes
20010001,Arce (Ejido Nacionalista)
20010001,El Arrastradero
20010001,Rancho Asunción
20010001,La Aurora
20010001,Bajío Largo
20010001,Bajío Largo del Sur
20010001,Casa Verde Nueva [Rancho]
20010001,El Bashisha
20010001,Bateque
20010001,Rancho Beltrán
20010001,Las Bellotas
20010001,Boca San José
20010001,Rancho Bonito
20010001,Rancho Bonito
20010001,La Botella
20010001,Loma Bonita
20010001,Silveria
20010001,Buenos Aires
20010001,Buenos Aires
20010001,Caballo Muerto
20010001,La Calabaza
20010001,El Calabozo
20010001,La Calavera
20010001,La Calera
20010001,Campo de Enmedio (Los Muertos)
20010001,Familia Ornelas
20010001,Sánchez (Ejido Nacionalista)
20010001,San Antonio Necua (Cañada de los Encinos)
20010001,Cañada del Trigo
20010001,Cañón de la Parra
20010001,El Centro San Jacinto
20010001,Cerro Blanco (Rancho Abundancia)
20010001,Cerro Colorado
20010001,Rancho Cerro Prieto
20010001,Cerro Colorado
20010001,Los Compadres
20010001,Colonia Costa Azul
20010001,El Coyote
20010001,Cuatro Milpas
20010001,Rangel Cubillas
20010001,Las Cuevitas
20010001,Rancho Chatuco
20010001,Las Chivas
20010001,El Chocolate
20010001,Rancho Prieto
20010001,De la Cruz
20010001,La Delfina
20010001,Las Delicias (Familia Bañagas)
20010001,Las Delicias
20010001,San Pedro
20010001,El Dorado
20010001,Los Dos Amigos
20010001,El Embarcadero
20010001,Los Encinos
20010001,El Sauce y la Palma (Juan Aldana)
20010001,El Escondido
20010001,La Escondida
20010001,Familia Lara (Ejido Ruiz Cortínez)
20010001,La Esperanza
20010001,La Esperanza
20010001,Rancho Espinoza
20010001,La Estancia
20010001,Las Filipinas
20010001,El Florido
20010001,Kachirisky [Rancho]
20010001,Los Gavilanes
20010001,La Grulla
20010001,El Halcón
20010001,Rancho Hermanos Agúndez
20010001,La Hervidora
20010001,El Hogar
20010001,El Huico
20010001,La India Bonita (Parcela Treinta y Tres A)
20010001,Ejido Jamau
20010001,El Jazmín (Agua de León)
20010001,Rancho Johnson
20010001,Pichel (La Joya)
20010001,La Jolla [Campo Turístico]
20010001,La Joya
20010001,San Juanito
20010001,Loma Linda
20010001,El Mangle
20010001,Rancho la Candelaria
20010001,El Mezquite
20010001,El Milagro
20010001,Las Minas
20010001,Las Minitas
20010001,Cruz (Ejido Ruiz Cortínez)
20010001,Parcela Sesenta y Uno
20010001,La Chuparrosa
20010001,El Oasis
20010001,El Oculto
20010001,Olivares Mexicanos
20010001,Oliva
20010001,Los Olivos
