IDDEMUNICIPIO,DESCRIPCION
200010001,Abejones
200020001,Acatlán de Pérez Figueroa
200020001,Agua Escondida
200020001,Arroyo de Enmedio
200020001,Arroyo de Pita
200020001,Aserradero Segundo
200020001,Barbasco
200020001,Cañada San Antonio
200020001,Cañamazal
200020001,La Carbonera
200020001,El Carmen (Rancho de los Montiel)
200020001,El Cedral
200020001,Cerro Mojarra
200020001,Cosolapa Sarmiento
200020001,La Defensa
200020001,Esperanza
200020001,La Estrella
200020001,Guadalupe de los Reyes
200020001,La Isleta
200020001,Joliette
200020001,La Junta
200020001,Las Maravillas
200020001,La Michuca
200020001,Ojo de Agua o Palma Cuata
200020001,La Palma
200020001,El Porvenir
200020001,Rancho Grande
200020001,La Raya
200020001,La Reforma
200020001,La Tabaquera
200020001,Tembladera del Castillo
200020001,Tembladera Vista Hermosa
200020001,Tetela
200020001,Torreón
200020001,Vicente Camalote
200020001,Cobagar
200020001,Santa Elena
200020001,La Merced
200020001,El Conejo
200020001,Buenos Aires
200020001,Los Corrales
200020001,Tembladera de la Selva 1
200020001,Tembladera de la Selva 2
200020001,Sierra Mojarra
200020001,Primera Ampliación la Palma (El Viejo)
200020001,Colonia Josefa Ortiz de Domínguez
200020001,Cerro las Águilas
200020001,El Zapote
200020001,Las Anonas
200020001,El Azufre
200020001,Las Cadenas
200020001,Campo Chico
200020001,Casa Blanca
200020001,La Coraza
200020001,Miguel Hidalgo
200020001,La Cotorra
200020001,La Cuchilla
200020001,El Dorado
200020001,Las Flores
200020001,Los Almendros
200020001,El Limón Uno
200020001,Lindero
200020001,Los Lirios
200020001,Maravillas
200020001,Josefa Ortiz de Domínguez (La Josefita)
200020001,Los Ojochales
200020001,Palo Solo
200020001,El Peñón
200020001,El Alacrán
200020001,El Retiro
200020001,Los Reyes
200020001,Saltillo
200020001,San Antonio Uno
200020001,Santa Elena
200020001,El Nanche
200020001,Bonito
200020001,Cerro Castillo
200020001,Aserradero
200020001,La Sabaneta
200020001,Rancho de Oro
200020001,Monte Alto
200020001,La Loma
200020001,Laguna Verde
200020001,Buenos Aires
200020001,Estancia de Vacas
200020001,Zona Urbana Ejidal
200020001,Buenavista
200020001,San Evaristo
200020001,Santo Tomás
200020001,San Felipe de Jesús
200020001,Santa Mónica
200020001,El Tigre
200020001,Las Casitas
200020001,El Cedro
200020001,San Francisco (El Trapiche)
200020001,El Setenta y Dos
200020001,Rancho López
200020001,La Ogada
200020001,Los Manantiales
200020001,Emiliano Zapata (Colonia 21 de Mayo)
200020001,Los Vírgenes
200020001,El Esfuerzo
200020001,El Crucero
200020001,El Carmen
200020001,El Ciégano
200020001,El Zapote
200020001,El Arbolito
200020001,San Antonio Dos
200020001,Peña Blanca
200020001,Plan de Ayala
200020001,El Agostadero
200020001,El Nanche
200020001,Santa Teresita
200020001,La Fortunita
200020001,San Francisco
200020001,Campo Grande
200020001,La Laguna
200020001,La Candelaria
200020001,Doña Rufina (El Mirador)
200020001,Santiago Cibrián
200020001,Rancho Ramírez
200020001,Rancho Cañón
200020001,Rancho Pavón
200020001,Rancho Tetela (Parada los Mangos)
200020001,Esperanza Madero
200020001,Mundo Nuevo
200020001,San Antonio
200020001,Los Pinos
200020001,Los Cañas (Tres Potencias)
200020001,Colonia Vicente García
200020001,Garza Blanca
200020001,La Gloria
200020001,La Guadalupe
200020001,Julián González Soriano
200020001,Manantiales Dos
200020001,El Mirador
200020001,El Naranjal
200020001,Ojo de Agua
200020001,Los Pinos
200020001,Rancho Charito
200020001,Estancia de Vacas
200020001,San Isidro
200020001,Santa Cruz
200020001,Los Trapiches
200020001,Rancho Cortez Lozano
200020001,El Nacimiento
200020001,Rancho Cuatro Vientos
200020001,Rancho Hernández
200020001,Los Huertos [Fraccionamiento]
200020001,Los Encinos
200020001,Desviación a la Palma
200020001,Las Tres Marías
200020001,Los Torres
200020001,Rancho Arco
200020001,Santa Teresa
200020001,Rancho de los Martínez (Rancho Escondido)
200020001,Rancho Alegre
200020001,Los López [Rancho]
200020001,Los Caracoles
200020001,La Herencia
200020001,Loma de Azures
200020001,La Magdalena
200020001,Palma Cuata
200020001,Paso Limón
200020001,La Loma [Rancho]
200020001,Los Lara [Rancho]
200020001,Rancho Matías Virgen Virgen
200020001,San Antonio [Rancho]
200020001,Santa Teresita
200020001,Santo Domingo
200020001,Los Benitos [Rancho]
200020001,Los Huerta [Rancho]
200020001,El Borrego
200020001,Rancho Escondido (Rancho de los Martínez)
200020001,El Mangal (La Raya) [Rancho]
200020001,El Limonal [Rancho]
200020001,Los Osorio (Parcela los Osorio) [Rancho]
200020001,La Cotorrita
200030001,Asunción Cacalotepec
200030001,Cerro Moneda
200030001,San Antonio Tlaxcaltepec
200030001,Santa Cruz Aguatlán
200030001,San Jorge Casa Grande
200030001,Orilla del Llano
200030001,San Miguel Campo México
200030001,Zompantle
200030001,Piedra Colorada
200030001,Rancho Paloma
200030001,Camino al Albergue
200030001,Tsakuxeeny (Piedra de Dos Puntas)
200030001,Pukëpäjkm (Barrio Verde)
200040001,Asunción Cuyotepeji
200040001,El Solano
200040001,El Carbón
200050001,Asunción Ixtaltepec
200050001,Aguas Calientes la Mata
200050001,La Cueva
200050001,Chivela
200050001,Chivixhuyo
200050001,Lázaro Cárdenas
200050001,Mazahua
200050001,El Mezquite
200050001,El Morrito
200050001,Santiago Ixtaltepec
200050001,Sitio de las Flores
200050001,El Zapote
200050001,Boca del Monte
200050001,Santa Rosa
200050001,Cieneguilla
200050001,Rancho Faustino
200050001,San Antonio [Rancho]
200050001,Rancho Vicente
200050001,Ixtepec Segunda [Unidad Habitacional]
200050001,Gaña
200050001,Laguna del Carmen
200050001,Mena
200050001,Los Almendros
200050001,Rancho Baltazar
200050001,Rancho Nicasio
200050001,San Germán [Rancho]
200050001,Zaid Toledo Nader
200050001,La Deportiva [Colonia]
200050001,Chignahuapan (Rancho Honorio)
200050001,La Purísima [Rancho]
200050001,Colonia los Chiapanecos
200050001,Rancho Bulmarín
200050001,Rancho Cuatro R
200050001,Santa Rita [Barrio]
200050001,Lupita [Rancho]
200050001,San Marcos
200050001,Rancho Víctor Dehesa
200050001,Quinta Sección
200050001,Casa Hogar CELEFAM
200050001,Camargo
200050001,Tecnológico [Barrio]
200050001,Rancho Héctor Toledo
200050001,Rancho Mario Santiago
200050001,Rancho Mauricio Toledo
200050001,El Carrizal
200050001,El Mentidero
200050001,La Brecha
200050001,La Santa [Rancho]
200050001,Hermanas Pineda [Rancho]
200050001,Nizashuga
200050001,San Martín
200050001,La Providencia [Rancho]
200050001,Rancho Cayetano García
200050001,Santa Rita [Rancho]
200050001,El Ixtaltepecano [Rancho]
200050001,El Mezquital [Rancho]
200050001,Rancho Gloria
200050001,La Concepción [Rancho]
200050001,Rancho Escondido
200050001,Rancho Paraíso
200050001,San Carlos [Rancho]
200050001,San Felipe [Rancho]
200050001,Rancho Zavaleta
200050001,Cerro Iguana
200050001,Santuario de la Virgen de Juquila [Rancho]
200050001,Los Halcones [Rancho]
200050001,El Rosario [Rancho]
200050001,La Herradura
200050001,Levy Ordaz Jiménez
200050001,Los Limones [Rancho]
200050001,Macario Castillejos
200050001,La Pochota [Rancho]
200050001,San Judas Tadeo [Rancho]
200050001,Rosario Fuentes
200050001,San Ernesto [Rancho]
200050001,San Esteban
200050001,San Jorge
200050001,San Mateo [Rancho]
200050001,Los Tulipanes
200050001,Z.E.A. [Rancho]
200050001,Las Guanábanas [Rancho]
200050001,Santa Cruz [Colonia]
200050001,San Isidro
200050001,La Guadalupana [Rancho]
200050001,Mi Último Deseo [Rancho]
200050001,Asunción de María [Rancho]
200050001,María Antonieta Sánchez [Rancho]
200050001,San Francisco [Rancho]
200050001,Benito Chiñas [Rancho]
200050001,Miguel [Rancho]
200050001,La Gloria [Rancho]
200050001,El Rosario [Rancho]
200050001,El Maná [Rancho]
200050001,Hermanos Cabrera [Rancho]
200050001,La Herradura (Zopilapan) [Rancho]
200050001,Guadalupe [Rancho]
200050001,Las Amazonas [Rancho]
200050001,Agrícola [Colonia]
200050001,La Princesa [Rancho]
200050001,Domingo Jiménez [Rancho]
200050001,Los Limoncitos
200050001,Rolando [Rancho]
200050001,La Peña [Rancho]
200050001,Virgen de Juquila [Rancho]
200050001,Rancho Grande
200050001,La Estancia [Rancho]
200060001,Asunción Nochixtlán
200060001,Santiago Amatlán
200060001,El Cortijo
200060001,Nuevo Morelos
200060001,San Andrés Achio (Sachío)
200060001,San Miguel Adéquez (Adequés)
200060001,San Pedro Quilitongo
200060001,Santa Catarina Adéquez (Adequés)
200060001,Santa Cruz Río Salinas
200060001,Santa María Añuma
200060001,Santa María Tinú
200060001,Santiago Ixtaltepec
200060001,Santiago Mitlatongo
200060001,La Cumbre
200060001,Ojo de Agua Mitlatongo
200060001,Cantera
200060001,Santiago Camotlán
200060001,Las Salinas
200060001,Yodo
200060001,Yudanchica
200060001,Loma Larga
200060001,El Encinal
200060001,Río Grande
200060001,Reforma Asunción Nochixtlán
200060001,Yodonguio
200060001,El Zitún
200060001,Santiago Buena Vista (Ticúa)
200060001,Don Toribio
200060001,Yotoyuco
200060001,Unidad Piedra de Sangre (Morelos Uno)
200060001,La Unión Libertad Ixtaltepec
200060001,Tres Caminos
200060001,Yuxaino
200060001,El Carrizal (Yuanzal)
200060001,Yuchixa
200060001,San José Anama (Anama)
200060001,Yudiúm Salamanca
