IDDEENTIDAD,ID,DESCRIPCION
20,200010001,Abejones
20,200020001,Acatlán de Pérez Figueroa
20,200030001,Asunción Cacalotepec
20,200040001,Asunción Cuyotepeji
20,200050001,Asunción Ixtaltepec
20,200060001,Asunción Nochixtlán
20,200070001,Asunción Ocotlán
20,200080001,Asunción Tlacolulita
20,200090001,Ayotzintepec
20,200100001,El Barrio de la Soledad
20,200110001,Calihualá
20,200120001,Candelaria Loxicha
20,200130001,Ciénega de Zimatlán
20,200140001,Ciudad Ixtepec
20,200150001,Coatecas Altas
20,200160001,Coicoyán de las Flores
20,200170001,La Compañía
20,200180001,Concepción Buenavista
20,200190001,Concepción Pápalo
20,200200001,Constancia del Rosario
20,200210001,Cosolapa
20,200220001,Cosoltepec
20,200230001,Cuilápam de Guerrero
20,200240001,Cuyamecalco Villa de Zaragoza
20,200250001,Chahuites
20,200260001,Chalcatongo de Hidalgo
20,200270001,Chiquihuitlán de Benito Juárez
20,200280001,Heroica Ciudad de Ejutla de Crespo
20,200290001,Eloxochitlán de Flores Magón
20,200300001,El Espinal
20,200310001,Tamazulápam del Espíritu Santo
20,200320001,Fresnillo de Trujano
20,200330001,Guadalupe Etla
20,200340001,Guadalupe de Ramírez
20,200350001,Guelatao de Juárez
20,200360001,Guevea de Humboldt
20,200370001,Mesones Hidalgo
20,200380001,Villa Hidalgo Yalálag
20,200390001,Heroica Ciudad de Huajuapan de León
20,200400001,Huautepec
20,200410001,Huautla de Jiménez
20,200420001,Ixtlán de Juárez
20,200430001,Heroica Ciudad de Juchitán de Zaragoza
20,200440001,Loma Bonita
20,200450001,Magdalena Apasco
20,200460001,Magdalena Jaltepec
20,200470001,Santa Magdalena Jicotlán
20,200480001,Magdalena Mixtepec
20,200490001,Magdalena Ocotlán
20,200500001,Magdalena Peñasco
20,200510001,Magdalena Teitipac
20,200520001,Magdalena Tequisistlán
20,200530001,Magdalena Tlacotepec
20,200540001,Magdalena Zahuatlán
20,200550001,Mariscala de Juárez
20,200560001,Mártires de Tacubaya
20,200570001,Matías Romero Avendaño
20,200580001,Mazatlán Villa de Flores
20,200590001,Miahuatlán de Porfirio Díaz
20,200600001,Mixistlán de la Reforma
20,200610001,Monjas
20,200620001,Natividad
20,200630001,Nazareno Etla
20,200640001,Nejapa de Madero
20,200650001,Ixpantepec Nieves
20,200660001,Santiago Niltepec
20,200670001,Oaxaca de Juárez
20,200680001,Ocotlán de Morelos
20,200690001,La Pe
20,200700001,Pinotepa de Don Luis
20,200710001,Pluma Hidalgo
20,200720001,San José del Progreso
20,200730001,Putla Villa de Guerrero
20,200740001,Santa Catarina Quioquitani
20,200750001,Reforma de Pineda
20,200760001,La Reforma
20,200770001,Reyes Etla
20,200780001,Rojas de Cuauhtémoc
20,200790001,Salina Cruz
20,200800001,San Agustín Amatengo
20,200810001,San Agustín Atenango
20,200820001,San Agustín Chayuco
20,200830001,San Agustín de las Juntas
20,200840001,San Agustín Etla
20,200850001,San Agustín Loxicha
20,200860001,San Agustín Tlacotepec
20,200870001,San Agustín Yatareni
20,200880001,San Andrés Cabecera Nueva
20,200890001,San Andrés Dinicuiti
20,200900001,San Andrés Huaxpaltepec
20,200910001,San Andrés Huayápam
20,200920001,San Andrés Ixtlahuaca
20,200930001,San Andrés Lagunas
20,200940001,San Andrés Nuxiño
20,200950001,San Andrés Paxtlán
20,200960001,San Andrés Sinaxtla
20,200970001,San Andrés Solaga
20,200980001,San Andrés Teotilálpam
20,200990001,San Andrés Tepetlapa
20,201000001,San Andrés Yaá
20,201010001,San Andrés Zabache
20,201020001,San Andrés Zautla
20,201030001,San Antonino Castillo Velasco
20,201040001,San Antonino el Alto
20,201050001,San Antonino Monte Verde
20,201060001,San Antonio Acutla
20,201070001,San Antonio de la Cal
20,201080001,San Antonio Huitepec
20,201090001,San Antonio Nanahuatípam
20,201100001,San Antonio Sinicahua
20,201110001,San Antonio Tepetlapa
20,201120001,San Baltazar Chichicápam
20,201130001,San Baltazar Loxicha
20,201140001,San Baltazar Yatzachi el Bajo
20,201150001,San Bartolo Coyotepec
20,201160001,San Bartolomé Ayautla
20,201170001,San Bartolomé Loxicha
20,201180001,San Bartolomé Quialana
20,201190001,San Bartolomé Yucuañe
20,201200001,San Bartolomé Zoogocho
20,201210001,San Bartolo Soyaltepec
20,201220001,San Bartolo Yautepec
20,201230001,San Bernardo Mixtepec
20,201240001,Heroica Villa de San Blas Atempa
20,201250001,San Carlos Yautepec
20,201260001,San Cristóbal Amatlán
20,201270001,San Cristóbal Amoltepec
20,201280001,San Cristóbal Lachirioag
20,201290001,San Cristóbal Suchixtlahuaca
20,201300001,San Dionisio del Mar
20,201310001,San Dionisio Ocotepec
20,201320001,San Dionisio Ocotlán
20,201330001,San Esteban Atatlahuca
20,201340001,San Felipe Jalapa de Díaz
20,201350001,San Felipe Tejalápam
20,201360001,San Felipe Usila
20,201370001,San Francisco Cahuacuá
20,201380001,San Francisco Cajonos
20,201390001,San Francisco Chapulapa
20,201400001,San Francisco Chindúa
20,201410001,San Francisco del Mar
20,201420001,San Francisco Huehuetlán
20,201430001,San Francisco Ixhuatán
20,201440001,San Francisco Jaltepetongo
20,201450001,San Francisco Lachigoló
20,201460001,San Francisco Logueche
20,201470001,San Francisco Nuxaño
20,201480001,San Francisco Ozolotepec
20,201490001,San Francisco Sola
20,201500001,San Francisco Telixtlahuaca
20,201510001,San Francisco Teopan
20,201520001,San Francisco Tlapancingo
20,201530001,San Gabriel Mixtepec
20,201540001,San Ildefonso Amatlán
20,201550001,San Ildefonso Sola
20,201560001,San Ildefonso Villa Alta
20,201570001,San Jacinto Amilpas
20,201580001,San Jacinto Tlacotepec
20,201590001,San Jerónimo Coatlán
20,201600001,San Jerónimo Silacayoapilla
20,201610001,San Jerónimo Sosola
20,201620001,San Jerónimo Taviche
20,201630001,San Jerónimo Tecóatl
20,201640001,San Jorge Nuchita
20,201650001,San José Ayuquila
20,201660001,San José Chiltepec
20,201670001,San José del Peñasco
20,201680001,San José Estancia Grande
20,201690001,San José Independencia
20,201700001,San José Lachiguiri
20,201710001,San José Tenango
20,201720001,San Juan Achiutla
20,201730001,San Juan Atepec
20,201740001,Ánimas Trujano
20,201750001,San Juan Bautista Atatlahuca
20,201760001,San Juan Bautista Coixtlahuaca
20,201770001,San Juan Bautista Cuicatlán
20,201780001,San Juan Bautista Guelache
20,201790001,San Juan Bautista Jayacatlán
20,201800001,San Juan Bautista Lo de Soto
20,201810001,San Juan Bautista Suchitepec
20,201820001,San Juan Bautista Tlacoatzintepec
20,201830001,San Juan Bautista Tlachichilco
20,201840001,San Juan Bautista Tuxtepec
20,201850001,San Juan Cacahuatepec
20,201860001,San Juan Cieneguilla
20,201870001,San Juan Coatzóspam
20,201880001,San Juan Colorado
20,201890001,San Juan Comaltepec
20,201900001,San Juan Cotzocón
20,201910001,San Juan Chicomezúchil
20,201920001,San Juan Chilateca
20,201930001,San Juan del Estado
20,201940001,San Juan del Río
20,201950001,San Juan Diuxi
20,201960001,San Juan Evangelista Analco
20,201970001,San Juan Guelavía
20,201980001,San Juan Guichicovi
20,201990001,San Juan Ihualtepec
20,202000001,San Juan Juquila Mixes
20,202010001,San Juan Juquila Vijanos
20,202020001,San Juan Lachao
20,202030001,San Juan Lachigalla
20,202040001,San Juan Lajarcia
20,202050001,San Juan Lalana
20,202060001,San Juan de los Cués
20,202070001,San Juan Mazatlán
20,202080001,San Juan Mixtepec
20,202100001,San Juan Ñumí
20,202110001,San Juan Ozolotepec
20,202120001,San Juan Petlapa
20,202130001,San Juan Quiahije
20,202140001,San Juan Quiotepec
20,202150001,San Juan Sayultepec
20,202160001,San Juan Tabaá
20,202170001,San Juan Tamazola
20,202180001,San Juan Teita
20,202190001,San Juan Teitipac
20,202200001,San Juan Tepeuxila
20,202210001,San Juan Teposcolula
20,202220001,San Juan Yaeé
20,202230001,San Juan Yatzona
20,202240001,San Juan Yucuita
20,202250001,San Lorenzo
20,202260001,San Lorenzo Albarradas
20,202270001,San Lorenzo Cacaotepec
20,202280001,San Lorenzo Cuaunecuiltitla
20,202290001,San Lorenzo Texmelúcan
20,202300001,San Lorenzo Victoria
20,202310001,San Lucas Camotlán
20,202320001,San Lucas Ojitlán
20,202330001,San Lucas Quiaviní
20,202340001,San Lucas Zoquiápam
20,202350001,San Luis Amatlán
