IDDEMUNICIPIO,DESCRIPCION
210010001,Acajete
210010001,Acultzingo
210010001,La Cardenista (Colonia Lázaro Cárdenas)
210010001,La Magdalena Tetela Morelos
210010001,Cuautenco (La Cañería)
210010001,San Agustín Tlaxco
210010001,San Antonio Tlacamilco
210010001,San Bartolo Pinal
210010001,San Bernardino Citlaltépetl
210010001,San Javier
210010001,San Jerónimo Ocotitlán
210010001,San Martín la Joya
210010001,Santa Isabel Tepetzala
210010001,Santa María Nenetzintla
210010001,San Juan Tepulco
210010001,Buenavista
210010001,San Carlos
210010001,Nuestra Señora del Monte
210010001,Apango de Zaragoza
210010001,El Atorón
210010001,La Providencia
210010001,Santa Bárbara (Salsipuedes)
210010001,Tlacamilco
210010001,Coyultepeme
210010001,Cristo Rey
210010001,El Potrero
210010001,San Antonio Conocido
210010001,El Tetelito
210010001,El Temazcalito
210010001,San Juanico
210010001,San José el Tintero
210010001,La Tronquera
210010001,El Callejón
210010001,San Bernardino
210010001,El Rincón (Barrio Nuevo)
210010001,Santa Cruz Buenos Aires
210010001,San José Sección Quinta
210010001,El Rayito
210010001,Santa Cruz Buenos Aires
210010001,El Mirador
210010001,Santa María Nenetzintla
210010001,La Soledad
210010001,Tepatlaxco
210010001,El Tepeyac (Texal)
210010001,Vallarta
210010001,Santa Cruz la Calera
210010001,Carretaholt
210010001,Los Encinos
210010001,La Magdalena Tetela Morelos
210010001,San Miguel
210010001,Santa Isabel Tepetzala
210010001,Sección del Domingo
210010001,La Soledad (San Miguel la Blanca)
210010001,Los Tejocotes
210010001,El Textello
210010001,Tlalocalac
210010001,El Tetel
210010001,San Martín la Joya
210010001,Los Nogales
210010001,El Águila
210010001,Cuatzapalo
210010001,La Joya [Calhidra de Oriente]
210010001,El Sabinal
210010001,Tecruz
210010001,San Agustín Tlaxco
210010001,Las Casitas
210010001,Los Pilares
210010001,Metenco Malintzi
210010001,Xonacayo
210010001,Amacuatitas
210010001,Rancho de Rojas
210010001,La Honguera
210010001,Sección Sábado
210010001,El Jardín
210010001,La Mesa
210010001,El Cerrito
210010001,La Joya
210010001,Los Rojas
210010001,San Gabriel
210020001,San José Acateno
210020001,El Aguacate
210020001,Arenales
210020001,Arizona
210020001,Arroyo Blanco
210020001,Atalpa
210020001,Ayones
210020001,Ayoteaco
210020001,Buenos Aires
210020001,Cantarranas
210020001,La Cantina
210020001,Cerro de Acateno
210020001,Cojolites
210020001,Copales
210020001,Coyoles de la Vega
210020001,El Huarache
210020001,Chichicazapan
210020001,Dos Aguas
210020001,Dos Arroyos
210020001,Dos Caminos
210020001,La Esperanza
210020001,El Fortín
210020001,El Guayabal
210020001,La Higuera
210020001,Jiliapan
210020001,La Laja
