IDDEMUNICIPIO,DESCRIPCION
220010001,Amealco de Bonfil
220010001,Agua Blanca
220010001,El Apartadero
220010001,El Aserrín (Ojo de Agua del Hornito)
220010001,El Atorón
220010001,El Batán
220010001,El Capulín
220010001,El Carmen (Santiago Mexquititlán Barrio 6to.)
220010001,La Cofradía
220010001,El Varal
220010001,Chitejé de la Cruz
220010001,Donicá
220010001,Galindillo
220010001,Hacienda Blanca
220010001,La Isla
220010001,La Concepción (La Concha)
220010001,La Ladera
220010001,Laguna de Servín
220010001,El Lindero
220010001,Loma Linda
220010001,La Manzana
220010001,Mesillas
220010001,La Muralla
220010001,Palos Altos
220010001,Santiago Mexquititlán Barrio 5to. (El Pastoreo)
220010001,El Picacho
220010001,Jacal de la Piedad
220010001,El Pino
220010001,Quiotillos
220010001,El Rincón
220010001,El Salvador
220010001,Barrio San Antonio (San Bartolo)
220010001,San Bartolomé del Pino (San Bartolo)
220010001,San Felipe (Santiago Mexquititlán Barrio 6to.)
220010001,San Ildefonso Tultepec (Centro)
220010001,San José Ithó
220010001,San Juan Dehedó
220010001,San Martín
220010001,San Miguel Dehetí
220010001,San Miguel Tlaxcaltepec (Barrio Centro)
220010001,San Pablo
220010001,San Pedro Tenango
220010001,Santiago Mexquititlán Barrio 3ro.
220010001,Santiago Mexquititlán Barrio 4to.
220010001,Santiago Mexquititlán Barrio 2do.
220010001,Santiago Mexquititlán Barrio 1ro.
220010001,El Saucito
220010001,La Soledad
220010001,Tenasdá (Barrio de San Ildefonso)
220010001,El Tepozán (Barrio de San Ildefonso)
220010001,Guadalupe el Terrero
220010001,San Nicolás de la Torre
220010001,La Alameda del Rincón
220010001,El Bothé
220010001,La Cruz (San Bartolo)
220010001,Chitejé de Garabato
220010001,El Granjeno
220010001,La Piní
220010001,San Antonio la Labor
220010001,Yosphí
220010001,El Rayo
220010001,El Rincón de San Ildefonso
220010001,Los Arcos
220010001,Ejido el Rincón (La Botija)
220010001,Mal Paso (La Laguna)
220010001,La Beata
220010001,Los Reyes
220010001,La Mesa
220010001,Ejido de San Juan Dehedó
220010001,Rincón de la Florida
220010001,Los Árboles
220010001,El Capulín
220010001,San José de los Encinos (Las Cabañas) [Fraccionamiento]
220010001,Barrio la Esperanza (San Bartolo)
220010001,Loma de las Víboras (Santiago Mexquititlán Barrio 6to.)
220010001,El Cacahuate (Santiago Mexquititlán Barrio 6to.)
220010001,Barrio de Santa Teresa (Santiago Mexquititlán Barrio 6to.)
220010001,Tierras Negras (Santiago Mexquititlán Barrio 6to.)
220010001,El Jaral (Santiago Mexquititlán Barrio 6to.)
220010001,Amárcigo (San Luis)
220010001,Los Arenales (San Juan Dehedó)
220010001,Arroyo Hondo
220010001,El Rincón de Agua Buena (San Miguel Tlaxcaltepec)
220010001,El Pueblito (San Miguel Tlaxcaltepec)
220010001,Barrio de la Cruz (San Miguel Tlaxcaltepec)
220010001,Barrio de la Isla (Santiago Mexquititlán Barrio 6to.)
220010001,Barrio de la Ladera (San Miguel Tlaxcaltepec)
220010001,La Venta (Santiago Mexquititlán Barrio 6to.)
220010001,Barrio Ojo de Agua (San Miguel Tlaxcaltepec)
