IDDEENTIDAD,ID,DESCRIPCION
22,220010001,Amealco de Bonfil
22,220020001,Pinal de Amoles
22,220030001,Arroyo Seco
22,220040001,Cadereyta de Montes
22,220050001,Colón
22,220060001,Corregidora
22,220070001,Ezequiel Montes
22,220080001,Huimilpan
22,220090001,Jalpan de Serra
22,220100001,Landa de Matamoros
22,220110001,El Marqués
22,220120001,Pedro Escobedo
22,220130001,Peñamiller
22,220140001,Querétaro
22,220150001,San Joaquín
22,220160001,San Juan del Río
22,220170001,Tequisquiapan
22,220180001,Tolimán
