IDDEMUNICIPIO,DESCRIPCION
230010001,Cozumel
230010001,Punta Celarain
230010001,Punta Molas
230010001,Las Palmitas
230010001,El Cedral
230010001,Palancar
230010001,Punta Morena
230010001,Xel-Ha
230010001,Buenavista
230010001,Santa Rita
230010001,Presidente Intercontinental
230010001,Punta Chiqueros
230010001,San Bernardo
230010001,San Francisco
230010001,San Jorge
230010001,PASA Cozumel [Basurero Municipal]
230010001,San José
230010001,Los Garañones
230010001,Caleta
230010001,CAPA
230010001,Mayan Bee
230010001,Fiesta Americana
230010001,María Luisa
230010001,Cerro Chumul
230010001,Dos Arbolitos
230010001,La Estrella
230010001,San Pedro
230010001,Gallo de Oro
230010001,Aldea Isla Grande
230010001,Sol Estéreo
230010001,Los Pinos
230010001,San Andrés
230010001,San Carlos
230010001,México Lindo
230010001,El Naranjal
230010001,Rancho Lulú
230010001,María Magdalena
230010001,Mezcalitos
230010001,Nuestra Señora de Guadalupe
230010001,Palmar Primero
230010001,Aqua Dorada
230010001,Rancho Argüelles
230010001,San Gervasio
230010001,Paloma Negra
230010001,Grand Occidental
230010001,San Miguel Segundo
230010001,La Milpa
230010001,Sunscape
230010001,San Bartolo
230010001,Ramonales
230010001,San Carlos
230010001,La Amistad
230010001,Punta Arrecifes
230010001,La Cabaña del Pescador
230010001,CALICA
230010001,CALICA
230010001,Paso María
230010001,Chen Río
230010001,Chichihualco
230010001,Xkaliahche
230010001,Allegro Resort Cozumel
230010001,The Money Bar Beach Club
230010001,Los Gavilanes
230010001,Villa Mafi
230010001,San Juan
230010001,Zazil-Beh
230010001,Ubaldo Verde
230010001,Edilberto Sosa León
230010001,Ix-Chel
230010001,Kilómetro Ocho y Medio
230010001,Los Nueve Hermanos
230010001,Tamaulipas [Rancho]
230010001,Kilómetro Cuatro Punto Cinco
230010001,Ecoparque Cuzam
230010001,San Miguel
230010001,Quinta Vimar
230010001,Kilómetro Doce
230010001,El Mariachi
230010001,Las Palmeras
230010001,Playa Bosh
230010001,El Paso del Cedral
230010001,Los Pinos
230010001,Playa Corona
230010001,Playa Mía
230010001,Pueblo Nuevo
230010001,Punta Francesa
230010001,El Divino Niño Jesús
230010001,Las Gemelas
230010001,Garañones
230010001,San Miguel
230010001,San Miguel
230010001,San Miguel Tercero
230010001,Javier Escalante
230010001,San Gabriel
230010001,Santa Cecilia
230010001,Santa Cecilia Nueva
230010001,Santa María
230010001,La Herradura
230010001,Playa Bonita (Punta Chiqueros)
230010001,San Antonio
230010001,San Cipriano
230010001,Playa San Martín
230010001,Nueva Esperanza
230010001,Chankanaab [Parque]
230010001,La Esperanza
230010001,Fausto Coral
230010001,San Fernando
230010001,Maya Luum
230010001,Iberostar
230010001,Iguanas Ranas
230010001,El Refugio
230010001,Hacienda Antigua
230010001,Los Tres Regalos
230010001,Laguna Ciega
230010001,La Media Luna
230010001,La Selva
230010001,Nachi Cocom
230010001,Rancho Palmitas
230010001,Elio Carmichael [Escuela]
230010001,Rancho Alegre
230010001,Rancho Grande
230010001,Don Ranulfo
230010001,El Refugio
230010001,Ranchitos
230010001,Quinta la Bonita
230010001,Santa Teresa
230010001,El Curvato
230010001,Varadero
230010001,Yumka
230010001,Casa Tunich
230010001,Turquesa [Radio]
230010001,Isabel
230010001,Juan Leyenda Trigo
230010001,Mundo Palancar
230010001,Santa Rita
230010001,Casa de las Flores
230010001,Mister Sanchos
230010001,Villas Pavo Real
230010001,El Rincón [Héctor]
230010001,Costa del Sol
230010001,Las Fincas
230010001,Paradise Condominiums
230010001,Casa Birdie
230010001,Osio Meliporas
230010001,El Cielo [Villas]
230010001,Paradise Beach
230010001,Residencias Reef
230010001,Las Uvas
230010001,Las Ventanas
230010001,Villa Dos
230010001,Villa Tikal
230010001,Los Abuelos
230010001,Cozumeleño
230010001,La Esperanza AC
230010001,Guadalupe del Carmen
230010001,La Huerta
230010001,Kilómetro Ocho y Medio
230010001,Katia Soto
230010001,Rancho Enríquez
230010001,Rancho Palomo
230010001,El Refugio
230010001,San Nicolás
230010001,Bodoquito
230010001,Bosh Balam
230010001,De los Santos
230010001,Discover México
230010001,Don Miguel
230010001,Eduardo Toledo Parra
230010001,Tres Marías
230010001,Gabriel y Gabriela
230010001,Gastón Cantarell
230010001,El Gato
230010001,Isla de la Pasión
230010001,Isla Maya
230010001,Luis Alcérreca
230010001,Peña Bohemia
230010001,Las Perlitas
230010001,San Carlos
230010001,San Judas Tadeo
230010001,Universo
230010001,Costa Sur
230010001,Don Raúl
230010001,El Capitán [Rancho]
230010001,Ilusión
230010001,La Princesa
230010001,Mariposas
230010001,Kilómetro Dieciocho Punto Veinticinco
230010001,Ninguno
230010001,Gavilanes
230010001,Santa Zitta
230010001,San Manuel
230010001,Góngora [Palapas]
230010001,La Esperanza
230010001,Nazario Uc Ciau
230010001,Daniel Gamboa
230010001,Linda Vista
230010001,Patricio (Kilómetro Siete)
230010001,Nojoch Suku'un
230010001,El Pastorcito
230010001,San Anselmo
230010001,San Gervasio
230010001,San Lucas
230010001,Sandoval
230010001,Cozumel
230010001,Villa Caracoles
230010001,Villa Edén
230010001,Villa el Edén
230010001,Villa M II
230010001,Villa Yak'alil [Kilómetro Doce Punto Cinco]
230010001,Las Uvas
230010001,Campeche
230010001,Arturo Pavía
230010001,Rincón de Cervantes
230010001,San Isidro
230010001,San Miguel
230010001,Los Potros
230010001,Campestre
230010001,Las Brisas
230010001,Las Glorias
230010001,Lirios
230010001,Palmar
230010001,Villa Luciana
230010001,Salgado
230010001,X-Kanha
230010001,Kilómetro 3.5
230010001,El Porvenir [Rancho]
230010001,Villas Cozumel
230010001,Santa Rita
230010001,Santa Teresa
230010001,Cuatro Amores [Rancho]
230010001,Carlos Eduardo Gómez
230010001,Tres Potros [Rancho]
230010001,César
230010001,Miguel Isidro [Rancho]
230010001,Almaluja
230010001,Mini Súper Dael
230010001,Magdaleno Avilés
230010001,San Benito
230010001,Palmar Beach Club
230010001,La Terquedad
230010001,Ek Nah
230010001,Ejido Cozumel
230010001,Antonio Novelo
230010001,Bugambilias
230010001,Escondido [Rancho]
230010001,Martha
230010001,Reyes Baltazar Cauich [Rancho]
230010001,Santiago Vivas
230010001,Javier Novelo Buenfil
230010001,Elder Portillo
230010001,Landmark
230010001,Mauro Villanueva
230020001,Felipe Carrillo Puerto
230020001,Ignacio Manuel Altamirano
230020001,Betania
230020001,Chancah Derrepente
230020001,Chancah Veracruz
230020001,Chanchén Comandante
230020001,Chucab
230020001,Chun On
230020001,Chumpón
230020001,Chunhuás
230020001,Chunhuhub
230020001,Dzoyola
230020001,Dzulá
230020001,Filomeno Mata
230020001,Hobompich
230020001,Kancabchén
230020001,Kopchen
230020001,Laguna Kaná
230020001,Melchor Ocampo
230020001,Naranjal Poniente
230020001,Noh-Bec
230020001,Noh-Cah
230020001,La Noria
230020001,Petcacab
230020001,Polinkín
230020001,Polyuc
230020001,Pozo Blanco
230020001,Presidente Juárez
230020001,Casa Blanca
230020001,Ramonal
230020001,Sacrificio
230020001,San Andrés
230020001,San Felipe Berriozábal
230020001,San Francisco Aké
230020001,San José Primero
230020001,San José Segundo
230020001,San Luis
230020001,San Ramón
230020001,Santa Lucía
230020001,Santa María Poniente
230020001,Santa Rosa Segundo
230020001,Señor
230020001,Tabi
230020001,Tac-Chivo
230020001,Tepich
230020001,Tihosuco
230020001,Tixcacal Guardia
230020001,Trapich
230020001,Tuzik
230020001,Uh May
230020001,Xaan
230020001,X-Hazil Sur
230020001,X-Pichil
230020001,X-Yatil
230020001,Yaxché Chal
230020001,Yaxley
230020001,Yoactún
230020001,Yodzonot Chico
230020001,Andrés Quintana Roo
230020001,Bella Flor
230020001,Canzepchén
230020001,El Corozo
230020001,Chan Chen Chuc
230020001,Chan Santa Cruz
230020001,Emiliano Zapata
230020001,Francisco I. Madero
230020001,Francisco May
230020001,Camilo Varilla Jiménez [Rancho]
230020001,Lal-Cah
230020001,Mixtequilla
230020001,Nueva Loría
230020001,Nuevo Israel
230020001,San Bartolo
230020001,San Hipólito
230020001,El Triunfo
230020001,X-Konha
230020001,San Antonio Nuevo
230020001,El Albur
230020001,Chan-Yodzonot
230020001,José María Pino Suárez
230020001,Kampokolché
230020001,Pomká
230020001,Reforma Agraria
230020001,San Vicente
230020001,La Guadalupana
230020001,El Santísimo
230020001,Santa Cruz
230020001,Santa Isabel
230020001,Santa Lucía
230020001,Yodzonot Nuevo
230020001,Kancab Chén
230020001,Roberto Pérez Sánchez
230020001,Lagos
230020001,María Elena
230020001,Punta Herrero
230020001,San Román
230020001,Santa Rosa
230020001,Anexa Santa Fe Segundo
230020001,Cacab
230020001,Fitosanitaria
230020001,Columpich
230020001,La Curva
230020001,Chanchén
230020001,Chan Xcán
230020001,Chapas
230020001,Chun Akidz
230020001,Chun-Yah
230020001,Chunyaxché
230020001,Dzitbalché
230020001,Santa Teresa
230020001,Filadelfia
230020001,Frontera Norte
230020001,Charys
230020001,Guadalupe
230020001,El Coleguita
230020001,Hazil
230020001,Los Tres Reyes
230020001,Kankabdzonot
230020001,Chumpón
230020001,Cecilio Chí (Kilómetro Sesenta y Cuatro)
230020001,Los Lagartos
230020001,La Lagunita
230020001,Lirios
230020001,Montalvo
230020001,Punta Mosquitero
230020001,Marín
230020001,Nohkancab
230020001,Mil Caminos
230020001,Laguna Pucté
230020001,Punta Herrero [Faro]
230020001,La Caoba
230020001,Kilómetro Dos
230020001,Isla Zitipal
230020001,Rancho Chico
230020001,San Martín
230020001,Ninguno [Rastro Municipal]
230020001,Sahcabchén
230020001,San Andrés
230020001,San Antonio Segundo
230020001,San Antonio Nuevo
230020001,San Daniel
230020001,San Jorge
230020001,La Bendición de Dios [Balneario]
230020001,San Lorenzo
230020001,San Lorenzo
230020001,San Miguel
230020001,San Pablo
230020001,San Pedro
230020001,Santa Amalia
230020001,Santa Fe Segundo
230020001,Santa Gertrudis
230020001,Tasistal
230020001,Tres Reyes
230020001,Tuzik II
230020001,Ninguno [Vivero Municipal]
230020001,Caña Brava
230020001,Tepich
230020001,X-Hazil Norte
230020001,Xhulmi
230020001,La Victoria
230020001,Seis de Enero
230020001,Bachoco [Granja]
230020001,Industria Silvícola Maya
230020001,Flor de Jazmín
230020001,Rancho el Rosal
230020001,Tzukum
230020001,El Vergel
230020001,El Girasol
230020001,Dos Cedritos
230020001,Los Tres Reyes
230020001,Omega
230020001,Andrea Angélica
230020001,Dzaptún
230020001,Ernesto Flores
230020001,El Girasol
230020001,San Pedro
230020001,Santa Clara
230020001,Rancho Víctor
230020001,Los Laureles
230020001,El Roble
230020001,Mi Ranchito
230020001,Nicte Ha
230020001,El Olvido (Kulché)
230020001,Punta Estrella
230020001,El Resbalón
230020001,San Antonio de Pucté
230020001,Santa Cecilia
230020001,Santa Leticia
230020001,Sisbic
230020001,X-Hazil Primero
230020001,Xijun Kah
230020001,Gustavo Ché Montalvo
230020001,Fernando Serrano Trujillo
230020001,San Marcos
230020001,SEDENA
230020001,La Guadalupana
230020001,Paraíso
230020001,Chunhuhub
230020001,Ninguno
230020001,San José
230020001,El Edén
230020001,Nuevo Amanecer [Rancho]
230020001,Balam Nah
230020001,Yodzonot
230020001,Las Bugambilias
230020001,Ninguno [Gasolinera]
230020001,Alfonso Argüelles Suárez
230020001,Kilómetro Noventa y Tres
230020001,La Librada
230020001,Rastafari Mens Club
230020001,El Charro [Rancho]
230020001,Cruz-Chen
230020001,San Salvador
230020001,Villahermosa
230020001,Akachén
230020001,Chan Koh
230020001,José María Pino Suárez
230020001,Mulichén
230020001,San Silverio
230020001,Yalchén
230020001,La Maravilla
230020001,Los Cocos
230020001,San Juan Dieguito
230020001,La Esperanza
230020001,Las Golondrinas
230020001,Kiichpam K'áax
230020001,Ignacio Xool
230020001,Las Isabeles
230020001,José Guadalupe
230020001,Juan Carlos Martínez
230020001,Ninguno
230020001,Novelo
230020001,El Perico
230020001,Los Ponchos
230020001,El Progreso
230020001,Shekkinha (la Gloria de Dios)
230020001,San Felipe
230020001,San Isidro
230020001,San José
230020001,San Juan
230020001,San Pedro
230020001,San Valentín
230020001,Sijiil Noh Ha
230020001,Suku'un Rich
230020001,Tierra Bonita
230020001,Tricasa
230020001,SEDARI [Vivero]
230020001,Amadamaya S.A. de C.V. [Kilómetro Ochenta y Uno]
230020001,Casa Arvimi
230020001,El Paso
230020001,Emilio Che Tuz
230020001,Estanislao Bolio Caamal
