IDDEENTIDAD,ID,DESCRIPCION
24,240010001,Ahualulco del Sonido 13
24,240020001,Alaquines
24,240030001,Aquismón
24,240040001,Armadillo de los Infante
24,240050001,Cárdenas
24,240060001,Catorce
24,240070001,Cedral
24,240080001,Cerritos
24,240090001,Cerro de San Pedro
24,240100001,Ciudad del Maíz
24,240110001,Ciudad Fernández
24,240120001,Tancanhuitz
24,240130001,Ciudad Valles
24,240140001,Coxcatlán
24,240150001,Charcas
24,240160001,Ebano
24,240170001,Guadalcázar
24,240180001,Huehuetlán
24,240190001,Lagunillas
24,240200001,Matehuala
24,240210001,Mexquitic de Carmona
24,240220001,Moctezuma
24,240230001,Rayón
24,240240001,Rioverde
24,240250001,Salinas
24,240260001,San Antonio
24,240270001,San Ciro de Acosta
24,240280001,San Luis Potosí
24,240290001,San Martín Chalchicuautla
24,240300001,San Nicolás Tolentino
24,240310001,Santa Catarina
24,240320001,Santa María del Río
24,240330001,Santo Domingo
24,240340001,San Vicente Tancuayalab
24,240350001,Soledad de Graciano Sánchez
24,240360001,Tamasopo
24,240370001,Tamazunchale
24,240380001,Tampacán
24,240390001,Tampamolón Corona
24,240400001,Tamuín
24,240410001,Tanlajás
24,240420001,Tanquián de Escobedo
24,240430001,Tierra Nueva
24,240440001,Vanegas
24,240450001,Venado
24,240460001,Villa de Arriaga
24,240470001,Villa de Guadalupe
24,240480001,Villa de la Paz
24,240490001,Villa de Ramos
24,240500001,Villa de Reyes
24,240510001,Villa Hidalgo
24,240520001,Villa Juárez
24,240530001,Axtla de Terrazas
24,240540001,Xilitla
24,240550001,Zaragoza
24,240560002,Villa de Arista
24,240570001,Matlapa
24,240580001,El Naranjo
24,240590001,Villa de Pozos
