IDDEMUNICIPIO,DESCRIPCION
250010001,Los Mochis
250010001,El Aguajito
250010001,Agua Nueva
250010001,Ahome
250010001,Los Algodones
250010001,El Añil
250010001,Bacaporobampo
250010001,Bacorehuis
250010001,Bachomobampo Número Uno
250010001,Bagojo Colectivo
250010001,Ejido Benito Juárez
250010001,San Isidro
250010001,El Bule
250010001,Las Lilas
250010001,Cerrillos (Campo 35)
250010001,Cohuibampo
250010001,El Colorado
250010001,Compuertas
250010001,Ejido Cuchilla de Cachoana
250010001,La Chifleta
250010001,Chihuahuita
250010001,La Despensa
250010001,Dieciocho de Marzo
250010001,Dolores Hidalgo
250010001,Emigdio Ruiz
250010001,Felipe Ángeles
250010001,Flor Azul
250010001,Gabriel Leyva Solano (Zapotillo Dos)
250010001,Guillermo Chávez Talamantes
250010001,Goros Número Dos
250010001,Goros Pueblo
250010001,Las Grullas Margen Derecha
250010001,Las Grullas Margen Izquierda
250010001,Huacaporito
250010001,Gustavo Díaz Ordaz (El Carrizo)
250010001,Higuera de Zaragoza
250010001,Huatabampito
250010001,La Sucursal Jiquilpan
250010001,Jitzámuri
250010001,Las Lajitas
250010001,Ejido Louisiana
250010001,Ejido Macapul
250010001,Mártires de Sinaloa Dos
250010001,Ejido Mayocoba
250010001,Mochis (Ejido Mochis)
250010001,Niños Héroes de Chapultepec [Estación Francisco]
250010001,Ejido 9 de Diciembre
250010001,Ejido Ohuira
250010001,Plan de Ayala [Campo Cinco]
250010001,Ejido Plan de Guadalupe
250010001,Plan de San Luis
250010001,El Porvenir
250010001,Primero de Mayo
250010001,El Ranchito
250010001,El Recodo
250010001,El Refugio
250010001,El Remate
250010001,Revolución Mexicana
250010001,Ejido Ricardo Flores Magón
250010001,San Lorenzo Viejo
250010001,San Luis
250010001,San Miguel Zapotitlán
250010001,San Pablo
250010001,Sinaloa de Leyva (El Venadillo)
250010001,Los Suárez
250010001,Topolobampo
250010001,Bolsa de Tosalibampo Uno
250010001,El Tule
250010001,Ejido Porvenir Vallejo
250010001,Zapotillo Uno (Zapotillo Viejo)
250010001,Venustiano Carranza y Reforma
250010001,Renacer
250010001,Cerro Prieto
250010001,Cobayme
250010001,La Esmeralda
250010001,La Fortuna
250010001,Campo las Huertas
250010001,Paredones
250010001,Poblado Número Cinco
250010001,Poblado Número Seis (Los Natoches)
250010001,San Miguelito
250010001,Ejido Rosendo G. Castro
250010001,Ejido Tosalibampo
250010001,La Tranquilidad
250010001,Las Varitas
250010001,Rancho Vinoramas
250010001,Alfonso G. Calderón (Poblado Siete)
250010001,Matacahui (El Campito)
250010001,El Desengaño
250010001,Mártires de Sinaloa Uno
250010001,Bachomobampo Número Dos
250010001,Bolsa de Tosalibampo Dos
250010001,El Ranchito
250010001,Casa Blanca
250010001,La Caimanera
250010001,Santa Bárbara (Cabaihunaca)
250010001,El Milo
250010001,Ninguno
250010001,Las Mañanitas
250010001,San José de Ahome
250010001,Cuchilla Vieja
250010001,Galaviz
250010001,Tizcareño
250010001,El Sahuaro
250010001,La Bajada de San Miguel
250010001,La Ballena
250010001,Bagojo del Río [Bombas Águila]
250010001,Ejido Las Calaveras
250010001,Campo Ruiz
250010001,Campo Victoria
250010001,El Cardal
250010001,Cerrito el Cinco
250010001,Siaguasa
250010001,El Cincuenta y Siete
250010001,La Concha
250010001,Cachoana
250010001,Los Chinitos
250010001,Choacahui
250010001,El Cerrito [Empaque]
250010001,El Porvenir Número Uno
250010001,La Ganadera
250010001,Campo los Garza
250010001,Guachapore
250010001,Campo Guadalupe Estrada
250010001,El Guamuchilito
250010001,El Guayabo
250010001,La Isla
250010001,Juricahui
250010001,La Logia
250010001,Campo Louisiana
250010001,Mapahuy
250010001,Azarime
250010001,Los Metates
250010001,Campo el Papalote
250010001,Ohuira Viejo [Campo el Chepe]
250010001,El Portón
250010001,Las Prietas
250010001,Agrícola el Feo
250010001,El Caracol
250010001,Goros Viejo
250010001,La Salina
250010001,San Alberto
250010001,San Antonio
250010001,San Felipe
250010001,San Isidro [Campo Gallegos]
250010001,San José
250010001,San Rafael
250010001,Santa Eduwiges
250010001,Santa Julia
250010001,Tabelojeca
250010001,La Tea
250010001,Granja Avícola Promesa (Tenochtitlan)
250010001,Ejido Topolobampo
250010001,Ejido Tortugas Número 2
250010001,Campo las Carpas
250010001,Campo Gastélum
250010001,El Alhuate
250010001,Buenos Aires
250010001,Berita Fierro [Campo]
250010001,Campo los Cuates
250010001,Campo Medina
250010001,Campo Chinchillas
250010001,Campo Maor
250010001,Las Lichis
250010001,Camayeca
250010001,Cinco de Mayo
250010001,Las Crucecitas
250010001,Rancho Don Jacinto
250010001,Bodega Canal 18
250010001,Almer
250010001,El Peluchín
250010001,La Fortuna (La Primavera)
250010001,Las Quintas
250010001,Agrícola y Refrigeración J y G
250010001,Las Huertas
250010001,Rancho el Encanto
250010001,El Rastro
250010001,San Juan
250010001,89 B. de I.
250010001,Ahome [Granja Avícola]
250010001,Ojai [Granja Avícola]
250010001,El Fuerte [Granja Avícola]
250010001,Campo Villarreal
250010001,San Miguel [Granja Avícola]
250010001,La Jackson
250010001,Nuevo Hogar
250010001,Palomino
250010001,Ninguno [Rancho Jesús Martínez]
250010001,Ninguno [Los Rodríguez]
250010001,Campo Ruelas
250010001,Luciano Villarreal Ruiz
250010001,Campo Mendoza
250010001,La Capilla
250010001,Ohuime
250010001,La Ilusión (Campo Labastida)
250010001,Rancho Mariana
250010001,Jagüey
250010001,La Florida Vieja
250010001,La Cuenca
250010001,Campo Ángeles
250010001,El Maviri (Baviri)
250010001,Campo la Arrocera
250010001,Zuaque [Granja Avícola]
250010001,El Uno
250010001,El Salitral
250010001,Juan Carlos Vega
250010001,Nuevo San Miguel
250010001,Agrícola Chofis
250010001,Hortícola Robertos
250010001,La Cochera de Dolores
250010001,Campo Ensenada
250010001,Francia Bonita (Campo Villalobos)
250010001,El Chalate
250010001,Poblado San Alberto
250010001,Oro Pinto (Goros Uno)
250010001,San Felipe [Empaque]
250010001,Albergue Santa Rosa
250010001,La Dos
250010001,Siete Cerros
250010001,Ramón Osuna Cota [Campo]
