IDDEMUNICIPIO,DESCRIPCION
260010001,Aconchi
260010001,La Estancia
260010001,Maicobabi
260010001,El Rodeo (El Rodeo de Aconchi)
260010001,San Pablo (San Pablo de Aconchi)
260010001,Tres Álamos
260010001,Tepúa (El Carricito)
260010001,Agua Caliente
260010001,Las Garzas
260010001,La Alamedita
260010001,Las Albóndigas
260010001,Los Alisos
260010001,La Loma
260010001,Establo López
260010001,La Misión
260010001,El Tarais
260010001,Valencia
260010001,Rafael Noriega Soufflé
260010001,Represo de Romo
260010001,La Alameda
260010001,La Higuera
260010001,Barranca las Higueritas
260010001,Havinanchi
260010001,Ninguno [Aquilino Fuerte]
260010001,La Sauceda
260020001,Agua Prieta
260020001,Agua Blanca
260020001,El Azufre
260020001,La Cabellera
260020001,Cabullona
260020001,Colonia Morelos
260020001,18 de Agosto (Corral de Palos)
260020001,Cuchuverachi
260020001,Los Chirriones
260020001,El Diablo
260020001,Rancho Gallardo
260020001,El Gis (El Fist)
260020001,El Hucaral
260020001,La Junta de los Ríos
260020001,El Ojito
260020001,Las Eloísas (El Papalote)
260020001,El Papalote Mocho
260020001,El Pinito
260020001,El Porvenir
260020001,El Pozo (San Juan)
260020001,Puerta Blanca
260020001,El Rusbayo
260020001,San Bernardino
260020001,El Capadero
260020001,Colonia Seca
260020001,El Tapila
260020001,El Valle
260020001,Ramón Oquita Montenegro (La Cieneguita)
260020001,Enrique Amador Camacho
260020001,Benito Domínguez Ballesteros
260020001,Las Barras
260020001,Los Pinos
260020001,Las Cenizas
260020001,Los Jabalíes
260020001,Rancho Nuevo
260020001,La Ladrillera
260020001,Las Águilas
260020001,El Alamito
260020001,La Cabellera
260020001,Los Cúmaros
260020001,El Mezquitalito
260020001,La Vinata
260020001,La Virgen
260020001,Avitia
260020001,Bella Vista
260020001,David Muñoz Orona
260020001,Los Embudos
260020001,Los Janitos
260020001,Molino Quemado
260020001,Los Ojos Calientes
260020001,El Papalote
260020001,La Pistola
260020001,Salsipuedes
260020001,La Manga
260020001,La Piedra
260020001,La Piedra Bola
260020001,Catalina
260020001,El Potrero Seco
260020001,Estación Cuarentenaria
260020001,Puerto San Luis (Restaurante)
260020001,San Antonio
260020001,El Trece
260020001,San Francisco
260020001,El Alisal
260020001,El Apache
260020001,Mesa de la Víbora
260020001,El Nogalito
260020001,La Malia
260020001,Campo Verde
260020001,Las Agujas
260020001,El Alamito
260020001,Los Alamitos
260020001,El Álamo
260020001,Los Álamos
260020001,El Alisal
260020001,Los Altos
260020001,Las Anitas
260020001,Los Azogues
260020001,La Esperanza
260020001,Los Chinos
260020001,Los Chinos
260020001,El Bajío [Club de Tiro]
260020001,San Antonio
260020001,El Cúmaro
260020001,Los Embudos
260020001,El Cachanilla
260020001,Ninguno [Francisco Adarga Yáñez]
260020001,El Fresnal
260020001,Los Fresnales
260020001,El Fresno
260020001,Fundación Brazos de Amor
260020001,La Herradura
260020001,Jorge Nicolás Barra
260020001,Jorge Leyva Iribe
260020001,Ninguno
260020001,Ninguno
260020001,Licenciado Anselmo Murillo
260020001,Arias
260020001,Yunke Nolos
260020001,Ninguno [Manuel Hernández]
260020001,Ninguno [Yunque Antonio Hernández]
260020001,El Fresnal
260020001,San Carlos
260020001,El Mojón
260020001,Pan Duro
260020001,Raymundo Gastelum
260020001,Benito Gámez Nuñez
260020001,Fernando Ramírez
260020001,Francisco Ramírez
260020001,Guillermo Carrillo González
260020001,Herlinda Celaya Ibarra
260020001,Jesús Moreno
260020001,Juan Félix Mejía
260020001,Doctor Vázquez
260020001,Alberto Gracía Grijalva
260020001,Julia León Molina
260020001,Ricardo Cornídez
260020001,El Pozo
260020001,La Puerta Negra
260020001,La Rancheta del Alamito
260020001,La Lechuza
260020001,Rancho Bacaparra
260020001,Rancho Nuevo el Cachetón
260020001,Carlos de la Madrid
260020001,Las Isabeles
260020001,Raúl Ortega Morales
260020001,Petra de Ozorni
260020001,El Veinticinco
260020001,Rancho Katib
260020001,El Nogalito
260020001,El Sauce
260020001,Ernesto Gracia Tena
260020001,José Manuel Flores Moreno
260020001,Armando Gámez
260020001,Alfonso García Romo
260020001,Rancho Grande
260020001,Joaquín Zamudio Ramírez
260020001,Alfredo Lachica
260020001,Jaime Acedo
260020001,Ricardo Dórame Madrid (Kilómetro Trece)
260020001,José Ramón Grijalva Jiménez (Kilómetro Cinco)
260020001,La Gloria
260020001,La Pitahaya
260020001,La Sota
260020001,El Fresnal
260020001,Las Peñas
260020001,Vicente Licea Márquez
260020001,Ramón Tapia
260020001,El Mirador
260020001,Ganadera Flores Moreno
260020001,Manuel Ortega Morales
260020001,Manuel Valdez Valdez
260020001,Ninguno [Marcelo Rascón]
260020001,Martín Rivera Ojeda
260020001,Nicolás González
260020001,El Greco
260020001,Pitaycachi
260020001,Ninguno [Familia López Ríos]
260020001,Ramón Sosa
260020001,Jesús Terán Morales
260020001,El Represito
260020001,El Rincón
260020001,El Sale
260020001,Rancho Cinco Estrellas [Fraccionamiento Campestre]
260020001,Santa Cecilia
260020001,El Santo Niño
260020001,Dávila [Taller]
260020001,La Tinaja
260020001,Enrique Amador Camacho (El Cajón Bonito)
260020001,Los Embudos
260020001,La Sota
260020001,San Isidro (El Bacatete)
260020001,Ninguno [Loreto Sanez Quiroz]
260020001,El Porvenir (Munguía)
260020001,Ninguno [Familia Zamarrón]
260020001,Ninguno [Juan Carlos Ochoa Valenzuela]
260020001,Rancho de las Borregas
260020001,La Ciénega
260020001,Rancho Nuevo
260020001,Rancho Seco
260020001,Represo
260020001,Abel Acosta Anaya
260020001,Ninguno [Corralón Federal]
260020001,Ninguno [Ignacio Anguiano]
260020001,Ninguno [Alejandro Murrieta]
260020001,Ninguno [Familia Leyva]
260020001,Ninguno [El Profe]
260020001,Ninguno [Familia Carranza]
260020001,Ninguno
260020001,Mario Ruiz Madrid
260020001,Ninguno [Familia Mejía]
260020001,Miguel Ángel Bermudes
260020001,Los Amigos
260020001,El Camionero [Restaurante]
260020001,San Francisco
260020001,La Victoria
260020001,Adán Zorilla
260020001,Atilano Barrón
260020001,Nuevo Salsipuedes
260020001,Sergio Quijada
260020001,Ninguno [Laser Night Club]
260020001,El Oso
260020001,Unión Ganadera
260020001,La Casa de Lámina
260020001,El Aguaje (La Pera)
260020001,Manuel Rivas
260020001,Km 13 [Buena Vista]
260020001,Los Aguajes
260020001,Los Almireces
260020001,La Tinaja
260020001,Ninguno [Jorge Félix]
260020001,Ninguno
260020001,Plaza Ortiz
260020001,Ninguno [Roberto Salcido Cano]
260020001,Reynaldo Moreno Andrade
260020001,Francisco Monroy
260020001,Yeguada el Fraile
260020001,Dos Alamitos [Rancho]
260020001,San Francisco
260020001,El Carricito
260020001,Ocotillo
260020001,Rancho Corrales
260020001,El Fresno
260020001,Las Brujas [Rancho]
260020001,El Nogal
260020001,Ninguno[Granja Porcícola]
260020001,El Muerto
260020001,La Tortuga
260020001,El Suspiro
260020001,Ninguno[Yunque]
260020001,Kilómetro 9
260020001,Alejandro Contreras Murillo
260020001,El Mahone
260020001,Ninguno
260020001,Ninguno [Lomeli Sardinas]
260020001,Mina el Llantas
260020001,Planta de Cal de Agua Prieta
260020001,Corrales el Carricito
260020001,Señora Consuelo
260020001,Hacienda la selva
260020001,La Garita
260020001,Herlinda Celaya Delgado
260020001,Las Ranchetas [Las Ranchetas de los Cúmaros]
260020001,San Francisco
260020001,Los Alamitos [Rancheta]
260020001,Manuel Somoza
260020001,Octavio Abril [Ejido Enrique Amador]
260020001,Edgar Antonio Romero
260020001,Rafael Melgoza
260020001,Israel Medina
260020001,Rafael Loreto
260020001,Luis Mireles
260020001,Ramón Félix
260020001,Jesús Cano
260020001,Tirzo Amaya
260020001,El Chaparral
260020001,Ubaldo Sánchez
260020001,Blanca Esthela Téllez
260020001,El Capadero
260020001,El Mocho [Rancho]
260030001,Álamos
260030001,La Aduana
260030001,Agua Blanca
260030001,Agua Blanca
260030001,Agua Fría
260030001,Agua Salada
260030001,Agua Tapada
260030001,Las Algarrobas
260030001,Los Algodones
260030001,Las Ánimas
260030001,Argentina
260030001,Baboyagui
260030001,Bacajaqui
260030001,Bacamaya
260030001,Bachaca
260030001,El Baiquillo
260030001,La Bandera
260030001,Barumico
260030001,Basiroa
260030001,La Batea
260030001,Batarimocha
260030001,Bavícora
260030001,Los Becerros
260030001,Los Brasiles
260030001,Buenavista
260030001,Buenavista
260030001,Burapaco
260030001,Burapaquito
260030001,El Cajón del Sabino (El Cajón)
260030001,El Cajoncito
260030001,Los Camotes (San José del Palmar)
260030001,Capitahuasa
260030001,Los Capomos
260030001,Los Capomos
260030001,El Carrizal
260030001,Casanate
260030001,Casas Coloradas
260030001,Cerro Colorado (El Colorado)
260030001,La Ciénega
260030001,La Cieneguita
260030001,Cochibampo
260030001,La Concepción
260030001,La Concepción
260030001,Campamento las Casitas (El Mocúzarit)
260030001,Conisaca
260030001,El Copas (La Noria)
260030001,Corogüi
260030001,Las Cuevas
260030001,Las Cuevas
260030001,El Chapote
260030001,El Charuco
260030001,Chícoras
260030001,El Chíchal
260030001,El Chinal
260030001,El Chino (San Antonio de los Chinos)
260030001,Chino Gordo
260030001,Choquinahui (El Cobre)
260030001,Las Choyitas
260030001,Chinahuiro
260030001,Dolisa (Presa el Veranito)
260030001,Los Encinitos
260030001,Los Encinos
260030001,La Esperanza
260030001,La Esperanza (Testapochi)
260030001,Gerocoa (Las Canillas)
260030001,Fundición
260030001,La Gacela
260030001,Las Garzas
260030001,Gocojaqui
260030001,Gochico Viejo
260030001,Guajaray
260030001,El Guajolote
260030001,El Guamuchil
260030001,Guamuchilito
260030001,Las Guásimas
260030001,Las Güijas
260030001,Huiquibampo
260030001,Huirocoba
260030001,La Higuera
260030001,La Hortaliza
260030001,Guataturi
260030001,Paredones
260030001,Jecopaco (San Antonio)
260030001,Las Flores (Gerocoa)
260030001,Joconas
260030001,Jurinavo
260030001,La Laborcita
260030001,La Laguna
260030001,Las Lajas
260030001,El Limón
260030001,Las Lomas
260030001,Los Llanos de Benito
260030001,Macoyahui
260030001,El Maquipo
260030001,Las Mayas (La Granadita)
260030001,Mexiquillo
260030001,La Mezcalera
260030001,Los Mezcales
260030001,El Mezquital
260030001,La Mina de la Cruz
260030001,Minas Nuevas
260030001,Las Minitas
260030001,Miramar
260030001,El Mocúzari (Conicárit)
260030001,Los Molinos
260030001,Los Muertos
260030001,Munihuasa
260030001,Nahuibampo
260030001,Los Norotes
260030001,Ojo Prieto
260030001,Osobampo
260030001,Palmarito
260030001,Palos Chinos
260030001,La Pasadita (Tres Marías)
260030001,El Paso
260030001,Pie de la Cuesta
260030001,Piedras Blancas
260030001,Las Plomosas
260030001,Potrero de Alcántar
260030001,Puerta de Mano
260030001,Potrero de Reuter
260030001,Presa de Denís
260030001,Presa de Corrales
260030001,Providencia
260030001,La Quintera
260030001,Rancherías
260030001,Román Yocupicio (El Ranchito)
260030001,El Ranchito
260030001,California (La Asina)
260030001,Rancho Viejo
260030001,La Reforma
260030001,El Rincón
260030001,El Rodeo
260030001,Sabinito Sur
260030001,El Sabino Grande (El Sabino)
260030001,Sahuarivo
260030001,El Salado
260030001,San Bernardo
260030001,San Ignacio
260030001,San Isidro
260030001,San Martín
260030001,San Miguel
260030001,San Pedro
260030001,El Frijol
260030001,Santa Bárbara
260030001,Santa Cruz
260030001,California (Santa Mónica)
260030001,San Vicente
260030001,El Sauz
260030001,Sejaqui
260030001,Los Citahuis
260030001,El Sombrerito
260030001,El Tabelito
260030001,El Tabelo (San José del Tabelo)
260030001,El Tacuache
260030001,Los Tanques
260030001,Tapizuelas
260030001,Tasajera
260030001,Taymuco
260030001,Techobampo
260030001,Tepara
260030001,El Tepehuaje
260030001,El Tepustete
260030001,La Tescalama
260030001,Tetacora
260030001,Tetagiosa
260030001,La Tinaja
260030001,Tojibampo
260030001,Topiyeca
260030001,La Noria (Toribampo)
260030001,Tres Marías
260030001,Vado Cuate
260030001,Los Valles
260030001,El Veranito
260030001,La Vinata
260030001,Vinatería
260030001,Yocojigua
260030001,Yoricarichic
260030001,El Zapote
260030001,Satajaqui
260030001,General Francisco Villa División del Norte
260030001,Tobari
260030001,El Taray
260030001,El Maquipito
260030001,Gocopiro
260030001,El Mirasol
260030001,Paparique
260030001,Las Tablas
260030001,La Majada
260030001,Potrerillos
260030001,El Guasimal
260030001,El Garabato (Los Dos Hermanos)
260030001,El Caracol
260030001,La Ladrillera
260030001,La Uvalama
260030001,El Tezal
260030001,Los Bustillos
260030001,El Palomar (Cañada)
260030001,Guayparín (Guayparime)
260030001,El Remudadero
260030001,El Recodo
260030001,Tecoripa
260030001,Aquinavo
260030001,Cuchuhueri
260030001,La Ventana
260030001,Juchica
260030001,La Aceituna
260030001,Tetacruz
260030001,Los Estrados
260030001,El Coso
260030001,La Cieneguilla
260030001,Cuchujaqui
260030001,La Palma
260030001,La Presa
260030001,Las Cabras
260030001,Las Viruelas
260030001,Las Lajitas
260030001,Paredón
260030001,La Colorada
260030001,Rancho Viejo
260030001,La Iguana (La Iguana Norte)
260030001,Francisco R. Serrano
260030001,21 de Marzo
260030001,Bellavista
260030001,Belduque
260030001,Noria del Jacal
260030001,San Francisco
260030001,Anáhuac
260030001,La Providencia
260030001,Cuchuhuari
260030001,El Potrero
260030001,La Huerta de los Ricos
260030001,Guadalupe
260030001,San Antonio
260030001,El Salitral
260030001,La Cuchilla
260030001,Los Arenales
260030001,San Antonio de los González
260030001,Compostela de las Amapas
260030001,El Retiro
260030001,San José
