IDDEENTIDAD,ID,DESCRIPCION
26,260010001,Aconchi
26,260020001,Agua Prieta
26,260030001,Álamos
26,260040001,Altar
26,260050001,Arivechi
26,260060001,Arizpe
26,260070001,Atil
26,260080001,Bacadéhuachi
26,260090001,Bacanora
26,260100001,Bacerac
26,260110001,Bacoachi
26,260120001,Bácum
26,260130001,Banámichi
26,260140001,Baviácora
26,260150001,Bavispe
26,260160001,Benjamín Hill
26,260170001,Caborca
26,260180001,Cajeme
26,260190001,Cananea
26,260200001,Carbó
26,260210001,La Colorada
26,260220001,Cucurpe
26,260230001,Cumpas
26,260240001,Divisaderos
26,260250001,Empalme
26,260260001,Etchojoa
26,260270001,Fronteras
26,260280001,Granados
26,260290001,Guaymas
26,260300001,Hermosillo
26,260310001,Huachinera
26,260320001,Huásabas
26,260330001,Huatabampo
26,260340001,Huépac
26,260350001,Imuris
26,260360001,Magdalena
26,260370001,Mazatán
26,260380001,Moctezuma
26,260390001,Naco
26,260400001,Nácori Chico
26,260410001,Nacozari de García
26,260420001,Navojoa
26,260430001,Nogales
26,260440001,Ónavas
26,260450001,Opodepe
26,260460001,Oquitoa
26,260470001,Pitiquito
26,260480001,Puerto Peñasco
26,260490001,Quiriego
26,260500001,Rayón
26,260510001,Rosario
26,260520001,Sahuaripa
26,260530001,San Felipe de Jesús
26,260540001,San Javier
26,260550001,San Luis Río Colorado
26,260560001,San Miguel de Horcasitas
26,260570001,San Pedro de la Cueva
26,260580001,Santa Ana
26,260590001,Santa Cruz
26,260600001,Sáric
26,260610001,Soyopa
26,260620001,Suaqui Grande
26,260630001,Tepache
26,260640001,Trincheras
26,260650001,Tubutama
26,260660001,Ures
26,260670001,Villa Hidalgo
26,260680001,Villa Pesqueira
26,260690001,Yécora
26,260700001,General Plutarco Elías Calles
26,260710001,Benito Juárez
26,260720001,San Ignacio Río Muerto
