IDDEMUNICIPIO,DESCRIPCION
270010001,Balancán
270010001,Agricultores del Norte 1ra. Sección
270010001,El Águila
270010001,Apatzingán
270010001,El Arenal
270010001,Arroyo el Triunfo 1ra. Sección
270010001,Bajo Netzahualcoyotl
270010001,El Barí
270010001,Buenavista Veintitrés
270010001,Capitán Felipe Castellanos Díaz (San Pedro)
270010001,El Capulín
270010001,Carlos A. Madrazo Becerra
270010001,Los Cenotes
270010001,Centro Usumacinta
270010001,Quetzalcóatl (Cuatro Poblados)
270010001,La Cuchilla
270010001,Cuyos de Caoba
270010001,Chancabal
270010001,Tarimas (Emiliano Zapata)
270010001,Guajimalpa 1ra. Sección
270010001,La Hulería
270010001,Isla Missicab
270010001,Jolochero
270010001,Josefa Ortíz de Domínguez
270010001,Ojo de Agua
270010001,Leona Vicario
270010001,Leona Vicario
270010001,Macayal
270010001,Mactún
270010001,Las Mercedes
270010001,Missicab
270010001,Multé
270010001,El Naranjito
270010001,Netzahualcóyotl (Santa Ana)
270010001,Nicolás Bravo (San Nicolás)
270010001,El Pato
270010001,Pejelagarto 1ra. Sección
270010001,Paraíso (El Tinto)
270010001,El Pípila
270010001,Missicab (La Pita)
270010001,Adolfo López Mateos
270010001,El Ramonal
270010001,La Revancha
270010001,San Elpidio (Banco de Grava)
270010001,San José del Río
270010001,San Juan
270010001,Miguel Hidalgo Sacaolas
270010001,Santa Cruz
270010001,Santa Rosa
270010001,El Cibalito
270010001,Soledad
270010001,Suniná
270010001,Las Tablas
270010001,Tierra Blanca
270010001,El Triunfo
270010001,Uquina y la Loma
270010001,Vicente Guerrero
270010001,Jahuactal
270010001,Constitución
270010001,El Mical
270010001,El Pozo (El Pocito)
270010001,Francisco I. Madero 1ra. Sección
270010001,Otatal
270010001,Zacatecas
270010001,San Joaquín 1ra. Sección
270010001,Santa Cruz
270010001,Laguna Colorada
270010001,Las Tarimas
270010001,General Luis Felipe Domínguez Suárez
270010001,Pajonal
270010001,El Pichi
270010001,El Faustino
270010001,La Esperanza
270010001,Licenciado Gustavo Díaz Ordaz
270010001,El Luinar
270010001,Acatempan
270010001,Acatempan
270010001,El Achotal
270010001,Presidente Adolfo López Mateos
270010001,Agua Bendita
270010001,El Dorado
270010001,El Nopalito
270010001,Altamira
270010001,Arroyo el Triunfo 2da. Sección
270010001,El Bajío
270010001,El Belén
270010001,El Bilín
270010001,Buena Vista
270010001,Buenavista
270010001,Buenavista
270010001,Las Campanas
270010001,El Caoba
270010001,El Deseo
270010001,El Carmen
270010001,Catec
270010001,El Clavo
270010001,Los Colorines
270010001,El Cristo
270010001,Nuevo Xochimilco
270010001,Cuatro Caminos
270010001,La Cueva
270010001,Las Cumbres
270010001,El Cupimo
270010001,El Manantial
270010001,Chacabita
270010001,El Chamizal
270010001,El Chinal
270010001,Las Delicias
270010001,El Desengaño
270010001,El Diamante
270010001,El Progreso
270010001,Dos Hermanos
270010001,La Escondida
270010001,El Paraíso
270010001,El Garrafón
270010001,La Gloria
270010001,La Gloria
270010001,Los Gómez
270010001,Santa Elena
270010001,La Herradura
270010001,Nueva Esperanza
270010001,La Huasteca
270010001,Jalisco
270010001,El Jobal
270010001,El Limón
270010001,Vicente Lombardo Toledano
270010001,Lontanasa
270010001,Santa Cruz
270010001,La Lucha
270010001,Corpus Christi
270010001,El Llano
270010001,Mata de la Hoja
270010001,Miguel Hidalgo y Costilla
270010001,Las Minitas
270010001,Monte Líbano
270010001,El Nido
270010001,San Jorge
270010001,La Nueva Lucha
270010001,Nueva Orma
270010001,Campo Alto
270010001,Nuevo Paraíso
270010001,Ojo de Agua
270010001,Las Palmas
270010001,Paraíso
270010001,El Paraíso
270010001,Los Parra
270010001,La Gironda
270010001,Pejelagarto 2da. Sección
270010001,El Pimiental
270010001,San José
270010001,El Porvenir
270010001,El Porvenir
270010001,La Poza (La Hulería)
270010001,El Pocito
270010001,Copropiedad Santa Rosenda (Chupacabras)
270010001,Reforma (Provincia)
270010001,Los Robles
270010001,Mi Ranchito
270010001,El Rosarito
270010001,María de Jesús
270010001,El Sacrificio
270010001,La Providencia (Parada San Antonio)
270010001,La Purísima
270010001,San Antonio
270010001,Caobal
270010001,La Victoria
270010001,San Francisco
270010001,El Cedro
270010001,San Jorge
270010001,San José de Palmiras
270010001,San Juanito
270010001,San Lazarito
270010001,San Luis
270010001,San Manuel
270010001,La Gloria
270010001,El Vergel (Los Trescientos)
270010001,Santa Ana
270010001,Santa Celia
270010001,San Fernando
270010001,El Chimón
270010001,Santa Isabel
270010001,Santa Lucía
270010001,Santa Rosa
270010001,Santa Teresa
270010001,Santo Domingo
270010001,La Silvita
270010001,Los Naranjos (Sofocante)
270010001,Sonora
270010001,El Tintal Grande
270010001,Los Tres Hermanos
270010001,Vicente Guerrero Sección Cuba
270010001,La Victoria
270010001,El Zapotal
270010001,El Pitayo
270010001,San Felipe
270010001,Epimenio Espinoza
270010001,No Te Metas
270010001,Anexo Balancán
270010001,Frente Único
270010001,Cancún
270010001,El Faisán
270010001,Isla Conja
270010001,Mi Gran Aventura
270010001,San Gregorio
270010001,Santa Martha
270010001,Plan de Guadalupe
270010001,El Pajaral
270010001,El Cedro
270010001,La Mina
270010001,El Dollar
270010001,San Andrés
270010001,Guajimalpa 2da. Sección
270010001,José Narciso Rovirosa
270010001,El Tacistal
270010001,El Suspiro
270010001,La Lucha
270010001,La Papaya (Manuel Rosado)
270010001,Tequisquiapan
270010001,San Marcos
270010001,San Judas Tadeo
270010001,Santa Adela
270010001,Plan de Guadalupe Sección Central
270010001,La Gloria
270010001,Potrero del Llano
270010001,El Doble G
270010001,El Palomar
270010001,Palmira
270010001,El Repudio
270010001,Los Venados
270010001,El Naranjito
270010001,Agua Negra
270010001,El Porvenir
270010001,La Florida
270010001,Santa Rosa
270010001,El Paraíso
270010001,San Felipe
270010001,El Caporal
270010001,Piedra Santa
270010001,San Francisco
270010001,El Rosario
270010001,Santa Isabel
270010001,Salvador
270010001,Cuatro Hermanos
270010001,Mag
270010001,Chalcamaloya
270010001,Francisco Villa
270010001,El Tamarindo
270010001,La Torre
270010001,La Veleta
270010001,El Colmenar
270010001,El Cortador
270010001,Chajol
270010001,El Limoncito
270010001,El Chaparral
270010001,El Tiradero (El Ramón)
270010001,Texas (Vidamar)
270010001,San Cosme
270010001,La Providencia
270010001,San Martín
270010001,San Miguel
270010001,Santa Catalina
270010001,Cibal de la Gloria
270010001,Asunción
270010001,Último Esfuerzo
270010001,Zaragoza
270010001,Santa María
270010001,Santa Cruz
270010001,Las Maravillas (Bonanza)
270010001,El Pucté
270010001,El Carmen
270010001,Santa Clara
270010001,El Consuelo
270010001,Isla la Botica
270010001,Cementerio de los Mayas (El Caballero)
270010001,Isla el Chipre
270010001,San Antonio
270010001,Acalán
270010001,El Descanso
270010001,Cascadas de Reforma
270010001,Palomas
270010001,El Mango
270010001,San Nicolás
270010001,Buena Vista
270010001,El Herradero
270010001,San Lázaro
270010001,La Nueva Lucha
270010001,San Pedro
270010001,Ingeniero Mario Calcáneo Sánchez
270010001,Licenciado Gustavo Díaz Ordaz 2da. Sección
270010001,San Miguel
270010001,Las Cabañas
270010001,Santa Elena
270010001,El Recuerdo
270010001,Catalina (Altamira)
270010001,La Providencia
270010001,San Juan (Guerrero)
270010001,Los Mangos
270010001,La Poza de la Tortuga
270010001,El Foco
270010001,Isla Santa Ana
270010001,San Lazarito
270010001,Santo Domingo
270010001,El Silencio
270010001,La Lupita
270010001,Molino de Arroz
270010001,El Sacrificio
270010001,La Sultana Dos (Caba Hermanos)
270010001,Los Triángulos
270010001,Santa María Luisa
270010001,San Carlos
270010001,Canta Rana
270010001,La Guadalupe
270010001,Santa Rosalía
270010001,La Camaronera
270010001,Santa Rosa
270010001,El Achotal
270010001,El Aguacate
270010001,3 Potrillos
270010001,Rancho Alegre
