IDDEMUNICIPIO,DESCRIPCION
280010001,Abasolo
280010001,Abasolo (Abasolito)
280010001,Nuevo Morelos (Adolfo López Mateos)
280010001,El Arrendador
280010001,Buenos Aires
280010001,Las Canteras
280010001,La Capilla
280010001,Santa Fe de la Ceja
280010001,La Colmena
280010001,Las Comas
280010001,La Condeña
280010001,El Contadero
280010001,La Huastequilla (El Charrasquillal)
280010001,La Hachita
280010001,El Ebanito
280010001,Guía del Porvenir
280010001,El Nogalito Uno
280010001,Panales
280010001,La Amistad (El Progreso)
280010001,El Repelo
280010001,Santa Cruz de Miranda
280010001,Santa María
280010001,El Huapango (Los Olivos)
280010001,El Saucillo
280010001,Las Comas (Los Tajos)
280010001,Santa Teresa (Tres Marías)
280010001,La Unión
280010001,Valle del Venado (Rodolfo Hernández Rangel)
280010001,El Tepeyac
280010001,El Colorín (Tierras Coloradas)
280010001,San Rafael
280010001,Ojo de Agua
280010001,San José
280010001,El Venadito
280010001,Los Arturos (La Gota)
280010001,El Chapotal
280010001,Los García
280010001,El Ebanito
280010001,El Huajuco (El Círculo)
280010001,San Pedro (El Cabaceño)
280010001,El Caballo Blanco
280010001,Ojo Blanco
280010001,Adolfo López Mateos (Las Cabras)
280010001,Nicolás Bravo (Palo Alto)
280010001,El Ebanito
280010001,El Tío Sam
280010001,Los Ángeles
280010001,Delicias
280010001,Guadalupe Victoria
280010001,El Herradero (La Gota)
280010001,El Doral
280010001,Los García (Humberto García)
280010001,Las Coloradas
280010001,Lindavista
280010001,San José de la Paz
280010001,El Amigo
280010001,Tres Horas
280010001,Los Güeros (Los Gemelos)
280010001,Ninguno [Secretaría de Fomento Agropecuario]
280010001,Vicente Guerrero [Centro Acuícola]
280010001,San Manuel
280010001,Santa Eva
280010001,El Naranjal
280010001,Las Acacias
280010001,El Rosario
280010001,El Rincón
280010001,El Nogalito Dos
280010001,Emilio López Zamora (José Gudiño Ramírez)
280010001,Emilio López Zamora (El General)
280010001,Los Gómez
280010001,El Mitote
280010001,Los Coyotes
280010001,La Rama
280010001,Los Lerma
280010001,Los Charcos [Desarrollo Piscícola]
280010001,Ninguno [Avipecuaria Avanzada]
280010001,General Raúl Madero (Los Bermúdez)
280010001,Las Negras
280010001,Adolfo López Mateos (José Dolores Guerrero)
280010001,Adolfo López Mateos (José Elique Valdez O.)
280010001,La Pasadita
280010001,Lupita
280010001,Santa Elisa
280010001,La Gota
280010001,La Esperanza (José J. López T.)
280010001,La Luz
280010001,Ninguno [ACUMEX]
280010001,Unidos Venceremos (Carlos Flores)
280010001,Doña Mary
280010001,Las Cuatas
280010001,Unidos Venceremos (David Lara)
280010001,Unidos Venceremos (Félix Martínez Reyes)
280010001,Tres Caminos
280010001,Santa Priscila
280010001,San Antonio
280010001,La Libertad (Juan Ortiz V.)
280010001,Los 3 Mezquites
280010001,Melchor Ocampo (Pedro Orozco)
280010001,Melchor Ocampo (Refugio Martínez)
280010001,Felipe Berriozábal (Felipe Puga Yáñez)
280010001,La Casita
280010001,El Cuatro
280010001,La Libertad (Rubén Cárdenas García)
280010001,El Paraíso
280010001,Sociedad Valle del Tigre
280010001,Valle del Tigre (El Paraíso)
280010001,Milpa del Valle (Eladio Elizondo)
280010001,La Huastequilla
280010001,Los Morales
280010001,José Garza
280010001,Gatos Güeros (La Pasta)
280010001,Salvador Garza Quintana
280010001,Corral Blanco
280010001,La Abundancia
280010001,La Libertad (Epifania García)
280010001,Alfredo V. Bonfil Uno (Martín López Delgado)
280010001,Alfredo V. Bonfil Uno (José Olivares C.)
280010001,Jesús Ramírez
280010001,Modelo
280010001,La Esperanza (Ingeniero David Lara)
280010001,Dos Hermanos
280010001,El Tío Sam
280010001,General Gildardo Magaña
280010001,Parras de la Fuente
280010001,La Vega
280010001,La Huastequita (Vicente Sánchez)
