IDDEENTIDAD,ID,DESCRIPCION
28,280010001,Abasolo
28,280020001,Aldama
28,280030001,Altamira
28,280040001,Antiguo Morelos
28,280050001,Burgos
28,280060001,Bustamante
28,280070001,Camargo
28,280080001,Casas
28,280090001,Ciudad Madero
28,280100001,Cruillas
28,280110001,Gómez Farías
28,280120001,González
28,280130001,Güémez
28,280140001,Guerrero
28,280150001,Gustavo Díaz Ordaz
28,280160001,Hidalgo
28,280170001,Jaumave
28,280180001,Jiménez
28,280190001,Llera
28,280200001,Mainero
28,280210001,El Mante
28,280220001,Matamoros
28,280230001,Méndez
28,280240001,Mier
28,280250001,Miguel Alemán
28,280260001,Miquihuana
28,280270001,Nuevo Laredo
28,280280001,Nuevo Morelos
28,280290001,Ocampo
28,280300001,Padilla
28,280310001,Palmillas
28,280320001,Reynosa
28,280330001,Río Bravo
28,280340001,San Carlos
28,280350001,San Fernando
28,280360001,San Nicolás
28,280370001,Soto la Marina
28,280380001,Tampico
28,280390001,Tula
28,280400001,Valle Hermoso
28,280410001,Victoria
28,280420001,Villagrán
28,280430001,Xicoténcatl
