IDDEMUNICIPIO,DESCRIPCION
290010001,Amaxac de Guerrero
290010001,San Damián Tlacocalpan
290010001,La Preciosa [Rancho]
290010001,Amintla
290020001,Apetatitlán
290020001,Belén Atzitzimititlán
290020001,San Matías Tepetomatitlán
290020001,Tecolotla
290020001,Tlatempan
290020001,La Loma [Colonia]
290030001,Atlangatepec
290030001,Segunda Fracción de Olivares
290030001,Ex-Hacienda San José Atlanga
290030001,Colonia Agrícola San Luis
290030001,San Pedro Ecatepec
290030001,Santa Clara Ozumba
290030001,Santa María Tepetzala
290030001,San José de Santa Rosa Zacapexco
290030001,Ex-Hacienda San Antonio Tepetzala
290030001,Colonia Benito Juárez (Tezoyo)
290030001,Tlalmimilolpan
290030001,La Trasquila
290030001,Santiago Villalta
290030001,Vista Hermosa
290030001,Ex-Hacienda de Zocac
290030001,Zumpango
290030001,San José de Santa Rosa
290030001,El Paraíso
290030001,La Cañada
290030001,Cerro de las Flores
290030001,La Trasquila [Ex-Hacienda]
290030001,El Ocotal
290030001,Santa Elena
290030001,Tenopala [Rancho]
290030001,Villa de las Flores
290030001,Colonia Loma Bonita
290030001,Jericó [Rancho]
290030001,Guadiana [Rancho]
290030001,Xuxtepec
290030001,La Flor [Rancho]
290030001,El Fuerte Apache [Centro Turístico]
290030001,Cuarta Fracción de Olivares
290030001,La Cuchilla (El Alcanfor)
290030001,Fracción San Pedro Ecatepec
290030001,José Rodríguez
290030001,Loma Bonita Zacapexco
290030001,Sabino Grande (El Carmen)
290030001,Mauro Vázquez
290030001,Villa Quinta Olivares [Centro Vacacional]
290030001,Xalnene [Rancho]
290030001,La Herradura [Rancho]
290030001,San Felipe [Rancho]
290030001,Los Patos [Rancho]
290030001,Zacapexco (La Soledad)
290030001,Tepitzilapa
290030001,Tercera Fracción de Olivares
290030001,La Troje
290030001,La Casa Roja
290030001,La Loma (El Cerrito)
290030001,La Cañada [Rancho]
290030001,El Catorce
290030001,Francisco Espinoza Elizalde
290030001,San Isidro la Gasca
290030001,El Huérfano
290030001,San Marcos
290030001,El Ocote
290030001,El Recuerdo [Rancho]
290030001,Ranchito del Monte
290030001,El Encino [Rancho]
290030001,El Ocote [Rancho]
290030001,El Potrero [Rancho]
290030001,La Palma
290030001,Las Barrancas [Rancho]
290030001,Las Tinajas [Rancho]
290030001,Los Capulines [Rancho]
290030001,Los Encinos [Rancho]
290030001,Los Nopalitos [Rancho]
290030001,San Francisco [Rancho]
290030001,Filemón Hernández
290030001,San Simón
290030001,Las Tinajas (La Tepozanera)
290030001,Vista Hermosa
290030001,Luis Echeverría [Establo Bovino]
290030001,San Felipe
290030001,Atlangatepec [Gasolinera]
290030001,El Alemán
290030001,Las Tórtolas
290030001,El Mirador
290030001,La Providencia
290030001,Samuel Orea (Rancho el Pato)
290030001,La Joya
290030001,San José
290030001,Unidad Habitacional I
290030001,Almeya
290030001,El Capricho
290030001,El Colibrí
290030001,El Herradero
290030001,Japoneza Retreat Nakamura (La Vaca Prieta)
290030001,Los Cuatro Hermanos [Rancho]
290030001,San Antonio Zacapexco (San Pedro Zacapexco)
290030001,El Cenzontle (Los Tres Pocillos)
290030001,Camino Real
290030001,Las Cabañas
290030001,Jesús García
290030001,Villa Esperanza [Rancho]
290030001,Alcatraces
290030001,Finca el Cristo
290030001,Los Arbolitos [Rancho]
290030001,Pazo Da Lyz E Do Sanci
290030001,Demetrio Flores
290030001,El Embarcadero
290030001,La Loma
290030001,Gregorio Herrera
290030001,Hortencia Palafox González
290030001,Las Caridades
290030001,San Isidro
290030001,Tepizil (San Pedro)
290030001,Cerro de la Cantera
290030001,Granja Avícola Cocotla
290030001,Santa Rosa [Rancho]
290030001,La Escobillera
290030001,La Huerta [Rancho]
290030001,Rancho de la Caridad
290030001,Santa Sophia [Rancho]
290040001,Atlzayanca
290040001,San Francisco Axopilco
290040001,San José Buenavista
290040001,Concepción Hidalgo
290040001,Felipe Carrillo Puerto
290040001,La Garita
290040001,Lázaro Cárdenas
290040001,Mesa Redonda
290040001,Miahuapan el Bajo
290040001,Nexnopala
290040001,Ocotla [Rancho]
290040001,La Rincona
290040001,San Antonio Tecopilco
290040001,San José Xalasco
290040001,San Juan Ocotitla
290040001,Santa Cruz Pocitos
290040001,Santa María las Cuevas
290040001,Xaltitla
290040001,Colonia Delicias
290040001,San José Pilancón
290040001,Rancho Blanco
290040001,Guadalupe [Rancho]
290040001,El Mirador
290040001,Ranchería de Pocitos
290040001,Santa Martha [Rancho]
290040001,Carreta [Rancho]
290040001,Xarero Xaltitla
290040001,Mazehualpa
290040001,Loma de Junguito
290040001,San Miguel Franco [Ranchería]
290040001,Miahuapan el Alto
290040001,Colonia Nazareth
290040001,San José Miravalle
290040001,La Higuera
290040001,San Antonio Zoapila
290040001,Santa Viviana [Rancho]
290040001,El Salto
290040001,Santa Margarita [Rancho]
290040001,Amparito
290040001,Los Ocalitos
290040001,San José el Infinito
290040001,Corazón de Jesús [Rancho]
290040001,Aurelio Aguilar
290040001,José Fernández
290040001,El Piñonal (Guadalupe el Piñonal)
290040001,Rancho de Jesús
290040001,Guadalupe [Rancho]
290040001,San Jerónimo Zacualpan
290040001,Techachalco
290040001,Huerta Lizet
290040001,San Miguel
290040001,Santo Domingo
290040001,Marina Paredes
290040001,El Desmonte
290040001,La Lobera
290040001,Edén [Rancho]
290040001,El Rosario [Rancho]
290040001,Los Teteles [Rancho]
290040001,El Ranchito
290050001,Ciudad de Apizaco
290050001,Cerrito de Guadalupe
290050001,Guadalupe Texcalac
290050001,Jagüey Prieto
290050001,José María Morelos
290050001,Colonia San Isidro
290050001,San Luis Apizaquito
290050001,Santa Anita Huiloac
290050001,Santa María Texcalac
290050001,Actipan
290050001,Ejido de Santa Úrsula Zimatepec
290050001,Ejido la Gloria [Rancho]
290050001,Ejido de San Dionisio
290050001,Ejido de Xaltocan
290050001,Los Gemelos [Rancho]
290050001,San José Tetel (La Quebradora)
290050001,Cuarta Manzana
290050001,Horcasitas
290050001,Tlalcoyotla
290050001,Tochac
290050001,Unidad Deportiva
290050001,Fraccionamiento Jardines de San Francisco
290050001,Ejido de Santa Úrsula
290050001,Primera Sección
290050001,La Bomba
290050001,San Patricio [Rancho]
290050001,Camino Real [Fraccionamiento]
290050001,Carvel II
290060001,Heroica Ciudad de Calpulalpan
290060001,Amantla
290060001,Coecillos
290060001,El Carmen
290060001,Mazapa
290060001,San Bartolomé del Monte
290060001,San Cristóbal Zacacalco
290060001,San Felipe Sultepec
290060001,San Isidro
290060001,Los Tres Hermanos
290060001,San Marcos Guaquilpan
290060001,San Mateo Aticpac
290060001,Santa Catalina
290060001,Santiago Cuaula
290060001,La Soledad
290060001,Tlazalán
290060001,Zoquiapan
290060001,NCPE Gustavo Díaz Ordaz
290060001,Los Palacios
290060001,San Benigno [Rancho]
290060001,San Juan Temazcales
290060001,Santa Cruz
290060001,Santa Teresa
290060001,La Venta
290060001,Los Capulines
290060001,Los Flores
290060001,La Tinaja
290060001,San José
290060001,El Tejocote
290060001,Los Pinos
290060001,San José (Los Hornos)
290060001,Hermanos García
290060001,Monte de San Agustín
290060001,Cruz Salamanca
290060001,El Ciruelo
290060001,El Tejocote
290060001,Los Girasoles
290060001,Hermenegildo [Rancho]
290060001,Las Dalias
290060001,Santa Félix
290060001,Los Díaz
290060001,Finca Guadalupe Velázquez
290060001,Los Mogotes
290060001,La Quebradora
290060001,Pozo San Vicente [Restaurante]
290060001,David Sánchez
290060001,Los Mejía
290060001,El Cacalote
290060001,La Palma
290060001,Las Auras
290060001,El Paraíso
290060001,Cetlalpa
290060001,El Rosario
290060001,La Blanca
290060001,Los Ángeles
290060001,El Padrino
290060001,El Zorrillo
290060001,Puente del Ocomique
290060001,Los Montalvo
290060001,Transportes Alonzo
290060001,El Carmen [Rancho]
290060001,José Gregorio García Hernández
290060001,Simón Mercader
290060001,Marcelino Cruz
290060001,La Morena
290060001,Loma Bonita
290060001,Raymundo Álvarez Guerrero
290060001,Rancho Bonito
290060001,Rancho del Venado
290060001,San Isidro [Rancho]
290060001,El Mirador
290060001,El Tejocote
290060001,Los Cerritos
290060001,Dos Hermanos [Rancho]
290060001,Los Pinos
290060001,San Miguel
290060001,San Vicente
290060001,La Loma
290060001,El Sabinal
290060001,Vicente Torres
290060001,San Antonio (San Pedro)
290060001,Barranca del Tizar
290060001,La Ladera
290060001,Loma de San Agustín
290060001,Guadalupe Hernández
290060001,La Ocotera [Rancho]
290060001,El Ex-Convento de la Soledad (San Francisco) [Rancho]
290060001,Ernesto Alonso
290060001,Fernando Arroyo
290060001,San Rodrigo
290060001,José García
290060001,José García Sánchez
