IDDEENTIDAD,ID,DESCRIPCION
29,290010001,Amaxac de Guerrero
29,290020001,Apetatitlán de Antonio Carvajal
29,290030001,Atlangatepec
29,290040001,Atltzayanca
29,290050001,Apizaco
29,290060001,Calpulalpan
29,290070001,El Carmen Tequexquitla
29,290080001,Cuapiaxtla
29,290090001,Cuaxomulco
29,290100001,Chiautempan
29,290110001,Muñoz de Domingo Arenas
29,290120001,Españita
29,290130001,Huamantla
29,290140001,Hueyotlipan
29,290150001,Ixtacuixtla de Mariano Matamoros
29,290160001,Ixtenco
29,290170001,Mazatecochco de José María Morelos
29,290180001,Contla de Juan Cuamatzi
29,290190001,Tepetitla de Lardizábal
29,290200001,Sanctórum de Lázaro Cárdenas
29,290210001,Nanacamilpa de Mariano Arista
29,290220001,Acuamanala de Miguel Hidalgo
29,290230001,Natívitas
29,290240001,Panotla
29,290250001,San Pablo del Monte
29,290260001,Santa Cruz Tlaxcala
29,290270001,Tenancingo
29,290280001,Teolocholco
29,290290001,Tepeyanco
29,290300001,Terrenate
29,290310001,Tetla de la Solidaridad
29,290320001,Tetlatlahuca
29,290330001,Tlaxcala
29,290340001,Tlaxco
29,290350001,Tocatlán
29,290360001,Totolac
29,290370001,Ziltlaltépec de Trinidad Sánchez Santos
29,290380001,Tzompantepec
29,290390001,Xaloztoc
29,290400001,Xaltocan
29,290410001,Papalotla de Xicohténcatl
29,290420001,Xicohtzinco
29,290430001,Yauhquemehcan
29,290440001,Zacatelco
29,290450001,Benito Juárez
29,290460001,Emiliano Zapata
29,290470001,Lázaro Cárdenas
29,290480001,La Magdalena Tlaltelulco
29,290490001,San Damián Texóloc
29,290500001,San Francisco Tetlanohcan
29,290510001,San Jerónimo Zacualpan
29,290520001,San José Teacalco
29,290530001,San Juan Huactzinco
29,290540001,San Lorenzo Axocomanitla
29,290550001,San Lucas Tecopilco
29,290560001,Santa Ana Nopalucan
29,290570001,Santa Apolonia Teacalco
29,290580001,Santa Catarina Ayometla
29,290590001,Santa Cruz Quilehtla
29,290600001,Santa Isabel Xiloxoxtla
