IDDEMUNICIPIO,DESCRIPCION
30010001,Ciudad Constitución
30010001,Puerto Adolfo López Mateos
30010001,Agua Escondida
30010001,El Aguajito Uno
30010001,Andachires
30010001,Puerto Magdalena
30010001,Batequitos
30010001,Benito Juárez
30010001,Buenos Aires
30010001,Cabo San Lázaro
30010001,Cadejé
30010001,La Calabaza
30010001,Calejú
30010001,Las Barrancas
30010001,El Canelo
30010001,El Cantil
30010001,Carambuche
30010001,Coahuila Lote 21
30010001,La Escondida
30010001,Jalisco Lote C6-K
30010001,Francisco Villa
30010001,La Frutilla Lote 2
30010001,La Higuerita
30010001,Ciudad Insurgentes
30010001,Jesús María
30010001,La Lomboyosa
30010001,Magisterial Lote 611-2
30010001,María Auxiliadora
30010001,La Matancita
30010001,El Ojo de Agua
30010001,El Ojo de Agua
30010001,El Duguajal
30010001,Palo Bola
30010001,Los Paredones
30010001,Paso Hondo
30010001,Llano los Patitos Lote 3
30010001,La Petaca
30010001,Los Pilares
30010001,El Porvenir
30010001,La Poza Grande
30010001,Puente de Madera
30010001,Puerto Alcatraz
30010001,Puerto Cortés
30010001,La Purísima
30010001,San Dionisio Quepo
30010001,Rancho Nuevo
30010001,Rancho Nuevo
30010001,Ramaditas
30010001,San Agustín
30010001,San Andrés
30010001,San Bartolo
30010001,Puerto San Carlos
30010001,San Eulogio
30010001,San Isidro
30010001,San José de Comondú
30010001,San José de Guajademí
30010001,San José de la Noria
30010001,San Martín
30010001,San Mateo Uno
30010001,San Miguel de Comondú
30010001,San Ramón
30010001,Santa Rosa
30010001,Santo Domingo
30010001,Santo Tomás
30010001,Siempre Viva
30010001,Teotlán
30010001,Las Tinajitas
30010001,El Tulillo
30010001,Villa Hidalgo
30010001,Villa Morelos
30010001,La Vinatería
30010001,Villa Ignacio Zaragoza
30010001,Ley Federal de Aguas Número Uno
30010001,Ley Federal de Aguas Número Dos
30010001,Ley Federal de Aguas Número Tres
30010001,Ley Federal de Aguas Número Cuatro
30010001,Ley Federal de Aguas Número Cinco
30010001,Josefa Ortiz de Domínguez
30010001,Tepentú
30010001,Los Achemes
30010001,El Aguajito
30010001,La Pila
30010001,El Batequi
30010001,Las Bebelamas
30010001,Boca de San Carlos
30010001,Calagua
30010001,Puerto Cancún
30010001,La Casita
30010001,Los Cerritos
30010001,El Chamizal Lote 14
30010001,El Chicural
30010001,El Chipí
30010001,El Codey
30010001,El Conejo
30010001,El Corralito
30010001,El Coyote
30010001,El Crucerito
30010001,La Cruz
30010001,Cuedas
30010001,El Frijol
30010001,El Rincón de las Garzas
30010001,El Gramal
30010001,El Higuajil
30010001,La Huerta
30010001,Las Jarillas
30010001,Buenos Aires
30010001,Laredo
30010001,Los Mezquitones
30010001,Las Norias
30010001,San Juan de la Cruz
30010001,El Pabellón
30010001,Los Pájaros
30010001,Palo Fierro
30010001,Los Palos Verdes
30010001,El Pato
30010001,La Picota
30010001,Las Pimientillas
30010001,La Pocita
30010001,El Portezuelo
30010001,La Poza del Gato
30010001,La Poza del León
30010001,La Poza Muerta
30010001,La Ramadita
30010001,El Ranchito
30010001,El Refugio
30010001,El Saltito
30010001,San Antonio
30010001,San Bernardo
30010001,San Buto [Campo Pesquero]
30010001,San Cipriano
30010001,San Ignacio
30010001,San Juan
30010001,San Miguel de Velázquez
30010001,San Venancio
30010001,Santa Adelaida
30010001,Santa Isabel
30010001,Santa Teresa
30010001,El Saucito
30010001,El Saucito
30010001,El Sauzal
30010001,El Sauzalito
30010001,La Selva
30010001,El Tajo
30010001,El Tequesquite
30010001,La Tórtola
30010001,El Veladero
30010001,San Luis Gonzaga
30010001,San Vicente
30010001,El Aviadero
30010001,Las Higueritas
30010001,Valenzuela
30010001,El Molino
30010001,El Agua Libre
30010001,El Aguajito
30010001,Fernando de la Toba (Los Algarrobos)
30010001,El Carricito
30010001,Rancho Covarrubias
30010001,El 49
30010001,Los Cuatro Corrales
30010001,El Junco
30010001,Kilómetro 228
30010001,Álvarez Lote 8
30010001,Los Médanos
30010001,Las Delicias Lote 33
30010001,El Mezquitito
30010001,Emiliano Zapata Lote 20
30010001,El Ojo de Agua
30010001,Álvarez Lote 25
30010001,El Potrero
30010001,Los Tulares Lote 3
