IDDEMUNICIPIO,DESCRIPCION
300010001,Acajete
300010001,Barranquillas
300010001,Colexta
300010001,Cruz Verde
300010001,Dos Veredas
300010001,El Encinal
300010001,La Joya Chica
300010001,La Joya
300010001,Mazatepec
300010001,Mesa de la Yerba
300010001,El Mirador
300010001,Plan de Sedeño
300010001,Puentecillas
300010001,Rincón de la Joya
300010001,Vega de Pixquiac
300010001,El Zapotal
300010001,El Caño
300010001,Palo Blanco
300010001,Pueblo Viejo
300010001,Tierra Prieta
300010001,Acocota
300010001,Cuesta del Vaquero
300010001,El Encinal Dos
300010001,Parajillos
300010001,El Rincón de Sedeño
300010001,El Saucal
300010001,El Rodeo
300010001,Toxtlacoayilla
300010001,Pata Mole
300010001,La Ciénega del Venado
300010001,Alto Pixquiac
300010001,Loma del Muerto
300010001,Pipincal
300010001,Barranca Seca
300010001,El Paraíso
300010001,El Quemado
300010001,Chorro de la Mula
300010001,El Cucharillo
300010001,El Fortín
300010001,Coletxa
300010001,El Muñeco
300010001,El Capulín
300010001,La Posta
300010001,La Yerbabuena
300010001,Las Bayas
300010001,Paraíso las Flores (La Vaquita)
300010001,San Martín
300010001,El Valle
300010001,El Mirador (Rancho Ecológico)
300010001,La Herradura
300010001,El Oyamel
300010001,El Mirador Dos (Parte Baja)
300010001,Cinco de Mayo (Los Chávez)
300010001,Valle Alegre
300020001,Acatlán
300020001,Veinticuatro
300020001,Plan del Pino (Plan del Coyote)
300020001,Gustavo Salas
300020001,Pie del Cerro
300020001,La Gloria
300020001,El Arenal
300020001,Los Duraznos
300020001,Pájaro Verde
300030001,Acayucan
300030001,Michapan
300030001,Aguapinole (Cuapinole)
300030001,Cabañas
300030001,Campo de Águila
300030001,El Mangal
300030001,Cascajal del Río (Cascajalillo)
300030001,Colonia Hidalgo
300030001,Comején
300030001,Corral Nuevo
300030001,Dehesa
300030001,Esperanza Malota
300030001,Gran Bretaña
300030001,El Hato
300030001,Congregación Hidalgo
300030001,Ixhuapan
300030001,Ixtagapa
300030001,Michapan Paso Real
300030001,Monte Grande
300030001,Nuevo Poblado Vista Hermosa
300030001,Paraíso
300030001,Paso Limón
300030001,Quiamoloapan
300030001,San Ángel
300030001,Apaxta
300030001,San Juan de los Llanos
300030001,San Martín
300030001,San Miguel
300030001,Santa Rita Laurel
300030001,Tecuanapa
300030001,Tierra Colorada
300030001,Vista Hermosa
300030001,El Zapote
300030001,Alfredo Cuadra I. Piña
300030001,El Benemérito (El Cazador)
300030001,Cuatro Hermanos
300030001,Nuevos Órganos (El Mirador)
300030001,La Montaña
300030001,La Peña
300030001,Loma Bonita
300030001,Tres Cerros
300030001,La Primavera
300030001,Xalapa Calería
300030001,Finca Jalapa
300030001,Los Pasiegos (El Novillero)
300030001,San Octavio
300030001,San Luis
300030001,Pitalillo
300030001,San Judas Tadeo
300030001,El Apompo
300030001,Bonanza
300030001,Buenavista
300030001,El Cacao
300030001,El Canelo
300030001,El Capricho
300030001,Casa Blanca
300030001,Colonia Prados de Acayucan
300030001,El Dólar
300030001,Don Lucas
300030001,San Eleuterio
300030001,Emiliano Zapata
300030001,El Encanto
300030001,El Espejo
300030001,La Esperanza
300030001,Francisco Matey
300030001,El Fuerte
300030001,La Soledad
300030001,El Gran Chaparral
300030001,Las Hojitas
300030001,El Oriente
300030001,Jalapilla
300030001,Loma Blanca
300030001,Loma del Vidrio
300030001,Victoriano Prieto Blanco (Loma Victoria)
300030001,El Lucino
300030001,Los Manantiales (Los Limones)
300030001,Los Manguitos
300030001,El Mirador
300030001,El Novillero
300030001,El Nuevo Principio
300030001,Nuevo Quiamoloapan
300030001,Quinta Paraíso
300030001,Nuevo Juquila
300030001,El Agame (El Refugio)
300030001,El Retorno
300030001,Jesús Lira Cobos
300030001,San Bartolo
300030001,San Manuel
300030001,Laguna Seca
300030001,San Rafael
300030001,Santa Elena
300030001,La Gran Aurora
300030001,Santa Luisa (Corral Viejo)
300030001,Santa Martha
300030001,Santa Teresa
300030001,Santo Cristo
300030001,Gota de Oro
300030001,El Trébol
300030001,El Triángulo
300030001,San Judas Tadeo
300030001,La Unión
300030001,Las Vegas
300030001,Dos Hermanos (La Verónica)
300030001,El Yuale
300030001,El Zapotal
300030001,El Macayal
300030001,La Soledad (Cuestilama)
300030001,Encarnación Chan Pérez
300030001,El Quilate (San Juan)
300030001,Potomac
300030001,Elenita
300030001,El Rosario
300030001,Las Lajas (El Columpio)
300030001,La Divina Providencia
300030001,Nueva Lucha
300030001,San Martín
300030001,Juilapa
300030001,Ofelia Morales Culebro
300030001,La Laguna
300030001,San Luis [Balneario]
300030001,Alejandrino Joachín
300030001,Monte Fiel
300030001,Laguna de Cabezo
300030001,Marcelo Alemán Torres
300030001,Fermín Reyes Gómez
300030001,Manuel Cervantes Montero (Los Cañales)
300030001,El Centenario
300030001,Las Lagunas
300030001,La Curva
300030001,El Encinal
300030001,El Garsan
300030001,Los Molina
300030001,La Herradura
300030001,La Esmeralda
300030001,Getzemani
300030001,El Chico
300030001,La Gravera
300030001,Manuel de Jesús Prieto
300030001,Rosalía Martínez
300030001,Pánfilo Vidal (El Cerrito)
300030001,El Palmar
300030001,Santa Bárbara
300030001,Pedro Hernández Gutiérrez (Paso del Mango)
300030001,Sinaloa
300030001,Cristo Rey
300030001,Los Chaires
300030001,Colonia las Primaveras
300030001,Juan Pascual Sabalsa
300030001,El Diamante
300030001,El Manil
300030001,San Jorge
300030001,Los Tolentinos
300030001,Fredepo
300030001,El Lucino
300030001,El Botín
300030001,Santa Clara
300030001,El Chiapaneco
300030001,Los Erias (Arroyo Xalapa)
300030001,Los Cinco Hermanos
300030001,Pablo Hernández Ramírez
300030001,San Jerónimo
300030001,José Méndez Flores
300030001,Silvestre Nieto M.
300030001,Tres Hermanos
300030001,Las Acacias
300030001,Tres Encinos
300030001,Las Cruces (El Tiburón)
300030001,San Daniel
300030001,Arroyo de Caña (Ejido Acayucan)
300030001,Molino Quemado
300030001,Flor Flores
300030001,Solosúchil
300030001,La Sabana
300030001,El Chomate
300030001,El Retiro
300030001,El Gallo
300030001,El Chilango
300030001,El Salto
300030001,San Martín
300030001,La Guadalupana
300030001,Santa Cruz
300030001,El Mirador
300030001,El Paso de Tachicón
300030001,Finca los Pollos
300030001,El Maguey
300030001,El Paraíso
300030001,Tachicón
300030001,Santa Fe
300030001,Silvino Suriano Pérez
300030001,Tepeyac
300030001,Armando Gómez Vargas
300030001,Santa Clara (Arias)
300030001,Peñaloza
300030001,Los Cachorros
300030001,El Apompal
300030001,Secundino Guillén Cruz
300030001,Sergio Landa de los Ríos
300030001,Elpidio Meza Aguilando
300030001,Dos Arroyos
300030001,El Mirador
300030001,Silvia Cervantes Jiménez
300030001,San José
300030001,Sacrificio
300030001,Osuluapan
300030001,Galdino Morales Ruiz (Los Encinales)
300030001,Antonio Caballero Rodríguez
300030001,Flumencio Caballero Rodríguez
300030001,Primitivo Rivera Murillo
300030001,Aniceta Chareo Cruz
300030001,Atanacio Domínguez Pérez
300030001,El Naranjo
300030001,La Higuera
300030001,Gustavo Morgan
300030001,Nicolas Rivera Murillo
300030001,Fortunato Rivera Murillo
300030001,Agustín Reyes
300030001,Los Arias (El Zapote)
300030001,El Arroyito
