IDDEENTIDAD,ID,DESCRIPCION
30,300010001,Acajete
30,300020001,Acatlán
30,300030001,Acayucan
30,300040001,Actopan
30,300050001,Acula
30,300060001,Acultzingo
30,300070001,Camarón de Tejeda
30,300080001,Alpatláhuac
30,300090001,Alto Lucero de Gutiérrez Barrios
30,300100001,Altotonga
30,300110001,Alvarado
30,300120001,Amatitlán
30,300130001,Naranjos Amatlán
30,300140001,Amatlán de los Reyes
30,300150001,Angel R. Cabada
30,300160001,La Antigua
30,300170001,Apazapan
30,300180001,Aquila
30,300190001,Astacinga
30,300200001,Atlahuilco
30,300210001,Atoyac
30,300220001,Atzacan
30,300230001,Atzalan
30,300240001,Tlaltetela
30,300250001,Ayahualulco
30,300260001,Banderilla
30,300270001,Benito Juárez
30,300280001,Boca del Río
30,300290001,Calcahualco
30,300300001,Camerino Z. Mendoza
30,300310001,Carrillo Puerto
30,300320001,Catemaco
30,300330001,Cazones de Herrera
30,300340001,Cerro Azul
30,300350001,Citlaltépetl
30,300360001,Coacoatzintla
30,300370001,Coahuitlán
30,300380001,Coatepec
30,300390001,Coatzacoalcos
30,300400001,Coatzintla
30,300410001,Coetzala
30,300420001,Colipa
30,300430001,Comapa
30,300440001,Córdoba
30,300450001,Cosamaloapan de Carpio
30,300460001,Cosautlán de Carvajal
30,300470001,Coscomatepec
30,300480001,Cosoleacaque
30,300490001,Cotaxtla
30,300500001,Coxquihui
30,300510001,Coyutla
30,300520001,Cuichapa
30,300530001,Cuitláhuac
30,300540001,Chacaltianguis
30,300550001,Chalma
30,300560001,Chiconamel
30,300570001,Chiconquiaco
30,300580001,Chicontepec
30,300590001,Chinameca
30,300600001,Chinampa de Gorostiza
30,300610001,Las Choapas
30,300620001,Chocamán
30,300630001,Chontla
30,300640001,Chumatlán
30,300650001,Emiliano Zapata
30,300660001,Espinal
30,300670001,Filomeno Mata
30,300680001,Fortín
30,300690001,Gutiérrez Zamora
30,300700001,Hidalgotitlán
30,300710001,Huatusco
30,300720001,Huayacocotla
30,300730001,Hueyapan de Ocampo
30,300740001,Huiloapan de Cuauhtémoc
30,300750001,Ignacio de la Llave
30,300760001,Ilamatlán
30,300770001,Isla
30,300780001,Ixcatepec
30,300790001,Ixhuacán de los Reyes
30,300800001,Ixhuatlán del Café
30,300810001,Ixhuatlancillo
30,300820001,Ixhuatlán del Sureste
30,300830001,Ixhuatlán de Madero
30,300840001,Ixmatlahuacan
30,300850001,Ixtaczoquitlán
30,300860001,Jalacingo
30,300870001,Xalapa
30,300880001,Jalcomulco
30,300890001,Jáltipan
30,300900001,Jamapa
30,300910001,Jesús Carranza
30,300920001,Xico
30,300930001,Jilotepec
30,300940001,Juan Rodríguez Clara
30,300950001,Juchique de Ferrer
30,300960001,Landero y Coss
30,300970001,Lerdo de Tejada
30,300980001,Magdalena
30,300990001,Maltrata
30,301000001,Manlio Fabio Altamirano
30,301010001,Mariano Escobedo
30,301020001,Martínez de la Torre
30,301030001,Mecatlán
30,301040001,Mecayapan
30,301050001,Medellín de Bravo
30,301060001,Miahuatlán
30,301070001,Las Minas
30,301080001,Minatitlán
30,301090001,Misantla
30,301100001,Mixtla de Altamirano
30,301110001,Moloacán
30,301120001,Naolinco
30,301130001,Naranjal
30,301140001,Nautla
30,301150001,Nogales
30,301160001,Oluta
30,301170001,Omealca
30,301180001,Orizaba
30,301190001,Otatitlán
30,301200001,Oteapan
30,301210001,Ozuluama de Mascareñas
30,301220001,Pajapan
30,301230001,Pánuco
30,301240001,Papantla
30,301250001,Paso del Macho
30,301260001,Paso de Ovejas
30,301270001,La Perla
30,301280001,Perote
30,301290001,Platón Sánchez
30,301300001,Playa Vicente
30,301310001,Poza Rica de Hidalgo
30,301320001,Las Vigas de Ramírez
30,301330001,Pueblo Viejo
30,301340001,Puente Nacional
30,301350001,Rafael Delgado
30,301360001,Rafael Lucio
30,301370001,Los Reyes
30,301380001,Río Blanco
30,301390001,Saltabarranca
30,301400001,San Andrés Tenejapan
30,301410001,San Andrés Tuxtla
30,301420001,San Juan Evangelista
30,301430001,Santiago Tuxtla
30,301440001,Sayula de Alemán
30,301450001,Soconusco
30,301460001,Sochiapa
30,301470001,Soledad Atzompa
30,301480001,Soledad de Doblado
30,301490001,Soteapan
30,301500001,Tamalín
30,301510001,Tamiahua
30,301520001,Tampico Alto
30,301530001,Tancoco
30,301540001,Tantima
30,301550001,Tantoyuca
30,301560001,Tatatila
30,301570001,Castillo de Teayo
30,301580001,Tecolutla
30,301590001,Tehuipango
30,301600001,Álamo Temapache
30,301610001,Tempoal
30,301620001,Tenampa
30,301630001,Tenochtitlán
30,301640001,Teocelo
30,301650001,Tepatlaxco
30,301660001,Tepetlán
30,301670001,Tepetzintla
30,301680001,Tequila
30,301690001,José Azueta
30,301700001,Texcatepec
30,301710001,Texhuacán
30,301720001,Texistepec
30,301730001,Tezonapa
30,301740001,Tierra Blanca
30,301750001,Tihuatlán
30,301760001,Tlacojalpan
30,301770001,Tlacolulan
30,301780001,Tlacotalpan
30,301790001,Tlacotepec de Mejía
30,301800001,Tlachichilco
30,301810001,Tlalixcoyan
30,301820001,Tlalnelhuayocan
30,301830001,Tlapacoyan
30,301840001,Tlaquilpa
30,301850001,Tlilapan
30,301860001,Tomatlán
30,301870001,Tonayán
30,301880001,Totutla
30,301890001,Tuxpan
30,301900001,Tuxtilla
30,301910001,Ursulo Galván
30,301920001,Vega de Alatorre
30,301930001,Veracruz
30,301940001,Villa Aldama
30,301950001,Xoxocotla
30,301960001,Yanga
30,301970001,Yecuatla
30,301980001,Zacualpan
30,301990001,Zaragoza
30,302000001,Zentla
30,302010001,Zongolica
30,302020001,Zontecomatlán de López y Fuentes
30,302030001,Zozocolco de Hidalgo
30,302040001,Agua Dulce
30,302050001,El Higo
30,302060001,Nanchital de Lázaro Cárdenas del Río
30,302070001,Tres Valles
30,302080001,Carlos A. Carrillo
30,302090001,Tatahuicapan de Juárez
30,302100001,Uxpanapa
30,302110001,San Rafael
30,302120001,Santiago Sochiapan
