IDDEMUNICIPIO,DESCRIPCION
310010001,Abalá
310010001,Mucuyché
310010001,Sihunchén
310010001,Temozón
310010001,Uayalceh
310010001,Peba
310010001,Cacao
310010001,Onichén
310010001,Benito Juárez Uno
310010001,Benito Juárez Cuatro
310010001,San Isidro
310010001,San Pedro Ochil
310010001,San Juan Tehbacal
310010001,Víctor
310010001,Benito Juárez Dos
310010001,Emiliano Zapata
310010001,Santa Gabriela
310010001,Miguel Hidalgo Uno
310010001,Miguel Hidalgo Dos
310010001,Miguel Hidalgo Tres
310010001,Miguel Hidalgo Cuatro
310010001,Rubén Navarrete
310010001,San Luis
310010001,Xkalachuy
310010001,Benito Juárez Tres
310010001,Don Boni
310010001,Temozón 3 [Granja]
310010001,Uayalceh 1 [Granja]
310010001,Temozón 1 [Granja]
310010001,Inquietas Uno
310010001,Cabrera Sosa
310010001,Montecristo
310010001,Cacahuate [Rancho]
310010001,Palma Azul
310010001,Los Toritos
310010001,Bethel
310010001,Margaritas
310020001,Acanceh
310020001,Canicab
310020001,Cibceh
310020001,Petectunich
310020001,Sacchich
310020001,Tekik de Salazar Mendoza
310020001,Tepich Carrillo
310020001,Ticopó
310020001,Yabucú
310020001,Dzitiná
310020001,San Lorenzo Pelé
310020001,San José Uno
310020001,Los Barrera [Quinta]
310020001,Yum-Xul
310020001,Los Gavilanes
310020001,El Pedregal
310020001,El Pípila [Quinta]
310020001,San Antonio
310020001,Santa Cruz
310020001,San Emilio
310020001,San Felipe
310020001,Los Jalapeños
310020001,Acanceh
310020001,San Agustín Tres
310020001,Los Lirios
310020001,Salvador Alvarado
310020001,San Antonio
310020001,San Isidro
310020001,La Casa de la Cristiandad
310020001,San José Uitzá
310020001,Los Arturitos
310020001,El Buen Pastor
310020001,La Concepción
310020001,Los Dos Hermanos
310020001,Hulbeenkaax
310020001,La Guadalupana
310020001,Santa Isabel [Paraje]
310020001,Plantel Siete
310020001,Plantel Veintitrés (Boxtzalam)
310020001,San Gerónimo
310020001,San Isidro
310020001,San Antonio
310020001,Paraíso
310020001,Mega Servicios [Gasolinera]
310020001,La Conchita
310020001,Kankirisché
310020001,Sac Och
310020001,San Juan
310020001,Las Gemelas
310020001,Plantel 600
310020001,Los Cerros [Unidad Agrícola]
310020001,Chakahil
310020001,Las Concordias
310020001,San Felipe
310020001,La Natividad
310020001,San Manuel de Atocha
310020001,Matilde [Plantel]
310020001,U Nahil Nool
310020001,Las Margaritas
310020001,San José II
310020001,Santa María
310020001,María Luisa Chan
310020001,El Roble [Granja Avícola]
310020001,Kaki [Granja Avícola]
310020001,Garrido [Quinta]
310020001,San Lorenzo
310020001,San Antonio Dos
310020001,Villa Chica
310020001,Villa Chica Dos
310020001,La Esperanza
310020001,Flor de Mayo
310020001,Petectunich Uno
310020001,Divino Niño Jesús
310020001,San Fernando de Guadalupe
310020001,Arias Rojas [Quinta]
310030001,Akil
310030001,San Diego
310030001,San Víctor
310030001,Plan Chac Uno y Dos
310030001,Morelos
310030001,San Gabriel
310030001,Plan Chac Pozo Tres
310030001,Santa Cruz
310030001,Buenavista
310030001,Nabanché
310030001,Ox-Ac II
310030001,San Fernando
310030001,San Nicolás
310030001,San Román
310030001,Santa Teresa
310030001,Santa Rita
310030001,San Esteban
310030001,Plan Chac Pozo Cinco
310030001,Benito Juárez
310030001,Plan Chac Pozo Cuatro
310030001,San Bernardo
310030001,San Ausencio
310030001,Cinco de Mayo
310030001,San Anastacio
310030001,Luis Echeverría Álvarez
310030001,Las Perlas
310030001,Ox-Ac IV
310030001,Ox-Ac III
310030001,San Pablo Tres
310030001,La Lupita
310030001,La Ceiba
310030001,San Vicente
310030001,Guadalupe
310040001,Baca
310040001,San Isidro Kuxub
310040001,San Carlos
310040001,Santa Cruz Collí
310040001,Lactife
310040001,Santo Domingo
310040001,Tixkuncheil
310040001,Kankabchén Gamboa
310040001,San Antonio Kiché
310040001,X-Cocil
310040001,Oasis
310040001,San Pedro
310040001,San Pedro
310040001,San Dimas
310040001,Boxactún
310040001,Santa Cruz Dziuché
310040001,Santa Cruz Chinic
310040001,Baca Uno
310040001,San Isidro I
310040001,Baca Dos
310040001,Kankabchén
310040001,Kamas
310040001,San Lorenzo Boxactún
310040001,San Manuel
310040001,San Nicolás
310040001,Zamná
310040001,Pacchén
310040001,Petkan
310040001,Santa Rita
310040001,Baca Tres
310040001,Santa Cruz Sábila
310040001,Xoux
310040001,Put-Ku
310040001,Concepción Xtuc
310040001,San Diego
310040001,Bugambilias
310040001,Bachoco
310040001,Bachoco
310040001,San Antonio
310040001,Reygar
310040001,San José
310040001,La Fe
310040001,Pavo Rey (Baca 2)
310040001,Hocoyuc
310040001,La Esperanza
310040001,El Cedro
310040001,La Comunidad
310040001,La Lupita
310040001,San Antonio
310040001,Santa Cruz
310040001,Siniltún
310040001,Los Tres Reyes
310040001,El Potrero
310040001,Los Potrillos
310040001,Poco a Poco I y II
310040001,Sabac Pochote
310040001,Tres Hermanos
310040001,Chelito Lindo
310040001,Esmeralda
310040001,Ríos [Unidad Hortícola]
310040001,El Imán
310040001,Chan Chegor
310040001,San Pedro
310040001,Concepción [Quinta]
310040001,Santa Cruz
310040001,Baca [Basurero Municipal]
310040001,Ecopelex
310040001,Candelaria
310040001,La Toscana [Quinta]
310040001,Los Conejos [Club de Tiro]
310040001,Grúas Abimerhi [Depósito Vehicular]
310040001,Ex-Gasolinera
310040001,Los Flamboyanes
310040001,Garza
310040001,Kilómetro Diecinueve
310040001,Cindy [Llantera]
310040001,Abimerhi Premier [Gasera]
310040001,Ninguno
310040001,San Antonio Tercero
310040001,San José
310040001,Los Laureles
310040001,La Morena
310040001,Las Palomas
310040001,Santa Cecilia
310040001,San Roberto
310040001,Santa Julia
310040001,Santa Cruz Sábila
310040001,Tumben Há
310040001,San José [Unidad Agrícola]
310040001,San Mauro Xtuk
310040001,La Herradura
310040001,Los Abuelos
310040001,Itaboca
310040001,San Eduardo
310040001,La Sulianita
310040001,El Pueblo Guardado [Residencial de Jubilados]
310040001,Tamara Farming [Invernadero]
310040001,Pavo Rey (Baca 1)
310040001,Santa Elena
310040001,Mi Lindo Cielo
310040001,Familia Orozco
310040001,Familia Pelayo
310040001,Bega [Rancho]
310040001,Santa María
310040001,Santa Leonor
310040001,Los Cardenales
310040001,Villaventura
310040001,Pavo Rey 3
310040001,El Capricho
310040001,Basto Chalé
310050001,Bokobá
310050001,Mucuyché Campos
310050001,San Antonio Ayín
310050001,Felipe Carrillo Puerto
310050001,Santo Domingo
310050001,La Bendición de Dios
310050001,San Pedro
310050001,Xulá
310050001,Bokobá [Basurero Municipal]
310050001,Dzemul
310050001,Sodzil
310060001,Buctzotz
310060001,X-Bec
310060001,Santo Domingo
310060001,La Gran Lucha
310060001,Unidad Juárez
310060001,Granito de Oro
310060001,San Dimas
310060001,Kankirixché
310060001,Xmut Huá
310060001,San Pedro Buenavista
310060001,San Sebastián
310060001,Nohyaxché
310060001,Chan Motul
310060001,Chun-Abal
310060001,Balischén
310060001,Boxdzonot
310060001,Buena Esperanza
310060001,Cenote Azul
310060001,Chacdzidzib
310060001,Chen Canul
310060001,Chen Chomac Uno y Dos
310060001,Che'en Pato
310060001,Chilitux
310060001,Chunhuayún
310060001,El Diamante
310060001,Casco
310060001,Dzitox
310060001,San José
310060001,Haidzonot
310060001,Haydzonot
310060001,San Hol
310060001,Jujum Pit
310060001,X'caladzonot
310060001,El Lirio
310060001,Nitkichén
310060001,San Alejo
310060001,Nup-Dzonot
310060001,El Canaan
310060001,El Pedregal
310060001,Rancho Nuevo
310060001,El Sacrificio
310060001,El Cortijo
310060001,San Anselmo
310060001,San Jorge
310060001,San Cristóbal
310060001,San Diego
310060001,San Francisco Dos
310060001,San Francisco Uno
310060001,San Francisco
310060001,San Genaro
310060001,San Isidro
310060001,San Jorge
310060001,San José
310060001,San José Pedro
310060001,San Juan
310060001,San Julián
