IDDEENTIDAD,ID,DESCRIPCION
31,310010001,Abalá
31,310020001,Acanceh
31,310030001,Akil
31,310040001,Baca
31,310050001,Bokobá
31,310060001,Buctzotz
31,310070001,Cacalchén
31,310080001,Calotmul
31,310090001,Cansahcab
31,310100001,Cantamayec
31,310110001,Celestún
31,310120001,Cenotillo
31,310130001,Conkal
31,310140001,Cuncunul
31,310150001,Cuzamá
31,310160001,Chacsinkín
31,310170001,Chankom
31,310180001,Chapab
31,310190001,Chemax
31,310200001,Chicxulub Pueblo
31,310210001,Chichimilá
31,310220001,Chikindzonot
31,310230001,Chocholá
31,310240001,Chumayel
31,310250001,Dzan
31,310260001,Dzemul
31,310270001,Dzidzantún
31,310280001,Dzilam de Bravo
31,310290001,Dzilam González
31,310300001,Dzitás
31,310310001,Dzoncauich
31,310320001,Espita
31,310330001,Halachó
31,310340001,Hocabá
31,310350001,Hoctún
31,310360001,Homún
31,310370001,Huhí
31,310380001,Hunucmá
31,310390001,Ixil
31,310400001,Izamal
31,310410001,Kanasín
31,310420001,Kantunil
31,310430001,Kaua
31,310440001,Kinchil
31,310450001,Kopomá
31,310460001,Mama
31,310470001,Maní
31,310480001,Maxcanú
31,310490001,Mayapán
31,310500001,Mérida
31,310510001,Mocochá
31,310520001,Motul
31,310530001,Muna
31,310540001,Muxupip
31,310550001,Opichén
31,310560001,Oxkutzcab
31,310570001,Panabá
31,310580001,Peto
31,310590001,Progreso
31,310600001,Quintana Roo
31,310610001,Río Lagartos
31,310620001,Sacalum
31,310630001,Samahil
31,310640001,Sanahcat
31,310650001,San Felipe
31,310660001,Santa Elena
31,310670001,Seyé
31,310680001,Sinanché
31,310690001,Sotuta
31,310700001,Sucilá
31,310710001,Sudzal
31,310720001,Suma
31,310730001,Tahdziú
31,310740001,Tahmek
31,310750001,Teabo
31,310760001,Tecoh
31,310770001,Tekal de Venegas
31,310780001,Tekantó
31,310790001,Tekax
31,310800001,Tekit
31,310810001,Tekom
31,310820001,Telchac Pueblo
31,310830001,Telchac Puerto
31,310840001,Temax
31,310850001,Temozón
31,310860001,Tepakán
31,310870001,Tetiz
31,310880001,Teya
31,310890001,Ticul
31,310900001,Timucuy
31,310910001,Tinum
31,310920001,Tixcacalcupul
31,310930001,Tixkokob
31,310940001,Tixméhuac
31,310950001,Tixpéhual
31,310960001,Tizimín
31,310970001,Tunkás
31,310980001,Tzucacab
31,310990001,Uayma
31,311000001,Ucú
31,311010001,Umán
31,311020001,Valladolid
31,311030001,Xocchel
31,311040001,Yaxcabá
31,311050001,Yaxkukul
31,311060001,Yobaín
