IDDEMUNICIPIO,DESCRIPCION
320010001,Apozol
320010001,Achoquen
320010001,Las Anonas
320010001,Rancho de Ayo
320010001,Banco de Piedra
320010001,La Calera
320010001,La Campana
320010001,El Capulincito
320010001,Colonia Juárez
320010001,Chihuila Dos
320010001,Las Chivas
320010001,Colonia Francisco I. Madero
320010001,El Guamúchil
320010001,La Joya
320010001,La Laguna
320010001,Los Llamas (San Isidro)
320010001,Llano del Burro
320010001,Media Luna
320010001,El Mezquite
320010001,Palma Cuata
320010001,Piedra Tajada
320010001,Pila Honda
320010001,Las Pilas
320010001,Los Planes
320010001,La Puerta Blanca
320010001,La Purísima
320010001,Benito Juárez (El Rescoldo)
320010001,Rincón Verde
320010001,San Miguel (Atotonilco)
320010001,San Nicolás
320010001,Sauz de los González
320010001,El Tule
320010001,Hierbabuena
320010001,Peña de Tres Colores
320010001,El Ranchito
320010001,Rancho Viejo
320010001,La Tiricia
320010001,La Atarjea de la Vieja
320010001,Atarjea del Ocotito
320010001,La Haciendita
320010001,El Llano
320010001,Tecongo
320010001,Cacomite
320010001,Los Vergeles
320010001,Mesa de San Miguel
320010001,El Chiquihuitillo
320010001,Huerta la Cinta
320010001,La Mesa de Baraja
320010001,La Saucera
320010001,La Labor
320010001,El Paraíso [Rancho]
320010001,La Mesa
320010001,El Coco [Fraccionamiento]
320010001,El Tecomate [Rancho]
320010001,Padilla (La Nopalera) [Rancho]
320010001,La Caballería
320010001,San Rafael [Rancho]
320010001,Riviera Caxcana
320010001,Rincón Verde [Balneario]
320020001,Apulco
320020001,Agua Blanca
320020001,Rancho Apulco
320020001,Arroyo Hondo de Arriba
320020001,Carrillos (Los Carrillos)
320020001,Casas Coloradas
320020001,El Conejo
320020001,La Chaveña
320020001,Huegolita
320020001,Lo de Carrera
320020001,Loma de la Cruz (La Loma)
320020001,Los Mirasoles
320020001,Pastoría
320020001,El Quelele
320020001,Rancho Viejo
320020001,Santa Teresa
320020001,El Soyatal
320020001,Tenayuca
320020001,Las Tijeras
320020001,Tinajas
320020001,Rancho Nuevo
320020001,El Lucero
320020001,La Cañada del Toro
320020001,Rancho de los Díaz
320020001,Las Calabazas
320020001,Pedregoso
320020001,Los Pocitos
320020001,Agua Tinta de Arriba
320020001,La Cuija
320020001,La Cofradía [Rancho]
320020001,El Tezontle
320020001,El Paraíso (Guadalupe Gómez)
320020001,La Gotera (Jesús Yañez Vidaurri)
320020001,Las Alazanas (Silvia Iñiguez)
320020001,Los Soyates (Arturo Frías)
320030001,Atolinga
320030001,Los Adobes
320030001,Bajío de González
320030001,Cerrito Pelón
320030001,Los Cerritos
320030001,Covarrubias
320030001,Charcuelos
320030001,El Durazno
320030001,La Estancia
320030001,Juantón
320030001,Laguna Grande
320030001,El Maguey
320030001,Nacaxquilco
320030001,Ojo de Agua de Bugarín (Ojo de Agua)
320030001,El Picacho
320030001,Salisflor
320030001,Talpa
320030001,Tapias Chicas
320030001,Tapias Grandes
320030001,Terreros
320030001,Los Velas
320030001,Villa Hidalgo
320030001,El Laurel
320030001,Rancho Grande
320030001,La Ciénega
320030001,Acatepulco
320030001,Zapacueca (La Ciénega)
320030001,La Lagunilla (La Casa de los Huicholes)
320040001,Florencia
320040001,Los Campos
320040001,Las Cruces
320040001,Cuevas Chicas (Las Cuevas Chicas)
320040001,Cuevas Grandes
320040001,Los Dormidos
320040001,El Durazno
320040001,La Estancia
320040001,La Hacienda
320040001,Llano Grande
320040001,Mesa de Arellanos
320040001,Mesa de Núñez
320040001,Mesa de Rayos
320040001,Monte de Carrillo
