IDDEENTIDAD,ID,DESCRIPCION
32,320010001,Apozol
32,320020001,Apulco
32,320030001,Atolinga
32,320040001,Benito Juárez
32,320050001,Calera
32,320060001,Cañitas de Felipe Pescador
32,320070001,Concepción del Oro
32,320080001,Cuauhtémoc
32,320090001,Chalchihuites
32,320100001,Fresnillo
32,320110001,Trinidad García de la Cadena
32,320120001,Genaro Codina
32,320130001,General Enrique Estrada
32,320140001,General Francisco R. Murguía
32,320150001,El Plateado de Joaquín Amaro
32,320160001,General Pánfilo Natera
32,320170001,Guadalupe
32,320180001,Huanusco
32,320190001,Jalpa
32,320200001,Jerez
32,320210001,Jiménez del Teul
32,320220001,Juan Aldama
32,320230001,Juchipila
32,320240001,Loreto
32,320250001,Luis Moya
32,320260001,Mazapil
32,320270001,Melchor Ocampo
32,320280001,Mezquital del Oro
32,320290001,Miguel Auza
32,320300001,Momax
32,320310001,Monte Escobedo
32,320320001,Morelos
32,320330001,Moyahua de Estrada
32,320340001,Nochistlán de Mejía
32,320350001,Noria de Ángeles
32,320360001,Ojocaliente
32,320370001,Pánuco
32,320380001,Pinos
32,320390001,Río Grande
32,320400001,Sain Alto
32,320410001,El Salvador
32,320420001,Sombrerete
32,320430001,Susticacán
32,320440001,Tabasco
32,320450001,Tepechitlán
32,320460001,Tepetongo
32,320470001,Teúl de González Ortega
32,320480001,Tlaltenango de Sánchez Román
32,320490001,Valparaíso
32,320500001,Vetagrande
32,320510001,Villa de Cos
32,320520001,Villa García
32,320530001,Villa González Ortega
32,320540001,Villa Hidalgo
32,320550001,Villanueva
32,320560001,Zacatecas
32,320570001,Trancoso
32,320580001,Santa María de la Paz
