IDDEMUNICIPIO,DESCRIPCION
40010001,Isla Arena
40010001,Bécal
40010001,Concepción
40010001,San Agustín Chunhuás
40010001,Nunkiní
40010001,Pucnachén
40010001,San Antonio Sahcabchén
40010001,San Nicolás
40010001,Santa Cruz Ex-Hacienda
40010001,Santa Cruz Pueblo
40010001,Tankuché
40010001,Tepakán
40010001,Santa María
40010001,San Antonio Chichmuc
40010001,El Gran Poder
40010001,El Refugio
40010001,San José
40010001,Santa Rita
40010001,San Roque Xnolán
40010001,San Rafael
40010001,Jesús de Nazareno
40010001,Tres Hermanos
40010001,Colún (San Alberto)
40010001,Santa Elena
40010001,El Guadalupano
40010001,El Ramonal
40010001,Don Bernardo
40010001,Santo Domingo
40010001,Ukuchil
40010001,El Garrafón
40010001,Pozo del Monte
40010001,Las Carolinas
40010001,San Antonio
40010001,San Antonio
40010001,Santa Rosa
40010001,Mayaka'an
40010001,Copacabana
40010001,San Antonio Si-Ho
40010001,San Judas
40010001,Ah Canul [Centro Recreativo Familiar]
40010001,Las Almendras
40010001,Los Arcos
40010001,Nunkaan
40010001,Ninguno [Rancho]
40010001,Ninguno
40010001,Ninguno
40010001,Xkakoch
40010001,San Pedro y Pablo
40010001,Ninguno
40010001,Tanchí
40010001,Ninguno
40010001,Eben Ezer
40010001,La Estrella
40010001,Ninguno
40010001,Ninguno
40010001,Antonio
40010001,Montecristo Dos
40010001,San Juan
40010001,San Pedro
40010001,San Valentín
40010001,Santa Fe
40010001,El Paraíso
40010001,Koxol
40010001,La Señal
40010001,Ninguno
40010001,El Sauce
40010001,Ninguno
40010001,María Elena
40010001,Sin T'u'ul Dos
40010001,Ninguno
40010001,Ninguno
40010001,Ninguno
40010001,Los Pinos
40010001,Polar
40010001,Pobretón
40010001,San Juan
40010001,Colonia Si-Ho
40010001,Ninguno
40010001,Ninguno
40010001,La Nueva Esperanza
40010001,Los Ciricotes
40010001,Los Limones
40010001,San Juan Diego
40010001,Crucero Juan Diego [Rancho]
40010001,Ninguno [Rancho]
40010001,Getsemaní
40010001,Chunjabín
40010001,Los Gemelos
40020001,San Francisco de Campeche
40020001,Uayamón
40020001,Bethania
40020001,San Antonio Bobolá
40020001,Bolonchén Cahuich
40020001,Castamay
40020001,Chemblás
40020001,Chencollí (Citro-Kampeche)
40020001,Chiná
40020001,Cholul
40020001,Hampolol
40020001,Hobomó
40020001,Imí
40020001,Lerma
40020001,Mucuychakán
40020001,Nilchí
40020001,Nohakal
40020001,Uzahzil-Edzná (Nohyaxché)
40020001,San Agustín Olá
40020001,Crucero Oxá
40020001,Pich
40020001,Pocyaxum
40020001,Cayal
40020001,San Camilo (Chencollí)
40020001,San Francisco Kobén
40020001,Tikinmul
40020001,Tixmucuy
40020001,X-Tum
40020001,Alfredo V. Bonfil
40020001,Pueblo Nuevo
40020001,El Tintal
40020001,La Sierrita
40020001,San Martín
40020001,Santa Isabel
40020001,Isla Cayo Arcas
40020001,La Esperanza
40020001,El Jardín del Edén
40020001,Tres Hermanos
40020001,Santa Rosa
40020001,El Bisturí
40020001,El Álamo
40020001,Melchor Ocampo
40020001,Los Cocoyoles
40020001,Chulbac
40020001,La Doble Jota
40020001,Ensenada
40020001,Xtelchel
40020001,La Fortuna
40020001,La Gaviota
40020001,Don Javier
40020001,San Antonio [Rancho]
40020001,Grano de Oro
40020001,La Herradura
40020001,Horticultores de Kobén
40020001,Nueva Esperanza
40020001,El Gran Dzunum
40020001,Xamanes
40020001,El Huerto de Canaan
40020001,Jesús María
40020001,Lubná
40020001,Santa Bárbara [Complejo Industrial]
40020001,Miguel Alemán (X-Campéu)
40020001,Nicte-Há
40020001,San Martín
40020001,La Paz
40020001,El Porvenir
40020001,El Puertecito
40020001,Quetzal Edzná
40020001,La Libertad
40020001,Ramonal
40020001,El Felino
40020001,San Joaquinito
40020001,San Jorge
40020001,San Lorenzo
40020001,San Luciano
40020001,San Carlos Número 1
40020001,El Tesoro
40020001,Santa Anita
40020001,Santa Teresita
40020001,La Guadalupana [Trituradora]
40020001,La Victoria
40020001,Yaxá
40020001,Cenit
40020001,Cortijo
40020001,Kikab
40020001,Nuevo Pénjamo
40020001,Adolfo Ruiz Cortínez
40020001,San Miguel Allende
40020001,Perros Bravos
40020001,Frutas Tropicales
40020001,San Francisco Suyucab
40020001,Buenaventura [Grupo Pecuario]
40020001,Mar Azul
40020001,Club Náutico y Deportivo de Campeche
40020001,El Pocito
40020001,Campeche [Corralón de Grúas]
40020001,Ninguno
40020001,Guanajuato
40020001,Arjona [Rancho]
40020001,San Francisco Kobén [Centro de Rehabilitación Social]
40020001,Santa María (La Tusita)
40020001,La Divina Providencia
40020001,San Judas Tadeo
40020001,San José
40020001,Dos Hermanos
40020001,Villa Stephany
40020001,El Jilguero
40020001,El Alazán
40020001,Xamantún
40020001,Los Mangos
40020001,ALMER [Unidad Almacenadora]
40020001,Siete Hermanos
40020001,Seis Hermanos
40020001,El Crucero
40020001,Ivette [Granja]
40020001,Tres Marías
40020001,La Esperanza
40020001,Santa Sara
40020001,Santa Ana
40020001,San Juan
40020001,Los Cedros
40020001,Ninguno
40020001,Vigue [Relleno Sanitario]
40020001,Emulsiones Asfálticas de Campeche
40020001,Luz de Luna
40020001,San Francisco Uxmal
40020001,San Joaquín
40020001,Estanzuela
40020001,San Antonio
40020001,Las Cruces
40020001,Grúas Campeche [Depósito de Vehículos]
40020001,Las Lomas
40020001,San Antonio Xkix
40020001,Dzicilá
40020001,San Luis
40020001,Gatos Güeros
40020001,Ex-Hacienda X-Tum
40020001,San Jorge
40020001,El Pegaso
40020001,El Gallito Feliz
40020001,Chapín
40020001,Buenaventura
40020001,Kalá
40020001,El Paraíso
40020001,Chivic
40020001,El Morado
40020001,Edzná F-Uno [Centro de Recría]
40020001,Los Laureles
40020001,Guanaceví
40020001,Ricer [Trituradora]
40020001,Nuevo San Antonio Ebulá
40020001,EBORCA
40020001,Juan Diego
40020001,San Felipe del Jesús
40020001,La Palma
40020001,Santa Concepción
40020001,El Yuco
40020001,Santo Domingo
40020001,Santa Cruz
40020001,La Adelita
40020001,Los Alacranes
40020001,Yashalum
40020001,El Chiapaneco
40020001,Los Ciclistas Chablé
40020001,El Cortijo
40020001,Almoloyita
40020001,Dzilché
40020001,La Gloria
40020001,El Guayabo
40020001,Ninguno
40020001,La Soledad
40020001,Oreb y Sinaí
40020001,Jamo
40020001,La Lenchita
40020001,Casandra
40020001,Ninguno [Trituradora]
40020001,Nueva Esperanza
40020001,Pichula CR
40020001,Shara
40020001,Leopardo
40020001,Ex-Hacienda San Francisco Kobén (La Noria)
40020001,Los Ocho Hermanos
40020001,Saúl Alberto
40020001,San José (Hermanos González)
40020001,Hermanos Colín
40020001,Sierrita
40020001,San Balam
40020001,Guadalupe
40020001,San Juan
40020001,Lágrimas Uno
40020001,Las Margaritas
40020001,Las Palomas
40020001,PROAGRO
40020001,Hermanos Pool [Quebradora]
40020001,San Antonio Cayal
40020001,Santa Trinidad
40020001,El Tigre
40020001,Fundación Produce Campeche (FUPROCAM)
40020001,Las Ánimas
