IDDEMUNICIPIO,DESCRIPCION
50010001,Las Adjuntas
50010001,El Huracán
50010001,El Indio
50010001,Pájaros Azules
50010001,Los Pozos
50010001,Los Rodríguez
50010001,San Antonio
50010001,El Arco (El Arco de Babiácora)
50010001,Buena Suerte (Los García)
50010001,San Ángel
50010001,San Pablo
50010001,Los Arcos
50010001,Casa Blanca [Centro de Mejoramiento Genético]
50010001,Vitali
50010001,El Paraíso
50010001,Castañeda de León
50010001,Juan Antonio García
50010001,Juan Alvarado Correa
50010001,Oscar Jiménez Pérez
50010001,Lozano
50010001,El Orejas
50010001,La Aurora
50010001,Rubén Maldonado
50010001,Oscar García Valdez
50010001,La Tinaja
50010001,Hidilio de Hoyos
50010001,Los Ángeles (Osvaldo Mata)
50010001,Los Vargas
50010001,Rogelio Medrano Rodríguez
50010001,El Rosario
50010001,Santa Elvira
50010001,Roberto Valdés
50010001,La Chimenea
50010001,Los Pozos Dos
50010001,Lupita
50010001,Los Fresnos
50010001,El Nogal
50010001,San Isidro
50010001,Antonio de Hoyos (Kilómetro 24) [Taller]
50010001,Don Carlos
50010001,San Juan
50020001,Ciudad Acuña
50020001,Agua Verde
50020001,Los Ángeles
50020001,Balcones
50020001,Buena Vista
50020001,El Bonito (El Cañón Bonito)
50020001,El Cedrito
50020001,El Cedroso
50020001,El Cíbolo
50020001,Mariano Escobedo
50020001,Braulio Fernández Aguirre (El Paso)
50020001,El Cuatralbo
50020001,Cuatro Palmas
50020001,José Chávez Ortiz (Las Cuevas)
50020001,Las Cuevas
50020001,Chupadero del Caballo
50020001,La Esmeralda
50020001,La Herradura
50020001,El Venadito
50020001,La Linda
50020001,Mal Abrigo (Antonio Castillo)
50020001,El Nopal
50020001,Rancho Nuevo
50020001,Valle de la Palma (Las Palmas)
50020001,Pico Etéreo
50020001,El Pilar
50020001,El Salado
50020001,San Fernando
50020001,San Ignacio
50020001,San Juan del Río
50020001,Santa Ana
50020001,Santa Rosa
50020001,Santo Toribio
50020001,Venustiano Carranza
50020001,Dolores Valencia
50020001,José María Morelos
50020001,San Esteban
50020001,San Esteban de Egipto (El Barcino)
50020001,Alfredo V. Bonfil
50020001,El Rey
50020001,El Coyote
50020001,El Moro (Paso del Moro)
50020001,La Reforma
50020001,San José (El Cíbolo)
50020001,Los Buras (Llano de los Buras)
50020001,La Peña
50020001,Ojo de Agua (San Gregorio)
50020001,El Veinte (La Lupe)
50020001,Melchor Múzquiz (Las Vegas de Steelwell)
50020001,San Lorenzo
50020001,Los Albertos (Los Cuates)
50020001,La Huérfana
50020001,El Pira
50020001,La Esperanza
50020001,Rancho Seco
50020001,El Olmo
50020001,Santa Elena
50020001,Santa María
50020001,Buenavista
50020001,El Consuelo
50020001,La Chulita
50020001,La Pileta
50020001,La Borrada
50020001,San Judas Tadeo (La Treinta y Uno)
50020001,El Palmar
50020001,Agua Chile [Mina]
50020001,El Alambre
50020001,Altamira
50020001,El Buey
50020001,El Caballo
50020001,Calles
50020001,Ninguno [Estación de Salvamento]
50020001,Casa Blanca (Cerro el Salado)
50020001,Acalachi
50020001,La Chuparrosa
50020001,El Cinco
50020001,Conchos
50020001,Cenobio Uribe Zapata (Las Cuevas)
50020001,Ramiro Guzmán
50020001,La Mona
50020001,La Fortuna
50020001,Las Glorias
50020001,Alfonso González (Los González)
50020001,La Herradura
50020001,Los Indios
50020001,Las Norias
50020001,Mesas Coloradas
50020001,El Mirador
50020001,Noria el Cíbolo (El Cíbolito)
50020001,La Noria del Palmar
50020001,La Panela
50020001,El Paraíso
50020001,La Peña
50020001,Piedra Azul
50020001,Piedra Blanca
50020001,La Pirámide Vieja
50020001,La Pistola
50020001,El Puesto Hípico (El Potrero)
50020001,El Oso (La Rosita)
50020001,Santa Catalina
50020001,San Gustavo
50020001,El Faisán
50020001,La Comisaría (San Rosendo)
50020001,La Cruz
50020001,Santa Margarita
50020001,Santa María
50020001,El Solito
50020001,La Tinaja
50020001,Los Papalotes
50020001,La Venada
50020001,Viento Negro
50020001,La Virgen
50020001,Juana Hernández Lozano (La Palapa)
50020001,Los Corrales
50020001,Los Laureles
50020001,Doctor Narváez (La Pila)
50020001,Manuel González (El Trébol)
50020001,El Mosco (George Hargrove)
50020001,La Palma (La Noria)
50020001,La Salada
50020001,San Agustín
50020001,Francisco Villa
50020001,Reinol Torralba Múzquiz
50020001,Playa Tláloc
50020001,Francisco Silva Hernández
50020001,José Eduardo Ramón Valdez
50020001,Oscar Jiménez
50020001,Juan Luis Sánchez (La Vega)
50020001,Enrique Bernal Ortiz
50020001,Salvador Rodríguez Garza (Los Novillos)
50020001,Evaristo Lenin Pérez Rivera
50020001,Francisco Pérez Escalante
50020001,Baltazar Ramírez Linares
50020001,El Capricho
