IDDEENTIDAD,ID,DESCRIPCION
5,50010001,Abasolo
5,50020001,Acuña
5,50030001,Allende
5,50040001,Arteaga
5,50050001,Candela
5,50060001,Castaños
5,50070001,Cuatro Ciénegas
5,50080001,Escobedo
5,50090001,Francisco I. Madero
5,50100001,Frontera
5,50110001,General Cepeda
5,50120001,Guerrero
5,50130001,Hidalgo
5,50140001,Jiménez
5,50150001,Juárez
5,50160001,Lamadrid
5,50170001,Matamoros
5,50180001,Monclova
5,50190001,Morelos
5,50200001,Múzquiz
5,50210001,Nadadores
5,50220001,Nava
5,50230001,Ocampo
5,50240001,Parras
5,50250001,Piedras Negras
5,50260001,Progreso
5,50270001,Ramos Arizpe
5,50280001,Sabinas
5,50290001,Sacramento
5,50300001,Saltillo
5,50310001,San Buenaventura
5,50320001,San Juan de Sabinas
5,50330001,San Pedro
5,50340001,Sierra Mojada
5,50350001,Torreón
5,50360001,Viesca
5,50370001,Villa Unión
5,50380001,Zaragoza
