IDDEMUNICIPIO,DESCRIPCION
60010001,Ciudad de Armería
60010001,El Banco de Jicotán
60010001,El Caminero
60010001,Cofradía de Juárez
60010001,Cuyutlán
60010001,El Taco
60010001,María Dolores
60010001,Rancho Berrondo
60010001,El Nidito
60010001,Los Olivos
60010001,El Paraíso [Balneario]
60010001,Periquillo
60010001,El Puertecito
60010001,Rincón de López
60010001,San Felipe
60010001,Santander
60010001,Los Reyes (Zorrillos)
60010001,Coatán
60010001,Augusto Gómez Villanueva (Coalatilla)
60010001,La Atravesada
60010001,Las Piedras de Amolar
60010001,La Noria
60010001,La Tropicana
60010001,El Campanario
60010001,El Naranjal
60010001,Excaltitán
60010001,Rancho Blanco
60010001,Las Tres Parotitas Uno (La Roblera)
60010001,Los Camichines
60010001,Los Rosales
60010001,El Polvorín
60010001,Chulavista
60010001,El Arriero
60010001,El Cahuite
60010001,El Mirador
60010001,La Curva
60010001,La Cañita
60010001,La Tilapia Loca
60010001,El Rincón del Diablo
60010001,Cinco Hermanos
60010001,Manuel Montejano
60010001,La Canoa
60010001,Las Borregas
60010001,El Rocío
60010001,El Caballero
60010001,San José
60010001,Coatán (Los Lepe)
60010001,Rosa Morada
60010001,El Treinta-Treinta
60010001,Sagrado Corazón [Colonia]
60010001,Ninguno
60010001,Rancho de Gómez
60010001,Barba Azul
60010001,Rancho Nelly
60010001,Rancho Blanco
60010001,La Manguera
60010001,La Curva
60010001,Rancho Cándida
60010001,Don Pedro
60010001,La Providencia
60010001,El Algodonal
60010001,Álvaro y Guadalupe Chávez
60010001,Amador Cázares
60010001,El Anonal
60010001,El Tabachín
60010001,Los Tres Potrillos
60010001,Centro Ecológico de Cuyutlán (El Tortugario)
60010001,El Panteón
60010001,Cuyutlán [Caseta de Cobro]
60010001,Charco Verde
60010001,La Curva
60010001,Ninguno [Estación Meteorológica]
60010001,Francisco Fernández
60010001,El Girasol
60010001,Huerta de los Rosales
60010001,El Hule
60010001,Jicotán
60010001,José Flores
60010001,Justo Gómez Pérez
60010001,El Lucero
60010001,De los Nava
60010001,Pedro Álvarez
60010001,Los Peludos
60010001,El Polvorín
60010001,Potrero Alto
60010001,El Pozo
60010001,El Profesor
60010001,Rafael Aguilar Cervantes
60010001,Rancho Socorro
60010001,El Triunfo
60010001,El Choco
60010001,Rancho del Cura
60010001,Rancho Felícitas
60010001,Perico Medina
60010001,Rancho Pollito
60010001,Rancho Progreso
60010001,Rincón del Diablo [Javier Valencia]
60010001,Los Pinto
60010001,Rubén Munguía Jasso
60010001,El Sandillal
60010001,El Tecuán
60010001,Rincón del Diablo [Tomás Paulín Nava]
60010001,La Cohetería
60010001,Brezo [Vivero]
60010001,Boca de Río [Jesús Gallegos]
60010001,Don Chumas
60010001,Emilio Medina
60010001,La Huerta Regada
60010001,José Valdez
60010001,El Huizache
60010001,La Peña
60010001,Ranchito Alegre
60010001,Rincón de López
60010001,La Quebradora
60010001,Juan Rubio Jiménez
60010001,Jesús Cano
60010001,Rancho Sospechoso [José de la Mora]
60010001,Los Colorados
60010001,Paula Bonilla
60010001,El Pochote
60010001,José Galván Gómez
60010001,El Buen Pastor
60010001,El Rincón del Tecuán
60010001,Los Tres Hermanos
60010001,San Juan
60010001,Las Tres Parotitas
60010001,José Covarrubias
60010001,Los Laureles
60010001,Mal Paso
60010001,Cruz Méndez
60010001,El Encanto
60010001,La Curva [Antonio Ventura]
60010001,Rancho Roel
60010001,Colonia Flor de Coco
60010001,El Manguito
60010001,Don Candelario
60010001,El Capricho
60010001,Las Palmas [Granja]
60010001,Higinio Huerta
60010001,José Villaseñor
60010001,San Francisco
60010001,La Columnaria
60010001,Alejandro Martínez
60010001,César Moreno
60010001,Chavarín
60010001,El Capricho
60010001,El Alto
60010001,La Ilusión [Jorge Enrique Virgen]
60010001,La Candelaria
60010001,Los Sabalzas
60010001,Mariscal
60010001,Rancho de Cheque
60010001,Sergio Parra
60010001,El Compilla
60010001,La Pochota
60010001,La Higuerita
60010001,La Tira [Leopoldo Caraballo Ruelas]
60010001,Rancho Azul
60010001,Rancho Domínguez
60010001,Rancho Escondido
60010001,Rancho Mejía
60010001,Rancho Ramírez
60010001,Valleverde
60010001,Veintinueve de Octubre
60010001,Los Guayabillos
60010001,La Fundición
60010001,El Naranjal
60010001,El Olimpo
60010001,El Cóbano
