IDDEMUNICIPIO,DESCRIPCION
70010001,Los Amates
70010001,Arvin
70010001,Los Cacaos
70010001,El Castaño
70010001,Constitución
70010001,Costa Rica
70010001,Las Golondrinas
70010001,Hidalgo
70010001,Huisisil Uno
70010001,Jalapa
70010001,Magnolia
70010001,Las Nubes
70010001,Nueva Libertad
70010001,Playa Inés Sección Uno
70010001,Emiliano Zapata (Puerto Arturo)
70010001,Rancho Bonito
70010001,Rosario Zacatonal
70010001,Buena Voluntad
70010001,Cintalapa
70010001,San Carlos
70010001,El Último Jalón
70010001,Los Jazmines Dos
70010001,El Tajuko
70010001,Tizapa
70010001,El Tumbador
70010001,La Violeta
70010001,Palestina
70010001,Buenavista
70010001,Laguna Arenal
70010001,Caballo Blanco
70010001,San Antonio
70010001,El Encuentro
70010001,La Vieja Libertad
70010001,San Vicente Joval
70010001,Nueva Reforma
70010001,Monte Video
70010001,María Esther Zuno de Echeverría
70010001,San Marcos
70010001,Bolivia
70010001,San Isidro
70010001,Betania
70010001,Las Cruces
70010001,Morioka
70010001,La Fortuna
70010001,Buenos Aires
70010001,Satélite Morelia
70010001,Santa Rosa
70010001,Jardín de Oro
70010001,Lagunas
70010001,La Patria
70010001,Diez de Abril (Texcoco)
70010001,Tres Hermanos
70010001,Buenos Aires
70010001,El Aguacate
70010001,Huisisil Dos
70010001,El Retiro
70010001,Las Delicias
70010001,Flor del Carmen Uno
70010001,Reforma (Parada Bonanza)
70010001,Delicias
70010001,San Pedro
70010001,San Marcos Uno
70010001,Callejón del Paraíso
70010001,Luis Donaldo Colosio Murrieta
70010001,Las Cadenas
70010001,Víctor Manuel Castillo (España)
70010001,Madre Vieja
70010001,Nuevo Cintalapa Dos (Berlín)
70010001,Los Andes de Zapata
70010001,Las Brisas
70010001,Nueva Jalapa
70010001,Las Limas
70010001,Cruz de Piedra
70010001,El Camionero
70010001,Monte de Oro
70010001,La Primavera
70010001,Las Brisas
70010001,Chicol
70010001,Desvío el Pataste
70010001,El Arenal
70010001,El Desengaño
70010001,Los Cocos
70010001,Quince de Septiembre
70010001,La Esperanza
70010001,El Regalo de Dios
70010001,Las Tomas
70010001,La Argentina
70010001,Monterrey
70010001,La Argentina
70010001,Bethel
70010001,Nueva Alianza
70010001,Buenavista
70010001,Las Dalias
70010001,Flor del Carmen Dos
70010001,La Gloria
70010001,La Gloria
70010001,La Hermosura
70010001,La Lomita
70010001,El Nopal (Parada el Mirador)
70010001,Nopales
70010001,La Nueva Esperanza
