IDDEENTIDAD,ID,DESCRIPCION
7,70010001,Acacoyagua
7,70020001,Acala
7,70030001,Acapetahua
7,70040001,Altamirano
7,70050001,Amatán
7,70060001,Amatenango de la Frontera
7,70070001,Amatenango del Valle
7,70080001,Ángel Albino Corzo
7,70090001,Arriaga
7,70100001,Bejucal de Ocampo
7,70110001,Bella Vista
7,70120001,Berriozábal
7,70130001,Bochil
7,70140001,El Bosque
7,70150001,Cacahoatán
7,70160001,Catazajá
7,70170001,Cintalapa de Figueroa
7,70180001,Coapilla
7,70190001,Comitán de Domínguez
7,70200001,La Concordia
7,70210001,Copainalá
7,70220001,Chalchihuitán
7,70230001,Chamula
7,70240001,Chanal
7,70250001,Chapultenango
7,70260001,Chenalhó
7,70270001,Chiapa de Corzo
7,70280001,Chiapilla
7,70290001,Chicoasén
7,70300001,Chicomuselo
7,70310001,Chilón
7,70320001,Escuintla
7,70330003,Francisco León
7,70340001,Frontera Comalapa
7,70350001,Frontera Hidalgo
7,70360001,La Grandeza
7,70370001,Huehuetán
7,70380001,Huixtán
7,70390001,Huitiupán
7,70400001,Huixtla
7,70410001,La Independencia
7,70420001,Ixhuatán
7,70430001,Ixtacomitán
7,70440001,Ixtapa
7,70450001,Ixtapangajoya
7,70460001,Jiquipilas
7,70470001,Jitotol
7,70480001,Juárez
7,70490001,Larráinzar
7,70500001,La Libertad
7,70510001,Mapastepec
7,70520001,Las Margaritas
7,70530001,Mazapa de Madero
7,70540001,Mazatán
7,70550001,Metapa
7,70560001,Mitontic
7,70570001,Motozintla
7,70580001,Nicolás Ruíz
7,70590001,Ocosingo
7,70600001,Ocotepec
7,70610001,Ocozocoautla de Espinosa
7,70620001,Ostuacán
7,70630001,Osumacinta
7,70640001,Oxchuc
7,70650001,Palenque
7,70660001,Pantelhó
7,70670001,Pantepec
7,70680001,Pichucalco
7,70690001,Pijijiapan
7,70700001,El Porvenir
7,70710001,Villa Comaltitlán
7,70720001,Pueblo Nuevo Solistahuacán
7,70730001,Rayón
7,70740001,Reforma
7,70750001,Las Rosas
7,70760001,Sabanilla
7,70770001,Salto de Agua
7,70780001,San Cristóbal de las Casas
7,70790001,San Fernando
7,70800001,Siltepec
7,70810001,Simojovel
7,70820001,Sitalá
7,70830001,Socoltenango
7,70840001,Solosuchiapa
7,70850001,Soyaló
7,70860001,Suchiapa
7,70870001,Suchiate
7,70880001,Sunuapa
7,70890001,Tapachula
7,70900001,Tapalapa
7,70910001,Tapilula
7,70920001,Tecpatán
7,70930001,Tenejapa
7,70940001,Teopisca
7,70960001,Tila
7,70970001,Tonalá
7,70980001,Totolapa
7,70990001,La Trinitaria
7,71000001,Tumbalá
7,71010001,Tuxtla Gutiérrez
7,71020001,Tuxtla Chico
7,71030001,Tuzantán
7,71040001,Tzimol
7,71050001,Unión Juárez
7,71060001,Venustiano Carranza
7,71070001,Villa Corzo
7,71080001,Villaflores
7,71090001,Yajalón
7,71100001,San Lucas
7,71110001,Zinacantán
7,71120001,San Juan Cancuc
7,71130001,Aldama
7,71140001,Benemérito de las Américas
7,71150001,Maravilla Tenejapa
7,71160001,Marqués de Comillas
7,71170001,Montecristo de Guerrero
7,71180001,San Andrés Duraznal
7,71190001,Santiago el Pinar
7,71200001,Capitán Luis Ángel Vidal
7,71210001,Rincón Chamula San Pedro
7,71220001,El Parral
7,71230001,Emiliano Zapata
7,71240001,Mezcalapa
7,71250001,Honduras de la Sierra
