IDDEMUNICIPIO,DESCRIPCION
80010001,Miguel Ahumada
80010001,Agua Zarca
80010001,El Alamito
80010001,El Álamo
80010001,Álamos de Peña
80010001,Argelia
80010001,Atotonilco
80010001,El Bajío
80010001,Barreal [Colonia Menonita]
80010001,Buenos Aires [Colonia Menonita]
80010001,La Caballada
80010001,Candelaria
80010001,Carrizal
80010001,El Cinco
80010001,Las Nuevas Cuatas [Colonia Menonita]
80010001,El Cuatro
80010001,La Chiripa
80010001,Chivatito
80010001,Rancho la Hacienda del Rey
80010001,Las Isabeles
80010001,Las Lagartijas
80010001,Leonor
80010001,San Fernando
80010001,Maravillas
80010001,Las Margaritas
80010001,Medio Camino
80010001,El Milagro
80010001,Miraflores
80010001,Moctezuma
80010001,El Nopal
80010001,Nueva Holanda
80010001,Ojo Caliente [Colonia Seca]
80010001,Ojos de San Antonio
80010001,El Palomino
80010001,Las Playas
80010001,Los Pozos
80010001,Rancho Grande
80010001,Rancho Nuevo
80010001,Roma
80010001,San Isidro
80010001,San José
80010001,San Luis
80010001,San Martín de Lucero
80010001,Santa María
80010001,Los Sauces
80010001,Las Tarabillas
80010001,La Tinaja Lisa
80010001,El Toro (El Águila)
80010001,Potrero del Llano
80010001,Las Tunas
80010001,La Unión
80010001,Matianas [Colonia Menonita]
80010001,Vado Vigas (El Padre)
80010001,Vista Hermosa
80010001,Los Álamos
80010001,Las Tinajitas
80010001,La Biznaga
80010001,Siete Leguas (El Palmar)
80010001,Las Praderas
80010001,Santa Fe (Las Parras)
80010001,El Ágate
80010001,Los Aparejos
80010001,Santa Rita Viejo
80010001,Rancho Gala
80010001,Los Violines
80010001,La Víbora (El Tule)
80010001,Santo Niño
80010001,El Fierro
80010001,Los Apuros
80010001,La Morita
80010001,Santa Teresa
80010001,El Estribo
80010001,Santa Cruz
80010001,Médano
80010001,Los Peñascos
80010001,San Rafael (El Colorado)
80010001,Dos Papalotes
80010001,San Francisco (El Lucero)
80010001,Palos Blancos
80010001,El Escondido
80010001,Santa Angelina (El Milagro)
80010001,San Antonio
80010001,El Rosario
80010001,El Perico Colorado (Ojos Colorados)
80010001,Santa Martha
80010001,Rancho Rosita
80010001,Los Mezquites
80010001,El Indio
80010001,San José
80010001,El Mazapán (El Porvenir)
80010001,El Sacrificio
80010001,Campo Alegre (El Pozo)
80010001,El Tobosal
80010001,San Pedro
80010001,El Presón (Isela)
80010001,La Vinata
80010001,Santa Bárbara
80010001,El Viborero
80010001,La Peralta
80010001,El Veinticuatro
80010001,Colonia Agrícola el Llano
80010001,Palo Blanco
80010001,Noche Buena
80010001,Los San Juanes
80010001,Brazo Fuerte
80010001,Magdalena
80010001,Rancho la Parcela
80010001,Chachita
80010001,Santa Elena
80010001,Santa Anita
80010001,La Herradura
80010001,El Ojito
80010001,Guadalupe Dos
80010001,Los Berrendos
80010001,San Martín [Colonia Menonita]
80010001,San Lorencito
80010001,La Colorada
80010001,Rancho las Láminas
80010001,La Máquina
80010001,Villa Ahumada y Anexas
80010001,Adolfo Ruiz Cortínez
80010001,Ejido Zaragoza
80010001,Josefa Ortíz de Domínguez (Ojo de Carrizal)
80010001,El Gavilán
80010001,San Agustín (La Cabaña)
80010001,Las Lagartijas (Álamos de Peña)
80010001,Riva Palacio
80010001,Parritas
80010001,Buenavista
80010001,Santa Rita
80010001,Barret Holdings
80010001,San Luis (Noche Buena)
80010001,San Luis
80010001,El Águila
80010001,El Galleguito
80010001,El Bohío
80010001,El Caballo
80010001,Santo Niño el Alto
80010001,El Chichonal
80010001,La Chocolata
80010001,Rancho 40 [Colonia Menonita]
80010001,El Dorado
80010001,La Equis
80010001,La Estrella
80010001,El Garambullo (El Cairo)
80010001,La Carbonera
80010001,Magdalena
80010001,Los Malpáises
80010001,El Ojo Hediondo
80010001,La Peralta [Colonia Menonita]
80010001,Las Palmas
80010001,Las Palmitas
80010001,Rancho el Panal
80010001,Providencia (Las Marraneras)
80010001,El Puerto
80010001,Ranchería
80010001,Rancho Verde
80010001,Rancho el Roble
80010001,San Francisco
80010001,San Juan
80010001,San Luis
80010001,Santa Mónica (Santa Clara)
80010001,La Novillada (El Uno)
80010001,Rancho Tres José
80010001,Las Víboras
80010001,El Tule
80010001,El Ranchito
80010001,Valle Alegre
80010001,Santo Niño
80010001,El Aguaje
80010001,El Tejabán
80010001,Loma Ju
80010001,Los Ortíz
80010001,Santa Martha
80010001,El Alamito
80010001,El Nogal
80010001,Rancho Doble A
80010001,San Lorencito
80010001,Estación Gallegos
80010001,Chihuahuita
80010001,El Milagro (El Sauz)
80010001,Tres Rosarios
80010001,El Presón
80010001,Rancho el Tríplice
80010001,Rancho el Parralito
80010001,El Gavilán
80010001,El Castellano
80010001,La Moneda
80010001,Cielo Azul
80010001,Santa Marcela [Colonia Menonita]
80010001,San José (La Soledad)
80010001,El Moro
80010001,Hilario
80010001,La Escuelita de Bobilac
80010001,Los Barandales del Puente
80010001,Los Reyes
80010001,Las Manzanas
80010001,San Rafael
80010001,El Pozo Número Seis (El Parapeto)
80010001,Los Carnales [Sociedad de Producción Rural]
80010001,Santa Elisa
80010001,Los Corrales
80010001,Rancho Sueco
80010001,Sueco
80010001,Moctezuma (las Fuentes) [Agropecuaria]
80010001,El Berrendo
80010001,El Arenal
80010001,La Esmeralda
80010001,Los Albertos
80010001,El Álamo
80010001,El Rayo
80010001,El Cuerno
80010001,El Cuatro
80010001,La Escajeda
80010001,Ejido Juárez (El Colorado)
80010001,La Gloria
80010001,Pozo Nuevo
80010001,El Jilgal
80010001,Manta Negra
80010001,Ejido Francisco Villa
80010001,La Pedregosa
80010001,La Central
80010001,El Gran Chaparral
80010001,San José de Patos [Invernaderos Forestales de México]
80010001,El Barril (La Herradura)
80010001,El Norte (Ranchos Unidos)
80010001,El Rey del Cobre
80010001,El Bronco (Viveros Escobar)
80010001,El Cuatro Vientos
80010001,El Mirador
80010001,Rancho el Bonete
80010001,Ejido Lucio Blanco
80010001,Victorio
80010001,La Estrella
80010001,El Molino
80010001,Villas de San Carlos
80010001,Rancho los Reyes
80010001,El Lucero
80010001,Los Corrales
80010001,Rancho BB
80010001,El Manzano
80010001,Santa Rita
80010001,Santa Rita (Las Marraneras)
80010001,El Soruyo
80010001,San Ignacio
80010001,El Cordón
80010001,Corpos
80010001,San José
80010001,El Lucero
80010001,La Distancia
80010001,La Palma [Colonia Menonita]
80010001,El Oasis
80010001,El Peñasco
80010001,El Papalote (El Uno)
80010001,La Parrita
80010001,La Pegajosa
80010001,Los Pinos
80010001,Paraje los Pozos
80010001,San Lorenzo (Rancho Leyva)
80010001,Rancho San Juan
80010001,El Rincón
80010001,San Juanito
80010001,San Rafael (El Despepitador)
80010001,Rancho el 220
80010001,San José
80010001,San Luis
80010001,Moctezuma [Campamento]
80010001,Los Acebuches
80010001,El Álamo
80010001,La Alcaparra
80010001,El Alto
80010001,El Alto
80010001,Campo Diecisiete (El Cuarenta)
80010001,Campo Tres (El Gavilán)
80010001,Rancho San Lorenzo
80010001,Casa de Piedra (La Pista)
80010001,Los Cedros
80010001,Rancho San Francisco
80010001,La Colorada
80010001,El Mareño [Corrales]
80010001,Los Domínguez (Muñoz)
80010001,El Dos de Abril
80010001,La Escuadra (San Carlos)
80010001,Estrella del Norte
80010001,Rancho Chihuahuita
80010001,El Garambullo Dos
80010001,El Garambullo Tres (Bajío de las Yeguas)
80010001,Granjas del Norte
80010001,Guadalupe Uno
80010001,El Ruezno Uno
80010001,Los Nogales
80010001,La Noria
80010001,Nuevo Medio Camino
80010001,El Ojito Dos
80010001,Ojos Colorados
80010001,El Palmar
80010001,Palo Blanco
80010001,El Palomino
80010001,Ricardo Pérez
80010001,El Papalotito
80010001,El Parra (Santa Amalia)
80010001,El Petrolero
80010001,La Piedra
80010001,La Pila
80010001,El Potro (Tinajitas)
80010001,Las Peñitas (Palos Blancos)
80010001,Rancho Blanco
80010001,Rancho de Enmedio
80010001,Rancho de Plascencia (Pencil)
80010001,Rancho Don Erasmo
80010001,Rancho Grande
80010001,El Salto
80010001,San Joaquín
80010001,San José
80010001,San Martín
80010001,San Miguel
80010001,Santa Cecilia
80010001,Santa Mónica
80010001,Santo Niño
80010001,Santo Niño
80010001,Tres Elenas
80010001,El Seis
80010001,El Seis
80010001,Los Amargosos
80010001,Los Chinos
80010001,San Ignacio
80010001,Rancho de los Díaz
80010001,El Saguaro
80010001,Ricardo Pérez
80010001,Cuadra Moctezuma
80010001,Sección 6
80010001,Los Bajío [Víctor Caro Galdeana]
80010001,La Monita (El Setenta)
80010001,Los Campos
80010001,San Lorenzo
80010001,El Solitario
80010001,El Consuelo
80010001,Tierras Prietas (Palos Blancos)
80010001,Treinta y Cinco
80010001,Tres Álamos
80010001,Chivatito [Colonia Menonita]
80010001,San Miguel
80010001,Valle Escondido
80010001,Los Venados
80010001,El Vergel
80010001,Dagmar
80010001,La Yegua
80010001,La Manguita
80010001,El Bayado
80010001,La Cañada
80010001,Las Cazuelas
80010001,El Coyote
80010001,El Cubo
80010001,El Recuerdo
80010001,Santo Niño
80010001,El Venado
80010001,El Cinco [Corrales]
80010001,El Bajío
80010001,Jaquila
80010001,Granja la Lupita
80010001,San Fabián
80010001,El Llorón
80010001,José Carlos Altamirano
80010001,El Cinco
80010001,Campo 11
80010001,Campo Wieleir
80010001,La Aguja
80010001,Casa de Piedra
80010001,Seis Hermanos
80010001,Hacienda el Suspiro
80010001,El Sufrido (Santa Cruz)
80010001,Los Pinos
80010001,Santa Eduviges
80010001,El Cono
80010001,Rancho el Doble C
80010001,San Isidro
80010001,Colonia Valle de la Esperanza
80010001,Rancho la O
80010001,El Potrero
80010001,Pequeño Israel
80010001,Granja Favela
80010001,María Luisa
80010001,Rancho las Ánimas
80010001,Rancho el Sol
80010001,Rancho el Rincón
80010001,Rancho los Cascabeles
80010001,Rancho las Cúspides
80010001,Rancho San Bernardo
80010001,Granja Ricfer
80010001,San Pedro de los Arenales
80010001,La Mentira
80010001,San Ignacio
80010001,La Espuela
80010001,Granja San Lorenzo
80010001,El Pino II
80010001,Los Tejones
80010001,Rancho Caballero
80010001,Rancho Alejandra
80010001,Los Panchos [Parque Recreativo]
80010001,Granja Hermanos Ortíz
80010001,Rancho el San Juan II
80010001,Granja Arras
