IDDEMUNICIPIO,DESCRIPCION
90020001,Azcapotzalco
90030001,Coyoacán
90040001,Cuajimalpa de Morelos
90040001,Cruz Blanca
90040001,San Lorenzo Acopilco
90040001,La Venta
90040001,Puerto las Cruces (Monte las Cruces)
90040001,Teopazulco
90040001,Valle de las Monjas
90040001,Prolongación Constitución
90040001,Paraje Río Borracho
90040001,El Zarco
90040001,La Bolsa (El Encinal)
90040001,Los Campesinos [Rancho]
90040001,Santa Rosa
90040001,Paraje Cerro de los Padres
90040001,Santa Laura [Rancho]
90040001,La Papa [Escuela Niños Héroes]
90040001,Convento del Desierto de los Leones
90040001,La Troje
90040001,Punta Galicia
90040001,Cola de Pato
90040001,Los Aguacates
90040001,Punta Ahuatenco
90040001,Los Laureles [Rancho]
90040001,Coatzehuaya
90040001,La Loma
90040001,Llanito Redondo
90050001,Gustavo A. Madero
90060001,Iztacalco
90070001,Iztapalapa
90080001,La Magdalena Contreras
90080001,Manantiales de Monte Alegre
90080001,Ejido de San Nicolás Totolapan
90080001,Segundo Dinamo
90080001,Las Golondrinas
90080001,Primer Dinamo
90080001,El Gavillero
90080001,El Ocotal (La Carbonera)
90080001,Coapanoaya
90080001,Totolapan
90080001,Sehuaya
90080001,Tercer Dinamo
90080001,Cuarto Dinamo
90080001,La Bodega
90080001,La Campana [Rancho]
90080001,La Escondida
90080001,La Polea
90080001,Valle del Tezontle
90080001,Albergue Alpino Ajusco
90080001,Los Cedros
90080001,Ocotenco (La Loma Cazulco)
90080001,El Tejocote
90080001,Paraje Ayla
90080001,Rancho Viejo
90080001,Prolongación Ermitaño
90080001,Llanos de Acopilco
90080001,El Rincón
90080001,La Cañada [Parque]
90080001,Chichicazpatl
90080001,Meyuca
90080001,Rancho los Gavilanes
90090001,Villa Milpa Alta
90090001,San Antonio Tecómitl
90090001,San Bartolomé Xicomulco
90090001,San Francisco Tecoxpa
90090001,San Pablo Oztotepec
90090001,San Pedro Atocpan
90090001,San Salvador Cuauhtenco
90090001,Santa Ana Tlacotenco
90090001,Cruztitla
90090001,Atlimeya
90090001,Los Pinos (Totulan)
90090001,Xoctonco
90090001,Cozcatlán
90090001,La Herradura (Séptima Curva)
90090001,Zangahco
90090001,Hueycotzingo
90090001,Melhcalhca
90090001,Cuauhtec (El Mirador Santa Ana Tlacotenco)
90090001,La Mora
90090001,Metenco
90090001,Tamasquititla
90090001,San Agustín Xolco
90090001,San Marcos (Tezocotitla)
90090001,Cuyucalco
90090001,Iztahuaca
90090001,Tzotzomaco
90090001,Tlatepexco
90090001,San Paocotitla
90090001,Tlacopac
90090001,Tecolotzitzatzian (Tiapa)
90090001,Tehuitzco
90090001,Tepetlapa
90090001,Tequianquiztunco
90090001,Tetexipezco
90090001,Tetlicuili (El Encinal)
90090001,Teuhtli
90090001,Texcalatlautenco
90090001,Texcayuca (Ojo de Agua)
90090001,Tezompa
90090001,Teziuhtepec
90090001,Tetzumpa
90090001,Tlaxala
90090001,Ahuapapatlapa
90090001,Tetepanco
90090001,Copexalco
90090001,San José
90090001,Hueytepetl (Bugambilias)
90090001,Ocoximalipa
90090001,Corralixpa
90090001,El Rancho
90090001,Coyocalli
90090001,Tlapalan
90090001,Retamatitla (Tepehualli)
90090001,Texalco
90090001,Queapilco
90090001,Texococlixpa (Rancho Santa Elena)
90090001,Barranca Seca (Pozo Ocho)
90090001,Teatlaco
90090001,Tlaloxtoc
90090001,Tezquizco
90090001,Atuzanco
90090001,El Potrero
90090001,Jalisco
90090001,Miquixpa
90090001,San Lorenzo Tlacoyucan
90090001,Rinconada del Teoca
90090001,Tepexomulco
90090001,Temoclaluca
90090001,Malacaxco
90090001,Cuatlixco
90090001,Coametzu
90090001,Cuauhtunco
90090001,La Era
90090001,Tepetenco
90090001,San Isidro Cuatepec
90090001,Xaluis
90090001,Tepetipac
90090001,Tlatlalahuaya
90090001,Texunco (Camino Real a Tlaltenami)
90090001,Mecalco (Camino al Mirador)
90090001,Zacatonco
90090001,Xali
90090001,Texaxahuacalli
90090001,Zacazontlipac
90090001,Santa Catarina (Piedra Blanca)
90090001,Cuauhtetec
90090001,Huitlalpa
90090001,Texcolipan
90090001,Tetzmititla
90090001,Tlaxiomulco
90090001,Tecoloxtitla
90090001,Tapalaco (Amacapultitla)
90090001,Teacalco
90090001,Iztlalco
90090001,Cuauhzontlipan
90090001,Huepaltepec
90090001,Mecatlán (Rancho el Refugio)
90090001,Tecupilco (Kilómetro 17.5)
90090001,Xaxalpa
90090001,Xaltepetitla
90090001,Tetecolok
90090001,Santa Rosa
90090001,Olla de Piedra
90090001,El Zapote (Techultepec)
90090001,Maxulco (Barrio Cruztitla)
90090001,Tecoxpa (El Pirul)
90090001,Santa Martha Cosalan
90090001,Zacuaztitla
90090001,Rancho Paraíso Escondido
90090001,Omaxa
90090001,Ahuatitla (Ixmatunco)
90090001,Texacazintla (Xacalixpa)
90090001,Chichilesca
90090001,Calle Capulines
90090001,Temalacatl
90090001,Temoayan
90090001,Prolongación Xolotl
90090001,Anayeli
90090001,Las Cruces Parte Alta (Tehuepanco)
90090001,Cuacualipa
90090001,Tehuistitla
90090001,Cuaxaltepec
90090001,Tenopantitla
90090001,Ocoteloloco (Tlaxcantitla)
90090001,Tecpallo
90090001,Loma Bonita
90090001,Cuacuahotlipa
90090001,Nacatulatlaxco
90090001,Tlacoxpa (Teshutla)
90090001,Citlalcuac (Rancho el Paraíso Perdido)
90090001,Atoctenco (Prolongación Niños Héroes)
90090001,Paraje Huicalco
90090001,Los Aguilar
90090001,Tetexaloca
90090001,Prolongación Justo Sierra
90090001,Acatlahuco
90090001,Xalmoyo
90090001,Oluca
90090001,Tlalcoxtepec
90090001,Camino Viejo a Santa Cruz
90090001,Concla (Camino a Tlaltenamic)
90090001,Tlaltenami
90090001,Panuca (Cuatexoxoco)
90090001,Tlaltepec (Tlacoxtepec)
90090001,Chimeo (Las Palmas)
90090001,Moxala
90090001,El Cerrito
90090001,San Miguel (Tecoxomayehualtitla)
90090001,Texomulco
90090001,Tlalmanco (Prolongación Benito Juárez)
90090001,Tlalcocomoya
90090001,Paraje Tatazquiopa
90090001,Atoctenco
90090001,Tecamac
90090001,Teutlalpa
90090001,Zihuantemohuayan
90090001,Las Abejas
90090001,Tlatzala
90090001,Tetzompa
90090001,Tuzanco (La Joya)
90090001,San José López Trejo
90090001,Tlacopanco
90090001,Pixucaltitla
90090001,Totomacuentla
90090001,Kilómetro 24
90090001,Joyas Parte Alta
90090001,Acuexcomatl
90090001,San Antonio Cuilotepec
90090001,Tenichcalco
90090001,San Nicolás Tetelco
90090001,El Tejocote
90090001,Ejidos Tecoxpa
90090001,Arboledas
90090001,Emiliano Zapata (Camino al Cerro)
90090001,Corraltitla
90090001,Tepanoco
90090001,Zacatipla
90090001,Santa Martha Xolco
90090001,Tepetitla (Villa Hermosa)
90090001,Totoxhpa (Cerrada Culiacán)
90090001,Belizario Domínguez
90090001,Nushtla (Loma Bonita)
90090001,Tehuizco
90090001,Axayatipac
90090001,Ayotepec
90090001,Ochpantenco
90090001,La Virgen
90090001,Matlahuacaloca
90090001,Tula (Huixtotlazintla)
90090001,Tlatlapantunco
90090001,San Agustín
90090001,Los Angeles
90090001,Tezontlipac (San Lorenzo Tlacoyucan)
90090001,Tlalzonco
90090001,Temazcaltitla
90090001,Chautonco
90090001,Texotitla
90090001,Coatepec
90090001,Ocotitla (Barrio de Santa Cruz)
90090001,Tenantitla (Teuhtli)
90090001,Xochiatlaco
90090001,Huacaltunco
90090001,Tlahuiztpa
90090001,Zacacali
90090001,Tepenahuac [Centro de Educación Ambiental]
90090001,Camino Viejo a Tlaltenamic
90090001,Joyas del Pedregal
90090001,Los Romero
90090001,Rancho Viejo
90090001,Don Diegoco
90090001,Apilintitla
90090001,Atlahuitonca
90090001,Xilozuchitl
90090001,Tenco
90090001,Xonacatepec
90090001,Xicalhuacan
90090001,Ixotitla
90090001,Xaltenco
90090001,Tlaquexpa
90090001,Pipitongo
90090001,Encinos
90090001,Tehuehuec
90090001,Tlalaxco
90090001,Apetatita
90090001,Texali
90090001,Xilutepec
90090001,Chuchupic
90090001,San Isidro Labrador
90090001,Ecatepeclixpa
90090001,Don Guillermo
90090001,Tlachachalipac (Ixtonpaxtitla)
90090001,Texico
90090001,El Santanero
90090001,Hueyahuatitla
90090001,Zopilocalco (Tatamazquipa)
90090001,Acopilipan
90090001,Hueyitlatile
90090001,Coyote
90090001,El Triángulo
90090001,La Purísima
90090001,Atempa
90090001,Tlacuitlaya
90090001,Cruz Tlaltempa
90090001,Ahuatitla (El Tecorral)
90090001,Xaltepec
90090001,Limonuxititla
90090001,Cuapetzayuca
90090001,Techalli
90090001,Tlacapantongo
90090001,Tlalostoctenco
90090001,La Loma de San José
90090001,Tepozán Seco
90090001,Memeyuca
90090001,Niño Perdido
90090001,Papalocahuitl
90090001,Cilxúchitl
90090001,Ahuatlixpa
90090001,Tlaltelpampa
90090001,Atotzingo
90090001,Tepecuescotitla (San Antonio)
90090001,La Lupita Tepetenco
90090001,Cristo Rey (Emiliano Zapata)
90090001,La Joyita
90090001,La Nopalera
90090001,Tlapantongo
90090001,El Pedregal
90090001,Tlatlanextla
90090001,Huixtecolizintla
90090001,Apetatitla
90090001,Illicmanic
90090001,Tecoyuco
90090001,Fresno
90100001,Álvaro Obregón
90100001,Rancho Barbechos
90100001,Ojo de Agua
90100001,Camino a la Bandera
90100001,Tiximaloya
90100001,El Ermitaño (Paraje el Chipil)
90100001,Texcalatlaco
90100001,Apapaxtla
90110001,Tláhuac
90110001,San Andrés Mixquic
90110001,San Juan Ixtayopan
90110001,San Nicolás Tetelco
90110001,Santa Catarina Yecahuitzotl
90110001,San Miguel
90110001,Tabla los Pozos
90110001,Mesita del Capulín
90110001,Ojo de Agua
90110001,San Miguel (Chinampas)
90110001,Xila
90110001,Axolocalco (Prolongación Santa Cruz)
90110001,El Tetecon (El Solitario)
90110001,Chinampa San Juan
90110001,Acatlachinanco
90110001,Puente de Tubo
90110001,Paraje Xometitla
90110001,San Ignacio de Loyola
90110001,Paraje Ayecac
90110001,La Ciénega
90110001,Chinampas Tetelco
90110001,Lomas de Xocotlán
90110001,Santa Catarina [Lienzo Charro]
90110001,Tierra Blanca Parte Alta
90110001,Las Tablas
90110001,Mina Xaltepec
90110001,Mina la Estancia
90110001,Mina Texcocatitla
90110001,Camino a Tlaltenco
90110001,Prolongación Peña Alta
90110001,Rancho los Pollitos
90110001,Ejido de San Juan Ixtayopan
90110001,Tecolocuahtitla
90110001,El Pato
90110001,Ejido de Tláhuac
90110001,Monserrat (Arenales Oaxaca)
90110001,El Paraíso (Mecoxtla)
90110001,Colonia los 500 metros
90110001,Ampliación San Miguel
90110001,Mamasco
90110001,Xalpa (López Portillo)
90110001,Piñón
90110001,Puertantitla (Camino al Cerro)
90110001,Prolongación el Rosario
90110001,La Nopalera
90110001,Bugambilias
90110001,Tezontitla
90110001,Xalatlayco
90110001,El Capulín
90110001,Las Palmas
90110001,Tezontenco
90110001,Las Calabacitas
90110001,Apoyautla (Cerro de Guadalupe)
90110001,Las Nieves (Almoloya)
90110001,La Cruz
90110001,Nextlalpan
90110001,El Llano
90110001,Centro Regional Número 3
90110001,Cerro de Guadalupe
90110001,La Almeya
90110001,Prolongación Emiliano Zapata
90110001,Colonia Contreras
90110001,Brecha la Mesita
90120001,Tlalpan
90120001,Parres (El Guarda)
90120001,San Miguel Ajusco
90120001,San Miguel Topilejo
90120001,Apapaxtles
90120001,Llano de Cantimplora
90120001,Casa Solar
90120001,Cañada del Acueducto
90120001,Cuamino
90120001,La Cima
90120001,Xacatixtla (Granja la Garriga)
90120001,Héroes de 1910
90120001,Las Raíces
90120001,Kilómetro 38
90120001,Kilómetro 36.5 (El Crucero)
90120001,Las Maravillas (Kilómetro 37)
90120001,Lomas de Tepemecatl
90120001,El Oyamel
90120001,Pentatlón
90120001,Piedra Larga
90120001,Piedras Blancas
90120001,Rancho Ramírez
90120001,Las Ferminas
90120001,La Fortaleza
90120001,La Pedrera
90120001,El Pedregal
90120001,El Sifón
90120001,Kilómetro 17 (Circuito Ajusco)
90120001,Rancho las Trojes
90120001,Chalcuitongo (La Asunción)
90120001,Santa Martha
90120001,Siete Ocotes
90120001,El Charco
90120001,Huinixco
90120001,Rancho Kyalami
90120001,Los Sauces
90120001,Rancho San Francisco
90120001,La Troje
90120001,El Cofrecito
90120001,El Divisadero
90120001,Camino Viejo a San Andrés
90120001,El Arenal
90120001,Cuanejaque
90120001,El Oyameyo
90120001,Parada Oyameyo (Kilómetro 31.5)
90120001,La Campana
90120001,La Rufina
90120001,Nopaltitla
90120001,Weyhutlancotla
90120001,Estudios Ajusco
90120001,El Abrevadero
90120001,Xomulco (Oyamertonco)
90120001,La Cofradía
90120001,Los Caballos
90120001,Rancho Chico
90120001,Rancho los Cedros del Abuelo
90120001,La Morucha
90120001,Rancho San Patricio
90120001,Barranquilla
90120001,La Capilla
90120001,Rancho Mezontepec
90120001,Rancho Llano de Vidrio
90120001,Llanito Largo
90120001,Los Encinos de Cortés
90120001,Predio Tepetzintla
90120001,La Candelaria
90120001,La Providencia
90120001,Finca Trancas (UCAPSA)
90120001,Kilómetro 32.3
90120001,Tomasquititla (Kilometro 32.6)
90120001,Totoapan
90120001,Colonia Ocotla
90120001,Kilómetro 29.5
90120001,Lomas del Capulín (Kilómetro 30)
90120001,Tlatepancaltitla (Kilómetro 30.5)
90120001,José María Morelos
90120001,Ocotla Chico
90120001,Paraje Atonco
90120001,La Herradura
90120001,Carretera al Ajusco
90120001,Chahualixcantitla
90120001,Lomas de San José
90120001,Colonia San Juan
90120001,Colonia Ahuayoto
90120001,Los Encinos
90120001,Kilómetro 32.1
90120001,Lienzo Charro Pepe Castro
90120001,Tres Vientos
90120001,Camino a la Venta
90120001,La Monera
90120001,Huiquilahua
90120001,El Tianguillo
90120001,Criadero Kodik
90120001,Popotenco
90120001,Itelma
90120001,Las Canteras
90120001,Mirador Uno
90120001,Planta Abasolo
90120001,Tepozán [Parque Ecoturístico]
90120001,Ejidos de San Andrés Totoltepec
90120001,Área de los Venados (La SIREFA)
90120001,Prolongación Acueducto
90120001,Granja los Pinos
90120001,Rancho el Tordi...yo
90120001,El Oyamel
90120001,Rancho Tres Hermanos
90120001,Las Cruces
90120001,Rancho Matamoros
90120001,Rancho Valentina
90120001,Ermita Ajusco
90120001,Tepehuaxotla (Prolongación Pirámide)
90120001,Las Calaveras (Doña Cristy)
90120001,Camino al Cedral (Achichipilco)
90120001,Los Tlapancos
90120001,Carretera al Ajusco II
90120001,Las Ventas
90120001,Camino Antiguo a Cuernavaca
90120001,Acazacatongo
90120001,Acueducto 1ra. Sección
90120001,El Campo
90120001,Cuatzontle
90120001,El Arcoiris
90120001,Tixtapaltongo (Loma de Ahuayoto)
90120001,Rancho Ahuayoto
90120001,Oyametonco
90120001,Cansacaballos
90120001,Los Arcos
90120001,Bellavista
90120001,Ojo de Agua
90120001,Tepelancoxtla
90120001,San Agustín
90120001,Ixpancolohuia
90120001,Teteocotla
90120001,Paraje el Tezontle Acopiaxco
90120001,Rancho Viejo
90120001,Paraje el Negro
90120001,Ololica (Loloigque)
90120001,Tepacheras (Kilómetro 31)
90120001,La Glorieta
90120001,Paraje Altavista
90120001,La Loma
90120001,La Reja
90120001,Colonia Cuauhtenco (Kilómetro 27)
90120001,Kilómetro 28 Sur
90120001,Paraje Buenavista
90120001,Tezontitla
90120001,Rancho Teo
90120001,Piedra Suelta
90120001,El Cristal
90120001,El Retiro
90120001,La Nube
90120001,Las Castañas
90120001,San Carlos
90120001,Toscana
90120001,El Capricho
90120001,El Sillar
90120001,La Quinta Estación
90120001,Rancho Nevado
90120001,Arenitas
90120001,Las Tinajas
90120001,El Arco
90120001,El Guardita
90120001,El Capricho
90120001,Tlayelpa
90120001,Autriquie
90120001,Cebadillas
90120001,Rancho Mac
90120001,El Salitrillo
90120001,El Encanto
90120001,Xoxoctongo
90120001,La Huerta
90120001,El Líder
90120001,Los Trementineros
90120001,Pedregal del Xitle
90120001,Santa Ana
90120001,Tlapexco
90120001,El Resumidero
90120001,Zamora
90120001,Acanceh
90120001,Majadatonco
90120001,Rancho Tequila
90120001,La Manga Lagunitas
90120001,Xililimoco
90120001,Tierra Blanca
90120001,Ejido de San Miguel Xicalco
90120001,La Joyita
90120001,Ayopa
90120001,Rancho el Ailar
90120001,Huexotipac
90120001,Temasquititla
90120001,Los Camacho
90120001,Kilómetro 32.8
90130001,Xochimilco
90130001,Tepemimilco
90130001,Ixotitla
90130001,Paraje Lila (El Ladrillo)
90130001,Paraje Texhuilo
90130001,Zacapa
90130001,Barrio San Antonio (Cruz Monte)
90130001,Tepepan
90130001,Ampliación Chalmita
90130001,El Mirador (Tetexaloca)
90130001,Tepexomulco
90130001,Tlachiultepec de Ahuayucan (Las Malvinas)
90130001,Tepetitla (Tlacoxpan)
90130001,Tlacualleli (El Calvario)
90130001,Tlaltepetla (Tehuistitla)
90130001,Tlalatlaco
90130001,Tlatzala (Cuayuca)
90130001,Isla de las Muñecas
90130001,Tepuente
90130001,Tipipili
90130001,Tochuca (San Salvador)
90130001,Pepelaxtla
90130001,Tecacalango
90130001,Tzompole
90130001,Cacalco (Tepextenco)
90130001,Texalco (Joyas de Texalco)
90130001,Apatlaco
90130001,Paraje de la Ciénega
90130001,Paraje los Escondidos
90130001,Kilómetro 26
90130001,Tlapizatil (Puente de Urrutia)
90130001,Tepexomulco las Rocas
90130001,Ocotitla Tepachuxiac
90130001,Tecuyo
90130001,Hualpalcaltepec
90130001,Atotle
90130001,Los Tejocotes
90130001,Tepepatlaxtle
90130001,Tixculco
90130001,Tecoexcontitla
90130001,Quinta Patricia
90130001,El Potrero (Bosques de la Paz)
90130001,Paraje Tepanyecac
90130001,Tepepula
90130001,La Angostura
90130001,Sihuatlixpa
90130001,Cuatixi
90130001,Paraje Zacapa
90130001,Santa Catarina (Piedra Blanca)
90130001,Huepaltepec
90130001,Tecuanatla (Arenal Papanco)
90130001,Tepepecalachico (Inopilco)
90130001,Rancho la Flor
90130001,Los Cedros (Lienzo Charro el Canuto)
90130001,Tepeclite
90130001,Acalipa
90130001,Ampliación Bugambilias (Nauhtecpan)
90130001,Tepeyecac (El Arenal)
90130001,Tepexomulco (Kilómetro 27.8)
90130001,Ixcuicuilco
90130001,Corralón Policía Federal de Caminos
90130001,Cocopalcuautla
90130001,Tecanco
90130001,Atlaxco
90130001,Barrio Nochicala
90130001,Camino Real a San Pedro
90130001,El Cedral
90130001,La Espejera
90130001,Ahuatitla (Texcopaxuli)
90130001,Atenco (Tlaquilpa)
90130001,Naxayopa
90130001,Coapantitla
90130001,San Martín
90130001,Francisco Villa (Tepejoyuca)
90130001,Tecaxi
90130001,Chililico
90130001,Camino al Panteón (Las Cruces)
90130001,Texopantitla (Chocolines)
90130001,Ilimunxutitla
90130001,Tlacomulco (Kilómetro 25.5)
90130001,La Cienega
90130001,Los Pinos (Tecacahuaco)
90130001,Temamatla
90130001,Milahuaytitla
90130001,Nochicala (Pajaritos)
90130001,San Juan Diego (Matlacuaitla)
90130001,Paraje Tlahuiteco
90130001,Moyocalco
90130001,Cuahuticultitla
90130001,Tizilingo
90130001,Bosques de la Paz
90130001,Contlalco
90130001,Tlalmelaca
90130001,Zacazontlipac
90130001,Tepetlatzinco
90130001,El Corazón
90130001,Ocoxochoca
90130001,Texcalatlaco
90130001,Azizicantitla
90130001,Tehuehueyacan
90130001,Duraznotitla (Tlaquilpa)
90130001,Ahuapixititla
90130001,El Corral
90130001,Axomulco
90130001,Oquetzalpa
90130001,Texcalpa
90130001,Acapa
90130001,Ototzingo (Acuario)
90130001,Tlalmenalqui
90130001,Zacatongo
90130001,Ampliacion Tlapanoya Baja
90130001,Ampliación San Bartolo
90130001,Ampliación San Martín Caballero
90130001,Techachalictic
90130001,Las Cubetas
90130001,San Sebastián
90130001,Yaxahuilizcantitla
90130001,Paraje Tepetlitic
90130001,Xochitonala
90140001,Benito Juárez
90150001,Cuauhtémoc
90160001,Miguel Hidalgo
90170001,Venustiano Carranza
