IDDECOLONIA,DESCRIPCION
1,20000
2,20010
3,20010
4,20010
5,20010
6,20010
7,20016
8,20016
9,20016
10,20016
11,20018
12,20020
13,20020
14,20020
15,20020
16,20029
17,20030
18,20030
19,20030
20,20040
21,20040
22,20040
23,20040
24,20040
25,20040
26,20049
27,20050
28,20050
29,20050
30,20050
31,20050
32,20059
33,20059
34,20060
35,20060
36,20064
37,20070
38,20070
39,20070
40,20078
41,20080
42,20080
43,20089
44,20100
45,20100
46,20100
47,20100
48,20100
49,20100
50,20110
51,20110
52,20110
53,20110
54,20110
55,20110
56,20110
57,20115
58,20115
59,20115
60,20115
61,20115
62,20115
63,20115
64,20115
65,20116
66,20116
67,20116
68,20116
69,20118
70,20118
71,20118
72,20118
73,20118
74,20118
75,20118
76,20118
77,20118
78,20118
79,20118
80,20118
81,20118
82,20118
83,20118
84,20118
85,20118
86,20118
87,20119
88,20119
89,20120
90,20120
91,20120
92,20123
93,20123
94,20124
95,20124
96,20126
97,20126
98,20126
99,20126
100,20126
101,20126
102,20126
103,20126
104,20126
105,20126
106,20126
107,20126
108,20126
109,20126
110,20126
111,20126
112,20126
113,20126
114,20126
115,20126
116,20126
117,20126
118,20126
119,20126
120,20126
121,20126
122,20126
123,20126
124,20126
125,20126
126,20126
127,20126
128,20126
129,20126
130,20126
131,20126
132,20127
133,20128
134,20129
135,20130
136,20130
137,20130
138,20130
139,20130
140,20130
141,20130
142,20130
143,20130
144,20130
145,20130
146,20130
147,20130
148,20130
149,20135
150,20135
151,20136
152,20137
153,20138
154,20138
155,20138
156,20138
157,20140
158,20140
159,20140
160,20146
161,20149
162,20150
163,20150
164,20150
165,20150
166,20150
167,20150
168,20150
169,20150
170,20157
171,20157
172,20158
173,20158
174,20158
175,20158
176,20159
177,20159
178,20160
179,20160
180,20164
181,20169
182,20170
183,20170
184,20170
185,20170
186,20170
187,20170
188,20170
189,20170
190,20172
191,20172
192,20172
193,20172
194,20172
195,20172
196,20174
197,20174
198,20174
199,20174
200,20174
201,20174
202,20174
203,20174
204,20174
205,20174
206,20174
207,20174
208,20175
209,20175
210,20175
211,20175
212,20175
213,20177
214,20179
215,20179
216,20179
217,20179
218,20179
219,20179
220,20179
221,20179
222,20180
223,20180
224,20180
225,20180
226,20180
227,20180
228,20180
229,20190
230,20190
231,20190
232,20196
233,20196
234,20196
235,20196
236,20196
237,20196
238,20196
239,20196
240,20196
241,20196
242,20196
243,20196
244,20196
245,20196
246,20196
247,20196
248,20196
249,20196
250,20196
251,20196
252,20196
253,20196
254,20196
255,20196
256,20196
257,20196
258,20198
259,20198
260,20198
261,20199
262,20199
263,20199
264,20199
265,20200
266,20200
267,20200
268,20200
269,20200
270,20200
271,20200
272,20200
273,20200
274,20200
275,20200
276,20200
277,20200
278,20200
279,20200
280,20200
281,20200
282,20200
283,20200
284,20200
285,20200
286,20200
287,20205
288,20205
289,20206
290,20206
291,20206
292,20207
293,20207
294,20207
295,20208
296,20210
297,20210
298,20210
299,20210
300,20217
301,20218
302,20218
303,20218
304,20218
305,20218
306,20218
307,20218
308,20218
309,20218
310,20218
311,20218
312,20218
313,20218
314,20219
315,20219
316,20219
317,20220
318,20220
319,20229
320,20230
321,20230
322,20230
323,20234
324,20235
325,20235
326,20235
327,20235
328,20236
329,20237
330,20237
331,20238
332,20239
333,20240
334,20240
335,20240
336,20240
337,20240
338,20240
339,20240
340,20240
341,20240
342,20240
343,20247
344,20248
345,20249
346,20250
347,20250
348,20250
349,20250
350,20250
351,20250
352,20250
353,20255
354,20255
355,20256
356,20256
357,20256
358,20256
359,20256
360,20256
361,20257
362,20259
363,20259
364,20260
365,20260
366,20260
367,20260
368,20260
369,20263
370,20263
371,20263
372,20263
373,20263
374,20263
375,20263
376,20263
377,20263
378,20263
379,20263
380,20263
381,20263
382,20263
383,20263
384,20263
385,20263
386,20263
387,20263
388,20263
389,20264
390,20264
391,20264
392,20264
393,20265
394,20266
395,20266
396,20266
397,20267
398,20267
399,20267
400,20267
401,20267
402,20268
403,20269
404,20270
405,20270
406,20270
407,20270
408,20270
409,20270
410,20270
411,20270
412,20270
413,20276
414,20276
415,20276
416,20277
417,20277
418,20277
419,20278
420,20280
421,20280
422,20280
423,20280
424,20280
425,20280
426,20280
427,20280
428,20280
429,20280
430,20280
431,20280
432,20280
433,20283
434,20283
435,20284
436,20284
437,20284
438,20284
439,20284
440,20284
441,20284
442,20284
443,20285
444,20285
445,20286
446,20286
447,20286
448,20286
449,20286
450,20286
451,20286
452,20286
453,20286
454,20286
455,20286
456,20286
457,20286
458,20286
459,20286
460,20287
461,20288
462,20288
463,20289
464,20290
465,20290
466,20290
467,20296
468,20296
469,20296
470,20296
471,20296
472,20296
473,20297
474,20297
475,20297
476,20298
477,20298
478,20298
479,20298
480,20298
481,20298
482,20298
483,20298
484,20298
485,20298
486,20298
487,20298
488,20298
489,20298
490,20298
491,20298
492,20298
493,20298
494,20298
495,20298
496,20298
497,20298
498,20299
499,20299
500,20299
501,20299
502,20299
503,20299
504,20299
505,20299
506,20299
507,20299
508,20300
509,20300
510,20300
511,20303
512,20303
513,20303
514,20303
515,20303
516,20303
517,20303
518,20304
519,20304
520,20304
521,20304
522,20304
523,20304
524,20304
525,20304
526,20305
527,20305
528,20305
529,20305
530,20305
531,20305
532,20305
533,20305
534,20305
535,20305
536,20305
537,20305
538,20305
539,20305
540,20305
541,20306
542,20306
543,20306
544,20306
545,20306
546,20310
547,20310
548,20310
549,20310
550,20310
551,20310
552,20313
553,20313
554,20314
555,20316
556,20316
557,20316
558,20320
559,20320
560,20320
561,20323
562,20324
563,20326
564,20326
565,20326
566,20326
567,20326
568,20326
569,20326
570,20326
571,20326
572,20326
573,20326
574,20326
575,20326
576,20326
577,20326
578,20326
579,20326
580,20326
581,20326
582,20326
583,20326
584,20326
585,20326
586,20326
587,20326
588,20326
589,20326
590,20326
591,20326
592,20326
593,20326
594,20326
595,20328
596,20328
597,20328
598,20328
599,20328
600,20328
601,20328
602,20328
603,20328
604,20329
605,20329
606,20329
607,20329
608,20329
609,20329
610,20329
611,20329
612,20329
613,20329
614,20329
615,20330
616,20330
617,20330
618,20330
619,20330
620,20330
621,20330
622,20330
623,20330
624,20330
625,20333
626,20333
627,20333
628,20333
629,20333
630,20333
631,20333
632,20333
633,20333
634,20333
635,20333
636,20334
637,20334
638,20335
639,20335
640,20336
641,20336
642,20336
643,20336
644,20336
645,20337
646,20337
647,20337
648,20338
649,20338
650,20338
651,20338
652,20338
653,20338
654,20338
655,20338
656,20339
657,20339
658,20339
659,20339
660,20339
661,20339
662,20339
663,20339
664,20339
665,20339
666,20339
667,20339
668,20339
669,20339
670,20339
671,20339
672,20340
673,20340
674,20340
675,20340
676,20340
677,20341
678,20342
679,20342
680,20342
681,20343
682,20344
683,20344
684,20345
685,20346
686,20347
687,20347
688,20348
689,20349
690,20350
691,20350
692,20350
693,20350
694,20355
695,20355
696,20355
697,20355
698,20355
699,20355
700,20355
701,20355
702,20355
703,20356
704,20356
705,20357
706,20357
707,20357
708,20357
709,20358
710,20358
711,20358
712,20358
713,20358
714,20358
715,20358
716,20358
717,20358
718,20358
719,20358
720,20358
721,20363
722,20363
723,20363
724,20363
725,20364
726,20364
727,20366
728,20366
729,20366
730,20367
731,20367
732,20367
733,20367
734,20367
735,20367
736,20367
737,20369
738,20370
739,20371
740,20371
