IDDEENTIDAD,ID,DESCRIPCION
1,10010001,Aguascalientes
1,10020001,Asientos
1,10030001,Calvillo
1,10040001,Cosío
1,10050001,Jesús María
1,10060001,Pabellón de Arteaga
1,10070001,Rincón de Romos
1,10080001,San José de Gracia
1,10090001,Tepezalá
1,10100001,El Llano
1,10110001,San Francisco de los Romo
2,20010001,Ensenada
2,20020001,Mexicali
2,20030001,Tecate
2,20040001,Tijuana
2,20050001,Playas de Rosarito
2,20060001,San Quintín
2,20070001,San Felipe
3,30010001,Comondú
3,30020001,Mulegé
3,30030001,La Paz
3,30080001,Los Cabos
3,30090001,Loreto
4,40010001,Calkiní
4,40020001,Campeche
4,40030001,Carmen
4,40040001,Champotón
4,40050001,Hecelchakán
4,40060001,Hopelchén
4,40070001,Palizada
4,40080001,Tenabo
4,40090001,Escárcega
4,40100001,Calakmul
4,40110001,Candelaria
4,40120001,Seybaplaya
4,40130001,Dzitbalché
5,50010001,Abasolo
5,50020001,Acuña
5,50030001,Allende
5,50040001,Arteaga
5,50050001,Candela
5,50060001,Castaños
5,50070001,Cuatro Ciénegas
5,50080001,Escobedo
5,50090001,Francisco I. Madero
5,50100001,Frontera
5,50110001,General Cepeda
5,50120001,Guerrero
5,50130001,Hidalgo
5,50140001,Jiménez
5,50150001,Juárez
5,50160001,Lamadrid
5,50170001,Matamoros
5,50180001,Monclova
5,50190001,Morelos
5,50200001,Múzquiz
5,50210001,Nadadores
5,50220001,Nava
5,50230001,Ocampo
5,50240001,Parras
5,50250001,Piedras Negras
5,50260001,Progreso
5,50270001,Ramos Arizpe
5,50280001,Sabinas
5,50290001,Sacramento
5,50300001,Saltillo
5,50310001,San Buenaventura
5,50320001,San Juan de Sabinas
5,50330001,San Pedro
5,50340001,Sierra Mojada
5,50350001,Torreón
5,50360001,Viesca
5,50370001,Villa Unión
5,50380001,Zaragoza
6,60010001,Armería
6,60020001,Colima
6,60030001,Comala
6,60040001,Coquimatlán
6,60050001,Cuauhtémoc
6,60060001,Ixtlahuacán
6,60070001,Manzanillo
6,60080001,Minatitlán
6,60090001,Tecomán
